"-- Please Select --","-- Kérem válasszon --"
"Actions","Műveletek"
"All","Összes"
"All Pages","Minden oldal"
"All Product Types","Összes terméktípus"
"Anchor Categories","Horgony kategóriák"
"Apply","Alkalmazás"
"Big Image","Nagy kép"
"Categories","Kategóriák"
"Choose...","Válasszon..."
"Close","Bezár"
"Continue","Folytatás"
"Default Template","Alapértelmezett sablon"
"Delete","Törlés"
"Export to:","Exportálás ide:"
"Frontend Properties","Bolt tulajdonságok"
"Generic Pages","Általános oldalak"
"Images","Képek"
"Insert Widget","Felületi elem beszúrása"
"Layout Updates","Elrendezés frissítések"
"Manage Widget Instances","Felületi elem példány kezelése"
"New Widget Instance","Új felületi elem példány"
"Next page","Következő oldal"
"Not Selected","Nem kijelölt"
"Open Chooser","Választó megnyitása"
"Page","Oldal"
"Previous page","Előző oldal"
"Products","Termékek"
"Remove Layout Update","Elrendezés frissítés eltávolítása"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Select All","Összes kijelölése"
"Select Visible","Láthatóak kiválasztása"
"Settings","Beállítások"
"Sort Order","Rendezési sorrend"
"Specified Page","Meghatározott oldal"
"Template","Sablon"
"The information in this tab has been changed.","Az információk e lapfülön módosultak."
"This tab contains invalid data. Please solve the problem before saving.","Ezt a fül érvénytelen adatot tartalmaz. Hárítsd el a hibát mielőtt mented."
"Thumbnail","Bélyegkép"
"Total %d records found","Összesen %d bejegyzés"
"Type","Típus"
"Unselect All","Összes kijelölés megszüntetése"
"Unselect Visible","Láthatóak kiválasztásának törlése"
"View","Megnéz"
"Widget","Felületi elem"
"Widget Insertion","Felületi elem beszúrás"
"Widget Options","Felületi elem beállítások"
"Widget Type","Felületi elem típusa"
"Widgets","Felületi elemek"
"items selected","kiválaszott elem"
"of %s pages","%s oldalból"
"per page","oldalanként"
