"Action","Akció"
"Are you sure you want to delete the selected backup(s)?","Biztosan törli a kijelölt biztonsági mentését vagy mentéseit?"
"Backups","Biztonsági mentések"
"Create Backup","Másolat készítése"
"Database","Adatbázis"
"Database Backup","Adatbázis biztonsági mentés"
"Database and Media","Adatbázis és média"
"Database and Media Backup","Adatbázis média biztonsági mentés"
"Database was successfuly backed up.","Adatbázis sikeresen lementve."
"Download","Letöltés"
"Enable Scheduled Backup","Ütemezett biztonságimásolat-készítés engedélyezése"
"Frequency","Gyakoriság"
"Maintenance Mode","Karbantartás üzemmód"
"Name","Név"
"Rollback","Visszaállítás"
"Start Time","Kezdés ideje"
"System","Rendszer"
"System (excluding Media)","Rendszer (kivéve a Media)"
"System Backup","Rendszer biztonsági másolat"
"Time","Idő"
"Type","Típus"
"Unable to create backup. Please, try again later.","Mentés létrehozása sikertelen, próbálja meg később."
