"%s's Wishlist","%s kívánságlistája"
"* Required Fields","* kitöltése kötelező"
"Add All to Cart","Minden elem kosárhoz adása"
"Add to Cart","Kosárba"
"Add to Compare","Összehasonlításhoz ad"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"Added From","Hozzáadva innen"
"Are you sure you want to remove this product from your wishlist?","Biztos benne hogy eltávolítja ezt a terméket a kívánságlistáról?"
"Are you sure you would like to remove this item from the wishlist?","Biztos benne hogy eltávolítja ezt a terméket a kívánságlistáról?"
"Back","Vissza"
"Can't save description %s","Leírás nem menthető %s"
"Cannot specify product.","Nem meghatározható termék."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Jelölje be a négyzetet ha szeretne egy rss linket a kívánságlistájához."
"Click for price","Kattintson ide az árért"
"Comment","Hozzászólás"
"Comment:","Hozzászólás:"
"Date Added","Hozzáadás dátuma"
"Days in Wishlist","Napok a kívánságlistán"
"Edit","Szerkesztés"
"Email Sender","Email feladója"
"Email Template","Email sablon"
"Email address can't be empty.","E-mail cím nem lehet üres."
"Email addresses, separated by commas","Email címek, vesszővel elválasztva"
"Enabled","Engedélyezve"
"General Options","Általános beállítások"
"Go to Wishlist","Tovább a kivánságlistához"
"In stock","Raktáron"
"Last Added Items","Legutóbb hozzáadott termékek"
"Message","Üzenet"
"My Wishlist","Kívánságlistám"
"My Wishlist (%d item)","Kívánságlistám (%d termék)"
"My Wishlist (%d items)","Kívánságlistám (%d termék)"
"Options Details","Lehetőségek leírása"
"Out of stock","Nincs raktáron"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Kérjük adjon meg valós e-mail címeket, vesszővel elválasztva. Például.: johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Ide írhatja megjegyzéseit..."
"Price","Ár"
"Product","Termék"
"Product Details and Comment","Termék részletek és megjegyzések"
"Qty","Mennyiség"
"RSS Feed","RSS forrás"
"RSS link to %s's wishlist","RSS link %s kívánságlistájához"
"Remove Item","Elem eltávolítása"
"Remove This Item","Termék eltávolítása"
"Remove item","Elem eltávolítása"
"SKU","Cikkszám"
"Share Options","Megosztási beállítások"
"Share Wishlist","Kívánságlista megosztása"
"Share Your Wishlist","Ossza meg kedvenceit másokkal"
"Sharing Information","Megosztási információk"
"Update Wishlist","Kívánságlista frissítése"
"User Description","Felhasználói Leírás"
"View Details","Részletek megjelenítése"
"View Product","Termék megtekintése"
"What's this?","Mi ez?"
"Wishlist","Kívánságlista"
"Wishlist Section","Kívánságlista szekció"
"Wishlist Sharing","Kívánságlista megosztás"
"Wishlist is empty now.","Kívánságlista üres."
"You have no items in your wishlist.","Önnek nincs egy terméke sem a kívánságlistáján."
