"Alert Email Sender","Email küldőjének értesítése"
"Alert subscription has been saved.","Riasztási feliratkozás elmentve."
"Allow Alert When Product Comes Back in Stock","Értesítés engedélyezése a termék készletre kerülése esetén"
"Allow Alert When Product Price Changes","Értesítés engedélyezése a termék árának változása esetén"
"Click here not to receive alerts for this product","Kattints ide ha nem akarsz riasztásokat kapni erről a termékről"
"Error Email Recipient","Hiba e-mail címzettje"
"Error Email Sender","Hiba e-mail feladója"
"Error Email Template","Hiba e-mail sablon"
"Frequency","Gyakoriság"
"Price Alert Email Template","Ár értesítés email sablon"
"Price:","Ár:"
"Product Alerts","Termék értesítések"
"Product Alerts Run Settings","Termék értesítések futásának beállítása"
"Product alerts Cron error","Termék értesítés Cron hiba"
"Product price alert","Termék ár riasztás"
"Product stock alert","Termék elérhetőség riasztás"
"Regular Price:","Normál ár:"
"Sign up for price alert","Feliratkozás ár riasztásra"
"Sign up to get notified when this product is back in stock","Jelentkezés a termék elérhetőségének riasztására, ha ismét készleten van"
"Special price:","Akciós ár:"
"Start Time","Kezdés ideje"
"Stock Alert Email Template","Készlet értesítés email sablon"
"You will no longer receive price alerts for this product.","Nem fog a továbbiakban ár értesítést kapni erről a termékről."
"The product was not found.","A termék nem található."
"Unable to update the alert subscription.","Nem lehet frissíteni a riasztási feliratkozást."
"Unsubscribe from all price alerts","Leiratkozás az összes ár értesítésről"
"Unsubscribe from all stock alerts","Leiratkozás az összes készlet értesítésről"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Ezért kapod ezt a figyelmeztetést mert feliratkoztál a készlet riasztására a következő termékeknek:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Azért kapod ezt a figyelmezetést mert feliratkzotál a az ár riasztására a következő termékeknek"
"You will no longer receive stock alerts for this product.","Nem fog a továbbiakban készlet értesítést kapni erről a termékről."
"You will no longer receive stock alerts.","Nem fog a továbbiakban készlet értesítést kapni."
