"%s Item(s)","%s termék"
"(Shift-)Click or drag to change value","(Shift-)Kattint vagy húz az érték változtatásához"
"- Click on any of the time parts to increase it","- Kattintson bármely időpontra az emeléséhez"
"- Hold mouse button on any of the above buttons for faster selection.","- Tartsa lenyomva az egér gombját bármelyik fenti gombon a gyorsabb kiválasztáshoz."
"- Use the %s buttons to select month","- Használja a %s gombokat a hónap kiválasztásához"
"- Use the %s, %s buttons to select year","- Használja a %s, %s gombokat az év kiválasztásához"
"- or Shift-click to decrease it","- vagy Shift-click a csökkentéséhez"
"- or click and drag for faster selection.","- vagy fogd és vidd a gyorsabb kiválasztáshoz."
"-- Please Select --","-- Kérem válasszon --"
"1 column","1 oszlop"
"2 columns with left bar","2 oszlop bal oldalsávval"
"2 columns with right bar","2 oszlop jobb oldalsávval"
"3 columns","3 oszlop"
"About the calendar","A naptár névjegye"
"Account","Fiók"
"All Pages","Minden oldal"
"Allow","Engedélyez"
"Click <a href=""%s"">here</a> if nothing has happened","Kattintson <a href=""%s"">ide</a> ha semmi sem történt"
"Close","Bezár"
"Close Window","Ablak bezárása"
"DHTML Date/Time Selector","DHTML Dátum/Idő választó"
"Date selection:","Dátum választás:"
"Default Description","Default leírás"
"Default welcome msg!","Alapértelmezett üdvözlő üzenet!"
"Display %s first","Mutassa %s először"
"Distributed under GNU LGPL. See %s for details.","Terjesztve GNU LGPL. Lásd %s, további részletekért."
"Drag to move","Fogd és vidd"
"Empty","Üres"
"For latest version visit: %s","Legújabb verzió: %s"
"Go Today","Ugrás a mai napra"
"Help Us to Keep Magento Healthy","Segítsen Ön is a magento fejlesztésében"
"Interface Language","Felület nyelve"
"Items %s to %s of %s total","%s-%s-ig Össz.: %s"
"JavaScript seems to be disabled in your browser.","Úgy tűnik a JavaScript ki van kapcsolva a böngésződben."
"Left Column","Bal oldali oszlop"
"Menu","Menü"
"Next","Következő"
"Page:","Oldal:"
"Previous","Előző"
"Redirecting...","Átirányítás..."
"Report All Bugs","Minden hiba jelentése"
"Right Column","Jobb oldali oszlop"
"Search","Keresés"
"Select Store","Webáruház kiválasztása"
"Show","Megjelenítés"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ez egy demo áruház. Minden a bolton keresztül leadott rendelésért nagyon hálásak vagyunk, de nem lesz teljesítve."
"View All","Mindet megnéz"
"Welcome, %s!","Üdvözöljük, %s!"
"Your Language","Az ön nyelve"
"Your Language:","Az ön nyelve:"
"per page","oldalanként"
