" for more information or "," további információért vagy "
"# of Items (and above)","Elemek száma (és felette)"
"# of Items vs. Destination","Elemek száma vs. cél"
"Calculate Handling Fee","Kezelési költség kiszámítása"
"Carrier:","Szállító:"
"City","Város"
"Close Window","Ablak bezárása"
"Condition","Feltétel"
"Country","Ország"
"Custom Value","Egyéni érték"
"Date","Dátum"
"Delivered on:","Kiszállítva:"
"Delivered to:","Kiszállítva ide:"
"Description","Leírás"
"Displayed Error Message","Megjelenített hibaüzenet"
"Divide to equal weight (one request)","Egyenlő súlyokra osztás (egy kérelem)"
"Enabled","Engedélyezve"
"Error:","Hiba:"
"Export","Exportálás"
"Fixed","Rögzített"
"Flat Rate","Átalány"
"Free Shipping","Ingyenes szállítás"
"Handling Fee","Kezelési költség"
"Import","Importálás"
"Invalid Table Rate code for type %s: %s","Érvénytelen táblázat kód %s: %s"
"Invalid Table Rate code type: %s","Érvénytelen táblázat kód típus: %s"
"Invalid Table Rates File Format","Érvénytelen táblázat formátum"
"Local Time","Helyi idő"
"Location","Hely"
"Method Name","Szállítás módja"
"Minimum Order Amount","Minimális rendelési összeg"
"None","Egyik sem"
"Options","Opciók"
"Order Subtotal (and above)","Részösszeg (és felette)"
"Origin","Származás"
"Per Order","Rendelésenként"
"Per Package","Csomagonként"
"Percent","Százalék"
"Price","Ár"
"Price vs. Destination","Ár vs. cél"
"Region/State","Régió/állam"
"Service Type:","Szolgáltatás:"
"Ship to Applicable Countries","Szállítás az alkalmazható országokba"
"Ship to Specific Countries","Szállítás megadott országokba"
"Shipment #","Szállítmány #"
"Shipped or billed on:","Számlázva vagy szállítva:"
"Shipping Methods","Szállítási módok"
"Shipping Settings","Szállítási beállítások"
"Show Method if Not Applicable","Mód megjelenítése, ha nem alkalmazható"
"Signed by:","Aláírta:"
"Sort Order","Rendezési sorrend"
"Status:","Állapot:"
"Store Pickup","Átvétel a boltban"
"Street Address","Utca, házszám"
"Street Address Line 2","Utca, házszám 2. sor"
"Table Rates","Táblázatértékek"
"The shipping module is not available.","A szállítás modul nem érhető el."
"There is no tracking available for this shipment.","Nincs nyomonkövetés ehhez a szállítmányhoz."
"There is no tracking available.","Nem áll rendelkezésre nyomonkövetés."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ez a szállítási mód jelenleg nem elérhető. Ha mégis ezt szeretné igénybe venni, lépjen kapcsolatba velünk."
"Title","Cím"
"Track:","Követés:"
"Tracking Information","Nyomkövetési információk"
"Tracking Number:","Nyomkövetési szám:"
"Tracking information is currently not available. Please ","Nyomonkövetési információ jelenleg nem érhető el. Kérem "
"Tracking information is currently unavailable.","Követési adatok nem elérhetők."
"Type","Típus"
"Use origin weight (few requests)","Használjon összsúlyt (néhány kérelem)"
"Weight (and above)","Súly (és felette)"
"Weight vs. Destination","Tömeg vs. cél"
"Weight:","Súly:"
"ZIP/Postal Code","Irányítószám"
"contact us","lépjen kapcsolatba velünk"
"email us at ","íron nekünk itt "
