"-- Please select --","-- Kérjük válasszon --"
"Allowed Currencies","Engedélyezett pénznemek"
"Base Currency","Alap pénznem"
"Connection Timeout in Seconds","Kapcsolat időtúllépése másodpercben"
"Continue &raquo;","Tovább &raquo;"
"Country","Ország"
"Country and Format Type combination should be unique","Az Ország és a formátumtípus kombinációja egyedi kell legyen!"
"Currency","Pénznem"
"Currency Options","Pénznemopciók"
"Currency Setup","Pénznem beállítása"
"Currency Update Warnings","Pénznem-frissítési figyelmeztetések"
"Default Display Currency","Alapértelmezetten megjelenő pénznem"
"Directory","Jegyzék"
"Enabled","Engedélyezve"
"Error Email Recipient","Hiba e-mail címzettje"
"Error Email Sender","Hiba e-mail feladója"
"Error Email Template","Hiba e-mail sablon"
"FATAL ERROR:","VÉGZETES HIBA:"
"Frequency","Gyakoriság"
"Installed Currencies","Telepített pénznemek"
"Invalid country code: %s","Érvénytelen ország kód: %s"
"Invalid rates received","Érvénytelen ráták érkeztek"
"List of countries","Országok listája"
"List of regions in specified country","Régiók listája az adott országban"
"Region","Régió"
"Scheduled Import Settings","Ütemezett import beállításai"
"Select Your Currency","Válassza ki a pénznemét"
"Service","Szolgáltatás"
"Start Time","Kezdés ideje"
"State/Province","Állam/megye"
"Strikeiron Email Update Warnings","Strikeiron E-mail frissítés figyelmeztetés"
"WARNING:","FIGYELMEZTETÉS:"
"Your current currency is: %s","Ön jelenlegi pénzneme: %s"
