"* Required Fields","* kitöltése kötelező"
"Admin","Adminisztrátor"
"Authorize","Engedélyez"
"Close","Bezár"
"Created At","Létrehozva"
"Customer","Vásárló"
"Delete","Törlés"
"Disable","Letiltás"
"Disabled","Tiltott"
"Edit","Szerkesztés"
"Email","E-mail"
"Email Address","Email cím"
"Enable","Bekapcsolás"
"Enabled","Engedélyezve"
"ID","Azonosító"
"Key","Kulcs"
"Log In","Bejelentkezés"
"Login","Bejelentkezés"
"Name","Név"
"Password","Jelszó"
"Permissions","Jogosultságok"
"Role Name","Szerepkör neve"
"Save","Mentés"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Status","Állapot"
"System","Rendszer"
"User ID","Felhasználói azonosító"
"User Name","Felhasználói név"
