"API Password","API jelszó"
"API Signature","API aláírás"
"Address","Cím"
"Advanced Settings","Haladó beállítások"
"Allowed Credit Card Types","Engedélyezett hitelkártya típusok"
"Authorization","Engedélyezés"
"Billing Information","Számlázási információk"
"City","Város"
"Close","Bezár"
"Company","Cég"
"Configure","Konfigurálás"
"Continue","Folytatás"
"Country","Ország"
"Credit","Egyenleg"
"Custom","Egyedi"
"Daily","Napi"
"Discount","Kedvezmény"
"Display","Mutatás"
"Display on Shopping Cart","Megjelenik a kosárban"
"Dynamic","Dinamikus"
"Edit","Szerkesztés"
"Edit Shopping Cart","Kosár szerkesztése"
"Email Address","Email cím"
"Enable this Solution","A megoldás engedélyezése"
"Enabled","Engedélyezve"
"Event","Esemény"
"Fax","Faxszám"
"Items in Your Shopping Cart","Tételek a kosaradban"
"Learn More","További információk"
"Login","Bejelentkezés"
"Never","Soha"
"No","Nem "
"Order","Rendelés"
"Order ID","Megrendelés azonosító"
"Password","Jelszó"
"Payment Action","Fizetési művelet"
"Payment Method","Fizetési mód"
"Pending PayPal","Függő PayPal"
"Place Order","Megrendelés"
"Please agree to all the terms and conditions before placing the order.","Kérjük, fogadd el az összes általános szerződési feltételt mielőtt leadsz egy rendelést."
"Please select a shipping method...","Válassz kiszállítási módot..."
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Position","Pozició"
"Price","Ár"
"Product","Termék"
"Product Name","Terméknév"
"Qty","Mennyiség"
"Reports","Jelentések"
"Require Customer's Billing Address","Vásárló számlázási címe szükséges"
"Review Order","Rendelés áttekintése"
"Sale","Eladás"
"Sales","Értékesítések"
"Sandbox Mode","Sandbox mód"
"Schedule","Ütemezés"
"Shipping","Szállítás"
"Shipping Address","Szállítási cím"
"Shipping Information","Szállítási információk"
"Shipping Method","Szállítási mód"
"Size","Méret"
"Sorry, no quotes are available for this order at this time.","Nincsenek elérhető megjegyzések ehhez a rendeléshez."
"Sort Order","Rendezési sorrend"
"State/Province","Állam/megye"
"Static","Statikus"
"Street Address","Utca, házszám"
"Submitting order information...","Rendelési információk feldolgozása..."
"Subtotal","Részösszeg"
"Telephone","Telefon"
"Test Mode","Teszt mód"
"There was an error processing your order. Please contact us or try again later.","Hiba történt a rendelés feldolgozása közben. Lépjen kapcsolatba velünk, vagy próbálja meg később."
"Title","Cím"
"Transaction ID","Tranzakció azonosító"
"Update Shipping Method","Szállítási mód frissítés"
"User","Felhasználó"
"VAT Number","Adószám"
"View","Megnéz"
"Void","Érvénytelen"
"Website Payments Standard","Weboldal Fizetés Alap"
"Yes","Igen"
"Zip/Postal Code","Irányítószám"
