"* Required Fields","* kitöltése kötelező"
"--Please Select--","--Kérem, válasszon--"
"<label>Make Check payable to:</label> %s","<label>Csekk kifizethető neki:</label> %s"
"Bank Transfer Payment","Banki átutalásos fizetés"
"Card Verification Number","Kártya ellenőrző szám"
"Cash On Delivery Payment","Utánvétes fizetés"
"Credit Card Number","Hitelkártyaszám"
"Credit Card Number: xxxx-%s","Bankkártya szám: xxxx-%s"
"Credit Card Type","Hitelkártya-típus"
"Credit Card Type: %s","Bankkártya típus: %s"
"Credit Card Types","Hitelkártya típusok"
"Currency","Pénznem"
"Day","Nap"
"Enabled","Engedélyezve"
"Expiration Date","Lejárat dátuma"
"Expiration Date: %s/%s","Lejárat dátuma: %s/%s"
"Incorrect credit card expiration date.","Helytelen hitelkártya lejárati dátuma."
"Instructions","Utasítások"
"Issue Number","Ügyszám"
"Make Check payable to: %s","Csekk kifizetendő neki: %s"
"Maximum Order Total","Maximális rendelési összeg"
"Merchant ID","Kereskedő azonosító"
"Minimum Order Total","Minimális rendelési összeg"
"Month","Hónap"
"Name on Card","Név a kártyán"
"Name on the Card: %s","Név a kártyán: %s"
"New Order Status","Új megrendelés állapota"
"Password","Jelszó"
"Payment Method","Fizetési mód"
"Payment Methods","Fizetési Módok"
"Payment Services","Fizetési szolgáltatások"
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Please enter a valid credit card verification number.","Kérem, adjon meg egy érvényes kártyaellenőrző számot."
"Purchase Order Number","Beszerzési rendelési szám: %1"
"Purchase Order Number: %s","Rendelési szám: %s"
"Saved CC","Mentett kártya"
"Send Check to","Csekk küldése ide"
"Send Check to:","Csekk küldése ide:"
"Shipping Amount","Szállítás mennyiség"
"Sort Order","Rendezési sorrend"
"Start Date","Kezdő dátum"
"Switch/Solo/Maestro Only","Kizárólag Switch/Solo/Maestro"
"Tax Amount","Adó összege"
"Test Mode","Teszt mód"
"The requested Payment Method is not available.","A kért Fizetési mód nem elérhető."
"Title","Cím"
"What is this?","Mi ez?"
"Year","Év"
"Zero Subtotal Checkout","Zéró végösszegű vásárlás"
