"Add Minimum Qty","Minimális mennyiség hozzáadása"
"Allow Qty Below 0","0 alatti készlet engedélyezése"
"Allow Qty Below 0 and Notify Customer","0 alatti készlet engedélyezése és a vásárló figyelmeztetése"
"Automatically Return Credit Memo Item to Stock","Jóváírt tétel automatikusan visszakerül raktárba"
"Backorders","Előrendelések"
"By Fixed value","Fix mennyiséggel"
"By Percentage","Százalékkal"
"Catalog Inventory","Katalógus készlet"
"Decrease Stock When Order is Placed","Készlet csökkentése rendeléskor"
"Display Out of Stock Products","Raktárról lefogyott termékek megjelenítése"
"Enable Qty Increments","Mennyiség növekmények engedélyezése"
"In Stock","Raktáron"
"Inventory","Készlet"
"Inventory API","Rektárkészlet API"
"Manage Stock","Készlet kezelése"
"Maximum Qty Allowed in Shopping Cart","Megengedett maximum mennyiség a kosárban"
"Minimum Qty","Minimális mennyiség"
"Minimum Qty Allowed in Shopping Cart","Megengedett minimum mennyiség a kosárban"
"No Backorders","Nincs előrendelés"
"Notify for Quantity Below","Értesítés mennyiségnél"
"Only X left Threshold","Csak X maradt küszöbérték"
"Out of Stock","Nincs raktáron"
"Product Name","Terméknév"
"Product Stock Options","Termék raktár-beállítások"
"Products will still be shown by direct product URLs.","A termékek továbbra is láthatóak a Direkt URL-elken."
"Qty","Mennyiség"
"Qty Increments","Mennyiség növekmény"
"Retrieve stock data","Készlet adatok betöltése"
"Retrieve stock data by product ids","Készlet adatok betöltése termék id szerint"
"Rule price","Szabály ár"
"Set Items' Status to be In Stock When Order is Cancelled","Elem állapot beállítása Raktáron-ra ha a rendelést visszavonták"
"Stock Options","Készlet beállítások"
"Stock Status","Raktár állapot"
"The maximum quantity allowed for purchase is %s.","A maximális vásárolható mennyiség: %s."
"The minimum quantity allowed for purchase is %s.","A minimum vásárolható mennyiség: %s."
"The requested quantity for ""%s"" is not available.","Az igényelt mennyiség a termékből ""%s"" nem elérhető."
"The stock item for Product in option is not valid.","A raktár elem a választott termékhez érvénytelen."
"This product is currently out of stock.","A termék jelenleg nincs készleten."
"To Fixed Value","Rögzített értékre"
"To Percentage","Százalákra"
"Update","Frissités"
"Update product stock data","Termék készlet adatok frissítése"
"Update the Product","A termék frissítése"
