"Active","Aktív"
"Add Attribute Mapping","Jellemző társítás hozzáadása"
"Add New Attribute","Új jellemző hozzáadása"
"Add to Google Base","Hozzáadás a Google Base-hez"
"Are you sure?","Biztos benne?"
"Attribute","Jellemző"
"Attribute Set","Jellemző halmaz"
"Attribute Set and Item Type","Jellemző halmaz és termék típus"
"Attributes","Jellemzők"
"Attributes Set","Jellemző halmaz"
"Available Products","Elérhető termékek"
"Captcha confirmation error: %s","Captcha kód ellenőrzés hiba: %s"
"Catalog","Katalógus"
"Clicks","Kattintások"
"ClientLogin","Ügyfél login"
"Confirm","Megerősít"
"Current Mapping will be reloaded. Continue?","A jelenlegi párosítás újratöltődik. Folytassuk?"
"Custom attribute, no mapping","Speciális jellemző, nincs párosítás"
"Delete","Törlés"
"Delete Mapping","Társítás törlése"
"Edit Item Type","Termék típus szerkesztése"
"Edit Item Type ""%s""","Termék típus szerkesztése ""%s"""
"Error: %s","Hiba: %s"
"Expires","Lejár"
"Google Base Attribute","Google Base jellemző"
"Google Base Item Type","Google Base termék típus"
"Google Base Item type","Google Base termék típus"
"Google Base Items","Google Base Termékek"
"Hide","Elrejt"
"Invalid Product Model for Google Base Item","Érvénytelen termék minta a Google Base elem számára"
"Item Type was deleted","Termék típus törölve"
"Item Types","Termék típusok"
"Items","Termékek"
"Manage Attribute Mapping","Jellemző társítás kezelése"
"Manage Attributes","Jellemzők kezelése"
"Manage Items","Termékek kezelése"
"No","Nem "
"No items were deleted from Google Base","Nem lettek termékek törölve a Google Base-ből"
"No items were published","Nem jelent meg termék"
"No products were added to Google Base","Nem lett termék hozzáadva a Google Base-hez"
"Please, select Attribute Set and Google Item Type to load attributes","Kérem válasszon egy jellemző halmazt és Google termék típust a jellemzők betöltéséhez"
"Product Name","Terméknév"
"Publish","Közzétesz"
"Published","Közzétéve"
"Remove","Eltávolítás"
"Save Mapping","Társítás mentése"
"Synchronize","Szinkronizálás"
"Target Country","Célország"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ez a művelet frissíti a termék statisztikákat és eltávolítja a termékeket amik nem elérhetőek a Google Base-ben. Folytassam?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Csatlakozás a Google Base rendszeréhez sikertelen. Kérem ellenőrizze a hozzáférés beállításait."
"View Available Products","Elérhető termékek megtekintése"
"View Item in Google Base","Termék a Google Base rendszerében"
"Yes","Igen"
