"Access Key","Hozzáférési kulcs"
"Authorize Only","Csak engedélyez"
"Authorize and Capture","Engedélyez és levon"
"Continue Shopping","Vásárlás folytatása"
"Debug","Hibakeresés"
"Email Sender","Email feladója"
"Enable","Bekapcsolás"
"Merchant ID","Kereskedő azonosító"
"Merchant Login","Kereskedő belépés"
"New Order Status","Új megrendelés állapota"
"Payment Action","Fizetési művelet"
"Sandbox","Próba üzemmód"
"Secret Key","Titkos kulcs"
"Thank you for your purchase!","Köszönjük a vásárlást!"
"Title","Cím"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Egy e-mail üzenetet fog kapni a rendelés visszaigazolásáról, és egy linket a nyomonkövetéséhez."
