"# of Use","# használva"
"%1$s incl tax.","%1$s áfával."
"%s Item(s)","%s termék"
"(Copy data from: %s)","(Másolás innen: %s)"
"* Required Fields","* kitöltése kötelező"
"-- Please Select --","-- Kérem válasszon --"
"A group with the same name already exists.","Egy csoport már létezik ezzel a névvel."
"A name is required","Név megadása kötelező"
"A product type is not defined for the indexer.","A terméktípus nincs definiálva az indexelőhöz."
"ALL GROUPS","MINDEN CSOPORT"
"AM","de"
"Action","Akció"
"Actual Price","Aktuális ár"
"Add","Hozzáadás"
"Add Attribute","Jellemző hozzáadása"
"Add Design Change","Dizájnmódosítás hozzáadása"
"Add Group","Csoport hozzáadása"
"Add New","Új hozzáadása"
"Add New Attribute","Új jellemző hozzáadása"
"Add New Attribute Set","Új jellemző halmaz létrehozása"
"Add New Group","Új csoport hozzáadása"
"Add New Images","Új képek hozzáadása"
"Add New Option","Új választási lehetőség hozzáadása"
"Add New Row","Új sor hozzáadása"
"Add New Search Term","Új keresési kifejezés hozzáadása"
"Add New Set","Új összeállítás"
"Add Product","Termék hozzáadása"
"Add Product To Websites","Termék hozzáadása a Weboldalakhoz"
"Add Root Category","Gyökér kategória hozzáadása"
"Add Subcategory","Alkategória hozzáadása"
"Add Tax","Adó hozzáadása"
"Add Tier","Új lépcső"
"Add to Cart","Kosárba"
"Add to Compare","Összehasonlításhoz ad"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"Additional Information","További információk"
"All","Összes"
"All Product Types","Összes terméktípus"
"All Websites","Minden honlap"
"All products","Összes termék"
"All products - recently added products, New products - products marked as new","Minden termék - legfrissebb, új termékek - újnak jelölt termékek"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","A halmaz összes terméke törlődni fog! Biztos benne hogy törölni szeretné ezt a jellemző csoportot?"
"Allow All Products per Page","Engedélyezve az összes termék oldalanként"
"Amount","Összeg"
"Anchor Custom Text","Egyedi horgony szöveg"
"Anchor Custom Title","Egyedi horgony cím"
"Apply To","Alkalmazva ehhez"
"Approved","Elfogadva"
"Are you sure you want to delete this category?","Biztos abban, hogy törölni szeretné a kategóriát?"
"Are you sure you would like to remove all products from your comparison?","Biztos benne hogy minden terméket eltávolít az összehasonlításból?"
"Are you sure you would like to remove this item from the compare products?","Biztos benne hogy eltávolítja ezt a terméket az összehasonlításból?"
"Are you sure?","Biztos benne?"
"As low as:","Akár:"
"Assign","Hozzárendelés"
"Assign product link","Termék link hozzárendelése"
"Assign product to category","Termék hozzárendelése kategóriához"
"Assigned Products","Hozzárendelt termékek"
"Associated Products","Hozzárendelt termékek"
"Attrib. Set Name","Jell. csop. Név"
"Attribute Information","Jellemző-információk"
"Attribute Model","Jellemző forma"
"Attribute Name:","Jellemző neve:"
"Attribute Set","Jellemző halmaz"
"Attribute Sets","Jellemző halmazok"
"Attribute group with the ""/name/"" name already exists","Jellemző csoport ""/name/"" néven már létezik"
"Attribute with the same code already exists","Jellemző, ezzel a kóddal már létezik"
"Attributes","Jellemzők"
"Attrribute names can be specified per store.","Jellemző nevek boltonként változhatnak."
"Autogenerate","Automatikus"
"Availability:","Elérhetőség:"
"Back","Vissza"
"Backend Model","Admin Model"
"Backend Table","Admin tábla"
"Backend Table Title","Admin Table Neve"
"Backorders","Előrendelések"
"Based On","Ez alapján"
"Before Order Confirmation","Rendelés megerősítése előtt"
"Best Value","Minőség"
"Block after Info Column","Blokk az info doboz után"
"Bottom/Left","Lent/Balra"
"Bottom/Right","Lent/Jobbra"
"Browse By","Szűkítés:"
"Bundle Items","Kötegelt elemek"
"Buy %1$s for %2$s","%1$s db felett %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s db-nál az ár: %2$s (%3$s áfával) /db"
"Buy %1$s for %2$s each","%1$s db felett %2$s /db"
"Cache Lifetime (Seconds)","Cache élettartama (másodperc)"
"Can be used only with catalog input type Dropdown","Csak legördülő menüvel használható"
