"Add Option","Opció hozzáadása"
"Attempt to add an invalid object","Érvénytelen objektum hozzáadási kisérlet"
"Attribute Code","Jellemző kód"
"Attribute Label","Jellemző cimke"
"Attribute Properties","Jellemző tulajdonságok"
"Attribute object is undefined","Jellemző objektum nincs definiálva"
"Attribute with the same code","Jellemző ugyan azzal a kóddal"
"Catalog Input Type for Store Owner","Beviteli mező típusa"
"Data integrity: No header row found for attribute","Adat integritás: Nincs fejléc sor a jellemző számára"
"Date","Dátum"
"Decimal Number","Tizedesszám"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Az alapértelmezett termékrendezés nem létezik a rendelkezésre álló termékrendezések listájában."
"Default Value","Alapértelmezett érték"
"Default option value is not defined","Alapértelmezett beállítás érték nincs meghatározva"
"Delete","Törlés"
"Dropdown","Legördülő lista"
"Email","E-mail"
"Entity is not initialized","Entitás nincs megadva"
"Entity object is undefined","Az entitás tárgya nincs megadva"
"Form Type with the same code","Form Típus azonos kóddal"
"Frontend label is not defined","Bolt nézet elnevezés nincs beállítva"
"Input Validation for Store Owner","A bolt tulajdonosa ellenőrizze a beírt adatokat"
"Integer Number","Egész szám"
"Invalid alias, already exists in joint attributes","Érvénytelen álnév, már létezik a közös attribútumokban"
"Invalid attribute name: %s","Érvénytelen jellemző név: %s"
"Invalid attribute requested: %s","Érvénytelen jellemző igény: %s"
"Invalid attribute type","Érvénytelen jellemző típus"
"Invalid character encountered in increment ID: %s","Érvénytelen karakter található az 'increment ID'-ben: %s"
"Invalid date","Érvénytelen dátum"
"Invalid entity specified","Érvénytelen egyed meghatározás"
"Invalid entity supplied: %s","Érvénytelen egyed meghatározás: %s"
"Invalid entity type","Érvénytelen egyed típus"
"Invalid entity_type specified: %s","Érvénytelen entity_type : %s"
"Invalid foreign key","Érvénytelen 'foreign key'"
"Invalid joint fields","Érvénytelen kapcsolt mezők"
"Invalid store specified","Érvénytelen bolt"
"Joined field with this alias is already declared","Csatlakozó mező ezzel a névvel már deklarálva"
"Joint field or attribute expression with this alias is already declared","A közös mező vagy attribútum kifejezés ezzel az álnévvel már deklarálva van"
"Letters","Betűk"
"Letters (a-z, A-Z) or Numbers (0-9)","Betűk (a-z, A-Z) és számok (0-9)"
"Loaded %d records","%d rekord betöltve"
"Multiple Select","Többszörös kijelölés"
"No","Nem "
"No options found in config node %s","Nem található beállítás a konfigurációs csomopontban %s"
"None","Egyik sem"
"Not shared with other products","Más termékek számára nem megadható"
"Problem loading the collection, aborting. Error: %s","Probléma a kollekció betöltésekor, kilépés. Hiba: %s"
"Problem saving the collection, aborting. Error: %s","Hiba a mentés során, kilépés. Hiba: %s"
"Required","Kötelező"
"System","Rendszer"
"Text Area","Szöveg terület"
"Text Field","Szövegmező"
"URL","URL-cím"
"Unique Value","Egyedi érték"
"Unique Value (not shared with other products)","Egyedi érték (nincs megosztva más termékekkel)"
"Unknown parameter","Ismeretlen paraméter"
"Values Required","Érték szükséges"
"Wrong attribute group ID","Hibás jellemző csoport ID"
"Wrong attribute set ID","Hibás jellemző csoport ID"
"Wrong entity ID","Hibás 'entity' ID"
"Yes","Igen"
"Yes/No","Igen/Nem"
