"-- Please Select --","-- Kérem válasszon --"
"Add Block Names to Hints","Blokk nevek mutatása a javaslatban"
"Add Secret Key to URLs","Titkos kulcs hozzáadása az URL-ekhez"
"Add Store Code to Urls","Boltkód hozzáadása az URL-ekhez"
"Admin","Adminisztrátor"
"Admin Base URL","Adminisztrációs felület alap URL-címe"
"Admin User Emails","Adminisztrátor e-mailjei"
"Advanced","Részletes"
"Allow Countries","Országok engedélyezése"
"Allow Symlinks","Szimbolikus linkek engedélyezése"
"Allowed IPs (comma separated)","Engedélyezett IP-címek (vesszővel elválasztva)"
"Anchor Text for Next","Szöveg a következő oldalhoz"
"Anchor Text for Previous","Szöveg az előző oldalhoz"
"Are you sure?","Biztos benne?"
"Auto-redirect to Base URL","Automatikus átirányítás az Alap URL-re"
"Back","Vissza"
"Backup Options","Biztonsági mentés opciói"
"Base JavaScript URL","Alap Javascript URL"
"Base Link URL","Alap Link URL"
"Base Media URL","Alap Media URL"
"Base Skin URL","Alap Skin URL"
"Base URL","Alap URL"
"Block with name ""%s"" already exists","Blokk ""%s"" névvel már létezik"
"Browser Capabilities Detection","Böngésző képességek felismerése"
"CSS Settings","CSS-beállítások"
"Cache Storage Management","Gyorsítótárak kezelése"
"Can't retrieve request object","Nem tudom teljesíteni a kérést"
"Can't retrieve entity config: %s","Nem tudom teljesíteni(entity config): %s"
"Cancel","Mégse"
"Cannot complete this operation from non-admin area.","Nem tudom végrehajtani a műveletet, egy nem-admin területről."
"Card type does not match credit card number.","Kártyatípus nem illesztkedik a hitelkártya számához."
"Code","Kód"
"Controller file was loaded but class does not exist","Controller fájl betöltve de az osztály nem létezik"
"Cookie Domain","Süti domain neve"
"Cookie Lifetime","Süti élettartama"
"Cookie Path","Süti útvonala"
"Cookie Restriction Mode","Süti korlátozási mód"
"Copyright","Minden Jog Fenntartva"
"Country","Ország"
"Create Store","Bolt létrehozása"
"Create Store View","Boltnézet létrehozása"
"Create Website","Honlap létrehozása"
"Credit card number does not match credit card type.","A hitelkártya száma nem egyezik a hitelkártya típusával."
"Custom Admin Path","Egyedi adminisztrációs útvonal"
