" and "," és "
"(For US 2-letter state names)","(A US 2-betűs állam nevekhez)"
"(If left empty will be auto-generated)","(Ha üresen hagyja, automatikusan generálódik)"
"(Leave empty for first spreadsheet)","(Hagyja üresen az első munkafüzethez)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(A termékek hozzáadva/frissítve lesznek ehhez a bolthoz ha a 'store' oszlop üres vagy hiányzik az import fájlból.)"
"(Shift-)Click or drag to change value","(Shift-)Kattint vagy húz az érték változtatásához"
"(Starting with)","(Kezdés ezzel)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ha 'Nem', akkor csak a társított mezők lesznek importálva. Ha társít, használja: 'oszlop1', 'oszlop2', stb.)"
"(You have to increase php memory_limit before changing this value)","(Emelje meg a php memory_limit értékét mielőtt megváltoztatja ezt az értéket)"
"(\t for tab)","(t a tab)"
"* Required Fields","* kitöltése kötelező"
"- Click on any of the time parts to increase it","- Kattintson bármely időpontra az emeléséhez"
"- Hold mouse button on any of the above buttons for faster selection.","- Tartsa lenyomva az egér gombját bármelyik fenti gombon a gyorsabb kiválasztáshoz."
"- Use the %s buttons to select month","- Használja a %s gombokat a hónap kiválasztásához"
"- Use the %s, %s buttons to select year","- Használja a %s, %s gombokat az év kiválasztásához"
"- or Shift-click to decrease it","- vagy Shift-click a csökkentéséhez"
"- or click and drag for faster selection.","- vagy fogd és vidd a gyorsabb kiválasztáshoz."
"-- Please Select --","-- Kérem válasszon --"
"-- Please Select a Category --","-- Kérjük, válasszon egy kategóriát --"
"-- Please select --","-- Kérjük válasszon --"
"--Please Select--","--Kérem, válasszon--"
"1 Hour","1 óra"
"12 Hours","12 óra"
"12h AM/PM","12 óra, de/du"
"2 Hours","2 óra"
"24 Hours","24 óra"
"2YTD","Az utolsó két év"
"6 Hours","6 óra"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404-es hiba</h1> <p>Az oldal nem található.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Figyelem</strong>: A CAPTCHA kis- és nagybetű érzékeny."
"A user with the same user name or email already exists.","Felhasználónév vagy email cím már létezik."
"About the calendar","A naptár névjegye"
"Account Created in:","Fiók létrehozva itt:"
"Account Created on (%s):","Regisztráció (%s):"
"Account Created on:","Regisztráció:"
"Account Information","Fiókadatok"
"Account Status","Fiók állapota"
"Account status","Regisztráció állapota"
"Action","Akció"
"Actions","Műveletek"
