" Copy"," Másolás"
"Action","Akció"
"Add New Template","Új sablon hozzáadása"
"Add to Queue","Hozzáadás egy listához"
"Allow Guest Subscription","Feliratkozás engedélyezése vendégek számára"
"Are you sure that you want to delete this template?","Biztosan törölni kívánja ezt a sablont?"
"Are you sure that you want to strip all tags?","Biztos benne hogy eltávolítja az összes címkét?"
"Back","Vissza"
"Cancel","Mégse"
"Cancelled","Törölve"
"Confirmation Email Sender","Megerősítő email küldője"
"Confirmation Email Template","Megerősítő email sablon"
"Convert to Plain Text","Egyszerű szöveges üzenetté konvertálás"
"Create Newsletter Template","Hírlevél sablon létrehozása"
"Customer","Vásárló"
"Customer First Name","Vásárló keresztneve"
"Customer Last Name","Vásárló vezetékneve"
"Date Added","Hozzáadás dátuma"
"Date Updated","Frissítés ideje"
"Delete","Törlés"
"Delete Selected Problems","Kijelölt problémák törlése"
"Delete Template","Sablon törlése"
"Do you really want to cancel the queue?","Biztosan megszakítja a sort?"
"Edit Newsletter","Hírlevél szerkesztése"
"Edit Newsletter Template","Hírlevél sablon szerkesztése"
"Edit Queue","Sor szerkesztése"
"Edit Template","Sablon szerkesztése"
"Email","E-mail"
"Enter your email address","Adja meg e-mail címét"
"Error Code","Hibakód"
"Error Text","Hiba szöveg"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Kövesse ezt a linket a leiratkozáshoz <!-- Ez a tag a leiratkozási link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Vendég"
"ID","Azonosító"
"Message","Üzenet"
"Need to Confirm","Megerősítés szükséges"
"New Newsletter Template","Új hírlevél sablon"
"New Template","Új sablon"
"Newsletter","Hírlevél"
"Newsletter Message Preview","Hírlevél előnézet"
"Newsletter Problem Reports","Hírlevél problémák jelentése"
"Newsletter Queue","Hírlevél sor"
"Newsletter Section","Hírlevél szakasz"
"Newsletter Styles","Hírlevél stílusok"
"Newsletter Subscribers","Hírlevél feliratkozók"
"Newsletter Subscription","Hírlevél feliratkozás"
"Newsletter Subscriptions","Hírlevél feliratkozások"
"Newsletter Templates","Hírlevél sablonok"
"Newsletter subscription confirmation","Hírlevél feliratkozás megerősítés"
"Newsletter subscription success","Sikeres feliratkozás a hírlevélre"
"Newsletter unsubscription success","Sikeresen leiratkozott a hírlevélről"
"No Templates Found","Nincsenek sablonok"
"Not Activated","Nem aktivált"
"Not Sent","Nincs elküldve"
"Pause","Szünet"
"Paused","Szüneteltetve"
"Please enter a valid email address.","Kérjük, adjon meg egy érvényes email címet."
"Please enter new template name","Adjon meg új sablon nevet"
"Please select subscriber(s)","Válasszon ki előfizetőket"
"Preview","Előnézet"
"Preview Template","Sablon előnézete"
"Processed","Feldolgozott"
"Queue Date Start","Sor kezdő dátum"
"Queue Finish","Várólista befejezés"
"Queue Information","Sor információ"
"Queue Start","Sor kezdete"
"Queue Subject","Sor tárgya"
"Recipients","Címzettek"
"Reset","Alaphelyzet"
"Resume","Folytatás"
"Return HTML Version","HTML verzió visszaadása"
"Save As","Mentés másként"
"Save Newsletter","Hírlevél mentése"
"Save Template","Sablon mentése"
"Save and Resume","Mentés és folytatás"
"Sender","Feladó"
"Sender Email","Küldő email címe"
"Sender Name","Feladó neve"
"Sending","Küldés"
"Sent","Elküldve"
"Sign Up for Our Newsletter:","Iratkozzon fel hírlevelünkre:"
"Sign up for our newsletter","Íratkozzon fel hírlevelünkre"
"Start","Kezdet"
"Status","Állapot"
"Store","Bolt"
"Store View","Bolt nézet"
"Subject","Tárgy"
"Submit","Beküldés"
"Subscribe","Feliratkozás"
"Subscribed","Feliratkozott"
"Subscriber","Feliratkozó"
"Subscribers","Feliratkozók"
"Subscribers From","Feliratkozottak innen"
"Subscription Options","Feliratkozási lehetőségek"
"Success Email Sender","Sikeres email küldő"
"Success Email Template","Sikeres email sablon"
"Template Content","Sablon tartalma"
"Template Information","Sablon információk"
"Template Name","Sablon neve"
"Template Styles","Sablon stílusa"
"Template Subject","Sablon tárgya"
"Template Type","Sablon típusa"
"Thank you for your subscription.","Köszönjük, hogy feliratkozott."
"There was a problem with the subscription: %s","Hiba történt a feliratkozás során: %s"
"There was a problem with the un-subscription.","Hiba történt a le-iratkozás során."
"This email address is already assigned to another user.","Az email cím már hozzá van rendelve egy másik felhasználóhoz."
"Type","Típus"
"Unconfirmed","Meg nem erősített"
"Unsubscribe","Leiratkozás"
"Unsubscribe Selected","Kiválasztottak leiratkoztatása"
"Unsubscribed","Leiratkozott"
"Unsubscription Email Sender","Leiratkozó email küldője"
"Unsubscription Email Template","Leiratkozás Email sablon"
"View Newsletter","Hírlevél megtekintése"
"Website","Honlap"
"Your subscription has been confirmed.","A feliratkozása megerősítésre került."
