"%d Review(s)","%d vélemény"
"%s Review(s)","%s vélemény"
"(Posted on %s)","(Létrehozva: %s)"
"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"Add New Review","Új vélemény írása"
"Add Your Review","Írja le véleményét"
"Administrator","Adminisztrátor"
"All Reviews","Összes vélemény"
"Allow Guests to Write Reviews","Értékelés engedélyezése vendégek számára"
"Approved","Elfogadva"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Are you sure?","Biztos benne?"
"Average Customer Rating","Átlagos vevői értékelés"
"Average Customer Rating:","Átlagos vevői értékelés:"
"Back","Vissza"
"Back to My Reviews","Vissza a véleményeimhez"
"Back to Product Reviews","Vissza a termék véleményekhez"
"Be the first to review this product","Legyen Ön az első aki értékeli ezt a terméket"
"Created On","Létrehozva"
"Customer","Vásárló"
"Customer Reviews","Vevő vélemények"
"Customers Reviews","Vélemények"
"Delete","Törlés"
"Delete Review","Vélemény törlése"
"Detailed Rating","Részletes értékelés"
"Edit Review '%s'","Vélemény szerkesztése '%s'"
"Guest","Vendég"
"How do you rate this product?","Hogyan értékelné Ön ezt a terméket?"
"ID","Azonosító"
"My Product Reviews","Termék véleményeim"
"My Recent Reviews","Friss véleményeim"
"Name","Név"
"New Review","Új értékelés"
"Nickname","Becenév"
"Pending","Függő"
"Pending Reviews","Folyamatban lévő vélemények"
"Please select a product","Válasszon ki egy terméket"
"Please select one of each of the ratings above","Kérem válasszon egyet az értékelések közül."
"Posted By","Létrehozta"
"Price","Ár"
"Product","Termék"
"Product Name","Terméknév"
"Product Rating","Termék értékelése"
"Product Rating:","Termék értékelése:"
"Product Review (submitted on %s):","Termék vélemény (létrehozva %s):"
"Product Reviews","Termék vélemények"
"Product SKU","Termék CSZ"
"Products Reviews","Termékek véleményei"
"Qty","Mennyiség"
"Rating:","Értékelés:"
"Review","Értékelés"
"Review Details","Értékelés részletei"
"Review by %s","Véleményezte: %s"
"Reviews","Vélemények"
"Reviews and Ratings","Vélemények és értékelések"
"SKU","Cikkszám"
"Save Review","Vélemény mentése"
"Status","Állapot"
"Submit Review","Vélemény elküldése"
"Summary Rating","Összefoglaló értékelés"
"Summary of Review","Értékelés összefoglalása"
"Summary of Your Review","Véleményének összegzése"
"Title","Cím"
"Type","Típus"
"Update Status","Státusz frissítése"
"View All Reviews","Összes vélemény megtekintése"
"View Details","Részletek megjelenítése"
"Visible In","Láthatóság"
"Websites","Weboldalak"
"Write Your Own Review","Írja le saját véleményét"
"You have submitted no reviews.","Ön még nem adott le véleményt."
"Your Rating:","Ön értékelése:"
"Your Review (submitted on %s):","Véleménye (létrehozva %s):"
