"%s - Discounts and Coupons","%s - Engedmények és szelvények"
"%s has reached a quantity of %s.","%s elérte a %s mennyiséget."
"%s's Wishlist","%s kívánságlistája"
"Cannot retrieve the wishlist","Kivánságlista nem visszavonható"
"Catalog","Katalógus"
"Click for price","Kattintson ide az árért"
"Comment: %s<br/>","Megjegyzés: %s<br/>"
"Coupons/Discounts","Szelvények/Engedmények"
"Current Status: %s<br/>","Jelenlegi állapot: %s<br/>"
"Customer Name: %s","Vevő neve: %s"
"Customer Order Status Notification","Vevői rendelés állapot figyelmeztetés"
"Details for %s #%s","Részelek %s #%s"
"Discount","Kedvezmény"
"Discount (%s)","Engedmény (%s)"
"Enable RSS","RSS engedélyezése"
"Error in processing xml. %s","Hiba az xml feldolgozása közben. %s"
"From:","Feladó:"
"Get Feed","Forrás megnyitása"
"Gift Message","Ajándék üzenet"
"Grand Total","Mindösszesen"
"Low Stock Products","Alacsony készletű termékek"
"Message:","Üzenet:"
"New Orders","Új rendelések"
"New Products","Új termékek"
"New Products from %s","Uj termékek innen: %s"
"Notified Date: %s<br/>","Figyelmeztetve ekkor: %s<br/>"
"Order","Rendelés"
"Order # %s Notification(s)","Rendelés # %s figyelmezetés(ek)"
"Order #%s created at %s","Rendelés #%s elkészítve ekkor %s"
"Pending product review(s)","Függőben lévő termék értékelés(ek)"
"Product: ""%s"" review By: %s","Termék: ""%s"" véleményezte: %s"
"Product: <a href=""%s"">%s</a> <br/>","Termék: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Termékek %s címkével"
"Purchased From: %s","Vásárolva innen: %s"
"RSS Feeds","RSS hírcsatornák"
"Review: %s <br/>","Vélemény: %s <br/>"
"Rss Config","RSS beállítás"
"Shipping &amp; Handling","Szállítás &amp; Kezelés"
"Special Products","Speciális termékek"
"Store: %s <br/>","Bolt: %s <br/>"
"Subtotal","Részösszeg"
"Summary of review: %s <br/>","'%s vélemény összegzése <br/>"
"Tags Products","Termék címkézés"
"Tax","Adó"
"To:","Címzett:"
"Top Level Category","Kategória legfelső szintje"
"Total: %s<br/>","Összesen: %s<br/>"
"Wishlist","Kívánságlista"
