"* Required Fields","* kitöltése kötelező"
"Comment","Hozzászólás"
"Contact Form","Kapcsolatfelvételi űrlap"
"Contact Information","Elérhetőségi adatok"
"Contact Us","Lépj velünk kapcsolatba"
"Contacts","Névjegyek"
"Email","E-mail"
"Email Options","Email beállítások"
"Email Sender","Email feladója"
"Email Template","Email sablon"
"Enable Contact Us","Lépj velünk kapcsolatba engedélyezése"
"Name","Név"
"Send Emails To","E-mailek küldése"
"Submit","Beküldés"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Nem sikerült végrehajtani a kérést. Kérem próbálja újra később"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Üzenetét megkaptuk, amint lehet válaszolunk Önnek."
