"Actions","Műveletek"
"Active","Aktív"
"Add New Rule","Új szabály hozzáadása"
"Alphabetical","Betűrendes"
"Alphanumeric","Alfanumerikus"
"Apply","Alkalmazás"
"Apply To","Alkalmazva ehhez"
"Apply the rule only if the following conditions are met (leave blank for all products)","A szabály csak akkor teljesüljön ha az alábbi feltételek teljesülnek (hagyja üresen minden termékhez)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","A szabály csak akkor teljesüljön ha a kosár tételei megegyeznek a következő feltételekkel (hagyja üresen minden termékhez)"
"Apply the rule to cart items matching the following conditions","Szabály érvényesítése a kosár tételeire amik megfelelnek a következő feltételeknek"
"Buy X get Y free (discount amount is Y)","X-et vesz Y-t kap ajándékba. (engedmény értéke Y)"
"By Fixed value","Fix mennyiséggel"
"By Percentage","Százalékkal"
"Cart Attribute","Kosár jellemzők"
"Catalog","Katalógus"
"Code Format","Kód formátum"
"Code Length","Kód hossz"
"Code Prefix","Kód előtag"
"Code Suffix","Kód utótag"
"Conditions","Feltételek"
"Conditions combination","Feltételek kombinációja"
"Coupon","Kupon"
"Coupon Code","Kuponkód"
"Created On","Létrehozva"
"Customer Groups","Vevői csoportok"
"Dash Every X Characters","Minden X karakter helyett kötőjel"
"Date Expire","Lejárat"
"Date Start","Kezdés"
"Default Label","Alapértelmezett címke"
"Description","Leírás"
"Discount Amount","Engedmény összege"
"Discount Qty Step (Buy X)","Kedvezmény lépcső (Vegyen X-et)"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Excluding prefix, suffix and separators.","Előtag, utótag és elválasztók kivételével."
"Fixed amount discount","Fix összegű kedvezmény"
"Fixed amount discount for whole cart","Fix összegű kedvezmény az egész kosárra"
"For matching items only","Csak az egyező elemekre"
"For shipment with matching items","Szállításra egyező elemekkel"
"Free Shipping","Ingyenes szállítás"
"From Date","Mióta"
"General Information","Általános információ"
"Generate","Létrehoz"
"ID","Azonosító"
"Inactive","Inaktív"
"Labels","Címkék"
"NOT LOGGED IN","NINCS BEJELENTKEZVE"
"New Rule","Új szabály"
"No","Nem "
"Number of Uses","Használatok száma"
"Numeric","Numerikus"
"Payment Method","Fizetési mód"
"Percent of product price discount","Termék ár kedvezmény százaléka"
"Period","Időszak"
"Price in cart","Ár a kosárban"
"Priority","Prioritás"
"Product attribute combination","Termék jellemző kombinációk"
"Products subselection","Termék kiválasztás"
"Promotions","Promóciók"
"Public In RSS Feed","Publikus RSS hírforrás"
"Quantity in cart","Mennyiség a kosárban"
"Row total in cart","Végösszeg sor a kosárban"
"Rule Information","Szabály-információ"
"Rule Name","Szabály neve"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Shipping Country","Szállítási ország"
"Shipping Method","Szállítási mód"
"Shipping Postcode","Szállítási irányítószám"
"Shipping Region","Szállítási régió"
"Shipping State/Province","Szállítási megye/régió"
"Shopping Cart Price Rule","Bevásárlókosár ár szabály"
"Shopping Cart Price Rules","Bevásárlókosár ár szabályok"
"Special Price","Akciós ár"
"Status","Állapot"
"Subtotal","Részösszeg"
"Subtotal Amount","Részösszeg mennyiség"
"This rule no longer exists.","Ez a szabály már nem létezik."
"To Date","Meddig"
"To Fixed Value","Rögzített értékre"
"To Percentage","Százalákra"
"Total","Összesen"
"Total Items Quantity","Összes termék mennyisége"
"Total Weight","Összsúly"
"Update prices using the following information","Árak frissítése a következő információk használatával"
"Update product's %s %s: %s","Termék frissítés %s %s: %s"
"Update the Product","A termék frissítése"
"Used","Használva"
"Website","Honlap"
"Websites","Weboldalak"
"Yes","Igen"
