"* Required Fields","* obligātie lauki"
"--Please Select--","--Lūdzu izvēlieties--"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Credit Card Number","Kredītkartes numurs"
"Credit Card Type","Kredītkartes veids"
"Credit Card Types","Kredītkaršu veidi"
"Credit card type is not allowed for this payment method.","Maksājuma veidam šis kredītkartes veids nav atļauts."
"Currency","Valūta"
"Day","Diena"
"Enabled","Ieslēgts"
"Expiration Date","Derīguma termiņš"
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Merchant ID","Tirgotāja ID"
"Minimum Order Total","Minimālā pasūtījuma summa"
"Month","Mēnesis"
"New Order Status","Jauna pasūtījuma statuss"
"Password","Parole"
"Payment Method","Apmaksas veids"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Selected payment type is not allowed for billing country.","Izvēlētais maksājuma veids nav atļauts valstī no kuras ir maksātājs."
"Sort Order","Kārtošanas secība"
"Start Date","Sākuma datums"
"Tax Amount","Nodokļi"
"Test Mode","Testa režīms"
"Title","Nosaukums"
"What is this?","Kas tas ir?"
"Year","Gads"
