"Access Key","Piekļuves atslēga"
"Authorize Only","Tikai autorizācija"
"Authorize and Capture","Autorizēt un saņemt"
"Continue Shopping","Turpināt iepirkties"
"Debug","Atkļūdot"
"Email Sender","E-pasta sūtītājs"
"Enable","Ieslēgt"
"Merchant ID","Tirgotāja ID"
"New Order Status","Jauna pasūtījuma statuss"
"Payment Action","Maksājuma darbība"
"Secret Key","Slepenā atslēga"
"Thank you for your purchase!","Paldies par pirkumu!"
"Title","Nosaukums"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar pasūtījuma informāciju un www saiti  lai sekotu tā progresam."
