"All Websites","Visas lapas"
"Display Prices In Emails","Rādīt cenas e-pastos"
"Display Prices In Product Lists","Rādīt cenas produktu sarakstos"
"Display Prices In Sales Modules","Rādīt cenas pārdošanas moduļos"
"Display Prices On Product View Page","Rādīt cenas produkta skata lapā"
"Enable FPT","Ieslēgt VN"
"Excluding FPT","Neiekļaut VN"
"Fixed Product Tax","Valsts Nodeva"
"Fixed Product Taxes","Valsts Nodevas"
"Include FPT In Subtotal","Iekļaut VN starpsummā"
"Including FPT and FPT description","Iekļaut VN un VN aprakstu"
"Including FPT only","Iekļaut tikai VN"
"Total","Kopā"
"Total Incl. Tax","Kopā ar nodokli"
"Total:","Kopā:"
