"-- Please Select --","-- Lūdzu, izvēlieties --"
"Add Secret Key to URLs","Pievienot slepeno atslēgu URL saitēm"
"Add Store Code to Urls","Pievienot URL veikala kodu"
"Admin","Administrators"
"Admin Base URL","Administrācijas pamata URL"
"Admin User Emails","Administrācijas lietotāja e-pasts"
"Advanced","Paplašināts"
"Allow Countries","Atļaut valstis"
"Allow Symlinks","Atļaut simboliskās saites"
"Allowed IPs (comma separated)","Atļautās IP (atdalītas ar komatu)"
"Anchor Text for Next","Enkura teksts nākošajam"
"Anchor Text for Previous","Enkura teksts iepriekšējam"
"Are you sure?","Vai esat pārliecināts?"
"Auto-redirect to Base URL","Automātiska pārvirzīšana uz pamata URL"
"Back","Atpakaļ"
"Backup Options","Rezerves kopijas opcijas"
"Base Link URL","Pamata saites URL"
"Base URL","Pamata URL"
"CSS Settings","CSS iestatījumi"
"Cache Storage Management","Keša glabāsanas pārvaldība"
"Cancel","Atcelt"
"Code","Kods"
"Country","Valsts"
"Create Store","Izveidot veikalu"
"Create Store View","Izveidot veikala skatu"
"Create Website","Izveidot mājas lapu"
"Custom Admin Path","Pielāgots administrācijas ceļš"
"Custom Admin URL","Pielāgots administrācijas URL"
"Custom Design","Pielāgots dizains"
"Custom Email 1","Papildus e-pasts 1"
"Custom Email 2","Papildus e-pasts 2"
"Custom Variables","Pielāgoti mainīgie"
"Customer Support","Klientu atbalsts"
"Dashboard","Infopanelis"
"Date From","Datums no"
"Date To","Datums līdz"
"Debug","Atkļūdot"
"Default","Noklusētais"
"Default Country","Noklusētā valsts"
"Default No-route URL","Noklusētā No-route URL"
"Default Pages","Noklusētās lapas"
"Default Store","Noklusētais skats"
"Default Store View","Noklusētais veikala skats"
"Default Title","Noklusētais nosaukums"
"Default Web URL","Noklusētā lapas URL"
"Delete","Dzēst"
"Delete Store","Dzēst veikalu"
"Delete Store View","Dzēst veikala skatu"
"Design","Dizains"
"Design Change","Dizaina maiņa"
"Developer","Izstrādātājs"
"Developer Client Restrictions","Izstrādātāja klienta ierobežojumi"
"Disable Email Communications","Izslēgt e-pasta komunikāciju"
"Disable Modules Output","Izslēgt moduļu attēlošanu"
"Edit Design Change","Labot dizaina izmaiņas"
"Edit Store","Labot veikalu"
"Edit Store View","Labot veikala skatu"
"Enable Charts","Ieslēgt grafikus"
"Enabled","Ieslēgts"
"Enabled for Admin","Ieslēgt veikala administrācijā"
"European Union Countries","Eiropas Savienības valstis"
"First Day of Week","Nedēļas pirmā diena"
"Flush Cache Storage","Tīrīt kešu"
"Flush OpenMage Cache","Tīrīt OpenMage kešu"
"Footer","Kājene"
"Forgot Password Email Template","Aizmirstas paroles e-pasta šablons"
"General","Vispārīgi"
"General Contact","Galvenā kontaktinformācija"
"General Settings","Vispārīgie iestatījumi"
"Global","Globāls"
"Header","Galvene"
"Host","Hosts"
"How many links to display at once.","Cik daudz saites uzreiz parādīt."
"Invalid block: %s","Nepareizs bloks: %s"
"JavaScript Settings","JavaScript iestatījumi"
"Layout","Izkārtojums"
"Leave empty for access from any location.","Atstājiet tukšu lai piekļūtu no jebkuras vietas."
"Locale","Lokalizācija"
"Locale Options","Lokalizācijas opcijas"
"Login is Case Sensitive","Pieslēgšanās ir reģistrjūtīga"
"Mail Sending Settings","E-pasta sūtīšanas iestatījumi"
