"%d Review(s)","%d Atsauksme(s)"
"%s Review(s)","%s Atsauksme(s)"
"(Posted on %s)","(Publicēta %s)"
"1 star","1 zvaigzne"
"2 stars","2 zvaigznes"
"3 stars","3 zvaigznes"
"4 stars","4 zvaigznes"
"5 stars","5 zvaigznes"
"Add New Review","Pievienot jaunu atsauksmi"
"Add Your Review","Pievienot Jūsu atsauksmi"
"Administrator","Administrators"
"All Reviews","Visas atsauksmes"
"Allow Guests to Write Reviews","Atļaut viesiem rakstīt atsauksmes"
"Approved","Apstiprināts"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Are you sure?","Vai esat pārliecināts?"
"Average Customer Rating","Vidējais klientu vērtējums"
"Average Customer Rating:","Vidējais klientu vērtējums:"
"Back","Atpakaļ"
"Back to Main Product Info","Atpakaļ uz Produkta galveno informāciju"
"Back to My Reviews","Atpakaļ pie manām atsauksmēm"
"Back to Product Reviews","Atpakaļ pie produkta atsauksmēm"
"Be the first to review this product","Uzraksti pirmais atsauksmi par šo produktu"
"Created On","Izveidots"
"Customer","Klients"
"Customer Reviews","Klientu atsauksmes"
"Customers Reviews","Klientu atsauksmes"
"Delete","Dzēst"
"Delete Review","Dzēst atsauksmi"
"Detailed Rating","Detalizēts vērtējums"
"Guest","Viesis"
"How do you rate this product?","Sniedziet savu vērtējumu šai precei."
"Manage Ratings","Pārvaldīt vērtējumus"
"My Product Reviews","Mani produktu vērtējumi"
"My Recent Reviews","Mani nesenie vērtējumi"
"Name","Vārds"
"New Review","Jauna atsauksme"
"Nickname","Segvārds"
"Not Approved","Nav apstiprināts"
"Pending","Gaida"
"Pending Reviews","Atsauksmes kuras gaida apstiprināšanu"
"Please select a product","Lūdzu izvēlieties preci"
"Posted By","Uzrakstīja"
"Price","Cena"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Product Rating","Produkta vērtējums"
"Product Rating:","Produkta vērtējums:"
"Product Reviews","Produktu atsauksmes"
"Product SKU","Preces artikuls"
"Products Reviews","Produktu atsauksmes"
"Qty","Skaits"
"Rating:","Vērtējums:"
"Review","Pārskats"
"Review Details","Atsauksmes detaļas"
"Review by %s","Atsauksmi uzrakstīja %s"
"Reviews","Pārskati"
"SKU","Artikuls"
"Save Review","Saglabāt atsauksmi"
"Status","Statuss"
"Submit Review","Nosūtīt atsauksmi"
"Summary Rating","Vērtējuma kopsavilkums"
"Summary of Review","Atsauksmes kopsavilkums"
"Summary of Your Review","Astauksme īsumā"
"Title","Nosaukums"
"Type","Veids"
"Update Status","Atjaunot statusu"
"View All Reviews","Visas uzrakstītās atsauksmes"
"View Details","Skatīt detaļas"
"Visible In","Redzams"
"Websites","Mājas lapas"
"Write Your Own Review","Uzrakstīt atsauksmi"
"You have submitted no reviews.","Jūs neesat pievienojis atsauksmes."
"You're reviewing:","Jūsu atsauksmes:"
"Your Rating:","Jūsu vērtējums:"
"Your Review (submitted on %s):","Atsauksme (uzrakstīšanas datums %s):"
