"* Required Fields","* obligātie lauki"
"ALL GROUPS","VISAS GRUPAS"
"Account Dashboard","Vadības panelis"
"Account Information","Konta informācija"
"Action","Darbība"
"Add New Address","Pievienot jaunu adresi"
"Add New Customer Group","Pievienot jaunu klientu grupu"
"Additional Address Entries","Citas adreses"
"Address","Adrese"
"Address Book","Adresu grāmata"
"Admin","Administrators"
"All","Visi"
"All Store Views","Visi veikala skati"
"All countries","Visas valstis"
"Amount","Skaits"
"Approved","Apstiprināts"
"Are you sure you want to delete this address?","Izdzēst šo adresi?"
"Are you sure?","Vai esat pārliecināts?"
"Back","Atpakaļ"
"Bad request.","Nepareizs pieprasījums."
"By Email","Pēc e-pasta"
"By IP","Pēc IP"
"By IP and Email","Pēc IP un e-pasta"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Lietotājā reģistrācija vienkāršos jūsu turpmākos pirkumus, kā arī ļaus aplūkot jūsu veiktos pirkumus un vēl vairāk. "
"Cancel","Atcelt"
"Change Billing Address","Mainīt Rēķina Adresi"
"Change Password","Mainīt paroli"
"Change Shipping Address","Mainīt piegādes adresi"
"City","Pilsēta"
"Company","Kompānija"
"Configure","Konfigurēt"
"Confirm New Password","Apstipriniet jauno paroli"
"Confirm Password","Apstiprināt paroli"
"Confirmed","Apstiprināts"
"Contact Information","Kontaktinformācija"
"Continue Shopping","Turpināt iepirkties"
"Country","Valsts"
"Create","Izveidot"
"Create Order","Izveidot pasūtījumu"
"Create an Account","Reģistrēties"
"Current Password","Pašreizējā parole"
"Customer","Klients"
"Customer Group","Klientu grupa"
"Customer Groups","Klientu grupas"
"Customer View","Klienta skats"
"Customers","Klienti"
"Date","Datums"
"Date Added","Pievienošanas datums"
"Day","Diena"
"Default Addresses","Noklusējuma adrese"
"Default Billing Address","Norēķinu adrese pēc noklusējuma"
"Default Group","Noklusētā grupa"
"Default Shipping Address","Piegādes adrese pēc noklusējuma"
"Delete","Dzēst"
"Delete Address","Dzēst adresi"
"Delete Customer","Dzēst klientu"
"Details","Papildus informācija"
"Disabled","Izslēgts"
"Edit","Labot"
"Edit Account Information","Mainīt informāciju"
"Edit Address","Labot adreses"
"Edit Group","Labot grupu"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Email Sender","E-pasta sūtītājs"
"Email:","E-pasts:"
"Fax","Fakss"
"First Name","Vārds"
"Forgot Your Password?","Aizmirsāt paroli?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Šeit Jūs varat īsumā aplūkot veiktos pasūtījumus, sava lietotāja konta uzstādījumus, kā arī veikt izmaiņas tajos."
"General Subscription","Publiskā parakstišanās"
"Global","Globāls"
"Group Name","Grupas nosaukums"
"Guest","Viesis"
"Hello, %s!","Sveicināti, %s!"
"IP Address","IP adrese"
"If you have an account with us, please log in.","Ja jau esat reģistrēts lietotājs jums šeit. "
"Invalid current password","Nepareiza pašreizējā parole"
"Last Name","Uzvārds"
"Lifetime Sales","Darbības laikā pārdotais"
"Log In","Ielogoties"
"Log Out","Izlogoties"
"Login","Lietotājvārds"
"Login Information","Autorizācijas dati"
"Login or Create an Account","Izveidot lietotāja kontu vai ielogoties"
"Manage Addresses","Pārvaldīt adreses"
"Manage Customers","Pārvaldīt klientus"
"Month","Mēnesis"
"My Account","Mans konts"
"My Dashboard","Iestatījumu pārskats"
"My Orders","Mani pasūtījumi"
"Name","Vārds"
"Never","Nekad"
"New Address","Jauna adrese"
"New Customer","Jauns klients"
"New Customers","Jauni klienti"
"New Password","Jauna parole"
"Newsletter","Jaunumi"
