"Add","Pievienot"
"Add New Role","Pievienot jaunu lomu"
"Admin","Administrators"
"Allow","Atļaut"
"Attribute Set","Atribūtu kopa"
"Attributes","Atribūti"
"Back","Atpakaļ"
"Backorders","Iepriekšpasūtījums"
"Base Currency","Pamata valūta"
"Catalog","Katalogs"
"Category ID","Kategorijas ID"
"City","Pilsēta"
"Company","Kompānija"
"Country","Valsts"
"Create","Izveidot"
"Create Permanent Redirect for old URL","Izveidot pastāvīgu pārvirzīšanu vecam URL"
"Customer","Klients"
"Customer First Name","Klienta vārds"
"Customer Last Name","Klienta uzvārds"
"Delete","Dzēst"
"Deny","Aizliegt"
"Discount","Atlaide"
"Discount Amount","Atlaides apjoms"
"Edit","Labot"
"Email","E-pasts"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Exclude","Izņemot"
"First Name","Vārds"
"Gift Message","Dāvanas ziņa"
"Grand Total","Kopsumma"
"Guest","Viesis"
"Label","Uzraksts"
"Last Name","Uzvārds"
"Manage Stock","Pārvaldīt noliktavu"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"New Role","Jauna loma"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Order","Pasūtījums"
"Order ID","Pasūtījuma ID"
"Order Status","Pasūtījuma statuss"
"Orders","Pasūtījumi"
"Original Price","Sākotnējā cena"
"Payment Method","Apmaksas veids"
"Phone Number","Tālruņa numurs"
"Position","Pozīcija"
"Price","Cena"
"Product","Produkts"
"Product Type","Preces tips"
"Qty","Skaits"
"Qty Increments","Skaita pieaugums"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
"Role Info","Lomas informācija"
"Role Information","Lomas informācija"
"Role Name","Lomas nosaukums"
"Role Users","Lietotāju lomas"
"Roles","Lomas"
"SKU","Artikuls"
"Sales","Pārdošana"
"Save","Saglabāt"
"Shipping Method","Piegādes veids"
"State","Štats"
"Stock Availability","Noliktavas pieejamība"
"Stock Status","Krājumu Status"
"Store Name","Veikala nosaukums"
"Subtotal","Starpsumma"
"System","Sistēma"
"Tax Amount","Nodokļi"
"Tax Rate","Nodokļu likme"
"Total Refunded","Pavisam atmaksāts"
"Type","Veids"
"Update","Atjaunināt"
"ZIP/Postal Code","Pasta indekss"
