"* Required Fields","* obligātie lauki"
"Add New Address","Pievienot jaunu adresi"
"Add New Condition","Pievienot Jaunu Nosacījumu"
"Add to Cart","Pievienot grozam"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Address","Adrese"
"Address %s of %s","Adrese %s no %s"
"Allow Guest Checkout","Atļaut nereģistrētiem lietotājiem noformēt pirkumu"
"Already registered?","Reģistrētiem lietotājiem"
"Apply","Apstiprināt"
"Apply Coupon","Pielietot kuponu"
"Are you sure you would like to remove this item from the shopping cart?","Vai esat pārliecināti, ka vēlaties izņemt šo preci no ieprirkumu groza?"
"Back","Atpakaļ"
"Back to Shipping Information","Atpakaļ pie piegādes informācijas"
"Based on your selection, you may be interested in the following items:","Ņemot vērā Jūsu izvēli, iespējams, Jūs intresēs arī šādas preces:"
"Billing Address","Norēķinu Adrese"
"Billing Information","Rēķina sagatavošana"
"Billing Information - %s","Rēķina informācija - %s"
"Cancel","Atcelt"
"Cancel Coupon","Atcelt kuponu"
"Card Verification Number Visual Reference","Kredītkartes parbaudes koda vizuālā atsauce"
"Cart Subtotal:","Kopsumma:"
"Change","Mainīt"
"Change Billing Address","Mainīt Rēķina Adresi"
"Checkout","Pirkuma noformēšana"
"Checkout Options","Pirkuma noformēšanas iespējas"
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Reģistrēties pirms norēķināšanās?"
"Checkout with Multiple Addresses","Norēķins ar vairākām adresēm"
"City","Pilsēta"
"Clear Shopping Cart","Iztīrīt iepirkuma grozu"
"Close","Aizvērt"
"Company","Kompānija"
"Confirm Password","Apstiprināt paroli"
"Content","Saturs"
"Continue","Turpināt"
"Continue Shopping","Turpināt iepirkties"
"Continue to Billing Information","Turpināt uz rēķina informāciju"
"Continue to Review Your Order","Turpināt uz pasūtījuma pārskatīšanu"
"Continue to Shipping Information","Turpināt uz piegādes informāciju"
"Country","Valsts"
"Coupon code ""%s"" is not valid.","Kupona kods ""%s"" nav derīgs."
"Create Billing Address","Izveidot adresi rēķinam"
"Create Shipping Address","Izveidot adresi piegādei"
"Data saving problem","Datu saglabāšanas veids"
"Default Billing","Noklusētais rēķins"
"Default Shipping","Noklusētais piegādes veids"
"Details","Papildus informācija"
"Disabled","Izslēgts"
"Discount Codes","Atlaides"
"Display Cart Summary","Rādīt groza kopsavilkumu"
"Display item quantities","Rādīt produktu skaitu"
"Display number of items in cart","Atrādīt produktu skaitu grozā"
"Easy access to your order history and status","Piekļuvi pirkumu vēsturei un pasūtījumu izpildei"
"Edit","Labot"
"Edit Address","Labot adreses"
"Edit Billing Address","Labot norēķinu adresi"
"Edit Items","Mainīt"
"Edit Shipping Address","Labot piegādes adresi"
"Edit Your Cart","Atjauniniet savu pirkuma grozu"
"Edit item parameters","Labot produkta parametrus"
"Email Address","E-pasta adrese"
"Enable Onepage Checkout","Ieslēgt vienas lapas pirkuma noformēšanu"
"Enabled","Ieslēgts"
"Enter a New Address","Ievadiet jaunu adresi"
"Enter your coupon code if you have one.","Ja jums ir atlaižu karte, ievadiet atlaides kodu."
"Enter your destination to get a shipping estimate.","Norādiet piegādes adresi."
"Estimate Shipping and Tax","Aptuvenās piegādes izmaksas un nodoklis"
"Excl. Tax","Bez PVN"
"Fast and easy check out","Ērtāku norēķināšanos"
"Fax","Fakss"
"Forgot an Item?","Aizmirsi pievienot produktu?"
"Forgot your password?","Aizmirsāt paroli?"
"Get a Quote","Aprēķināt"
"Gift Message","Dāvanas ziņa"
"Grand Total:","Pavisam kopā:"
"Incl. Tax","Ar PVN"
"Invalid shipping method.","Nepareizs piegādes veids"
"Items","Produkti"
"Load customer quote error","Ielādēt klienta pirkumu"
"Loading next step...","Uzgaidiet..."
"Login","Lietotājvārds"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimālais atļautais daudzums piegādei uz vairākām adresēm ir %s"
"Move to Wishlist","Pārvietot uz vēlmju sarakstu"
"My Cart","Mans grozs"
"My Cart (%s item)","Jūsu grozā ir (%s prece(s))"
"My Cart (%s items)","Mans grozs (%s preces)"
"My Cart Link","Mana groza saite"
"New Address","Jauna adrese"
"No Payment Methods","Norēķinu veidi nav pieejami"
"Order #","Pasūtījums #"
"Order Review","Pasūtījumu pārskats"
"Order Success","Pasūtījums veikts"
"Password","Parole"
"Payment Information","Norēķinu informācija"
"Payment Method","Apmaksas veids"
"Payment method is not defined","Maksāšanas veids nav definēts"
"Place Order","Veikt pasūtījumu"
"Please agree to all the terms and conditions before placing the order.","Lai veiktu pirkumu, jums jāpiekrīt visiem noteikumiem."
"Please log in below:","Turpināt šeit:"
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Please select shipping methods for all addresses","Norādiet  piegādes veidu katrai adresei"
"Price","Cena"
"Proceed to Checkout","Noformēt pirkumu"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Products","Produkti"
"Qty","Skaits"
"Qty:","Skaits:"
"Quantity","Skaits"
"Quote Lifetime (days)","Kvotas ilgums (dienas)"
"Recently added item(s)","Jaunākā(s) prece(s) grozā"
"Register","Reģistrēties"
"Register and save time!","Reģistrēšanās ļauj ietupīt laiku!"
"Register to Create an Account","Reģistrējaties lai izveidotu pieejas kontu"
"Register with us for future convenience:","Reģistrēšanās nodrošina:"
"Remove Item","Noņemt produktu"
"Remove This Item","Nodzēst šo vienību"
"Remove item","Noņemt produktu"
"Review Order","Pārskatīt pasūtījumu"
"Review Order - %s","Pārskatīt pasūtījumu - %s"
"SKU","Artikuls"
"Sales","Pārdošana"
"Save in address book","Saglabāt adrešu grāmatā"
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"Select Address","Izvēlieties adresi"
"Select Addresses","Adrešu izvēle"
"Select Shipping Method","Izvēlieties piegādes veidu"
"Select State/Province...","Norādiet štatu/reģionu..."
"Select a billing address from your address book or enter a new address.","Norādiet adresi rēķina sagatavošanai."
"Select a shipping address from your address book or enter a new address.","Izvēlieties piegādes adresi no adrešu grāmatas, vai ievadiet jaunu adresi."
"Separate by "","".","Atdali ar "",""."
"Ship to Multiple Addresses","Piegādāt uz Vairākām Adresēm"
"Ship to different address","Norādīt citu piegādes adresi"
"Ship to this address","Lietot šo kā piegādes adresi"
"Shipping Address","Piegādes adreses"
"Shipping Information","Piegādes informācija"
"Shipping Method","Piegādes veids"
"Shipping Methods","Piegādes veidi"
"Shipping To","Piegādājam uz"
"Shipping method has not been selected yet","Nav norādīts piegādes veids"
"Shopping Cart","Grozs"
"Shopping Cart is Empty","Pirkumu grozs ir tukšs"
"Sorry, no quotes are available for this order at this time.","Atvainojiet, šobrīd pasūtījumam nav pieejamas kvotas."
"State/Province","Štats/Province"
"Status","Statuss"
"Store View","Veikala skats"
"Street Address","Adrese"
"Submitting order information...","Pasūtījuma informācijas nosūtīšana..."
"Subtotal","Starpsumma"
"Telephone","Tālrunis"
