"# of Use","Lietošanas skaits"
"%s Item(s)","%s Prece(s)"
"(Copy data from: %s)","(Kopēt datus no: %s)"
"* Required Fields","* obligātie lauki"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"A group with the same name already exists.","Grupa ar šādu nosaukumu jau eksistē."
"A name is required","Nepieciešams vārds"
"A product type is not defined for the indexer.","Produkta tips nav definēts indeksētājā."
"ALL GROUPS","VISAS GRUPAS"
"Action","Darbība"
"Add","Pievienot"
"Add Attribute","Pievienot atribūtu"
"Add Design Change","Pievienot dizaina maiņu"
"Add Group","Pievienot grupu"
"Add New","Pievienot jaunu"
"Add New Attribute","Pievienot Jaunu Atribūtu"
"Add New Attribute Set","Pievienotu jaunu atribūtu kopu"
"Add New Group","Pievienot jaunu grupu"
"Add New Images","Pievienot jaunus attēlus"
"Add New Option","Pievienot jaunu opciju"
"Add New Row","Pievienot jaunu rindu"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"Add New Set","Pieviet jaunu komplektu"
"Add Product","Pievienot produktu"
"Add Product To Websites","Pievienot produktu lapām"
"Add Root Category","Pievienot saknes kategoriju"
"Add Subcategory","Pievienot apakškategoriju"
"Add Tax","Pievienot nodokli"
"Add Tier","Pievienot rindu"
"Add to Cart","Pievienot grozam"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Additional Information","Papildus informācija"
"All","Visi"
"All Product Types","Visi produktu veidi"
"All Websites","Visas lapas"
"All products","Visi produkti"
"All products - recently added products, New products - products marked as new","Visi produkti - pēdējie pievienotie produkti, Jauni produkti - produkti kuri ir atzīmēti kā jauni"
"Allow All Products per Page","Atļaut visus produktus vienā lapā"
"Amount","Skaits"
"Anchor Custom Text","Enkura teksts"
"Anchor Custom Title","Enkura nosaukums"
"Apply To","Iespējot uz"
"Approved","Apstiprināts"
"Are you sure you want to delete this category?","Vai esat parliecināts/-a, ka vēlaties dzēst šo kategoriju?"
"Are you sure you would like to remove this item from the compare products?","Vai tiešām vēlaties dzēst šo preci no preču salīdzināšanas?"
"Are you sure?","Vai esat pārliecināts?"
"As low as:","Tikai:"
"Assign","Piešķirt"
"Associated Products","Saistītās preces"
"Attrib. Set Name","Atrib. komplekta nosaukums"
"Attribute Information","Atribūta informācija"
"Attribute Model","Atribūta modelis"
"Attribute Name:","Atribūta nosaukums:"
"Attribute Set","Atribūtu kopa"
"Attribute Sets","Atribūtu kopas"
"Attribute with the same code already exists","Atribūti ar tādu kodu jau eksistē"
"Attributes","Atribūti"
"Autogenerate","Automātiski ģenerēts"
"Availability:","Pieejamība:"
"Back","Atpakaļ"
"Backend Model","Aizmugures modelis"
"Backend Table","Aizmugures tabula"
"Backend Table Title","Aizmugures tabulas nosaukums"
"Backorders","Iepriekšpasūtījums"
"Based On","Pamatojoties uz"
"Best Value","Vērtības"
"Block after Info Column","Bloks pēc Informācijas kolonnas"
"Bottom/Left","Apakša/Kreisais"
"Bottom/Right","Apakša/Labais"
"Browse By","Pārlūkot ar"
"Bundle Items","Komplekta produkti"
"Cache Lifetime (Seconds)","Kešatmiņas dzīves ilgums (sekundes)"
"Can be used only with catalog input type Dropdown","Var tik lietots tikai ar kataloga ievades tipu - atklājamie"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Var tikt lietots tikai ar kataloga ievades tipu atklājamie, vairākiestatījums un cena"
"Cancel","Atcelt"
"Cart Item Attribute","Groza satura atribūts"
"Catalog","Katalogs"
"Catalog Category Link","Kataloga kategorijas saite"
"Catalog New Products List","Kataloga jauno produktu saraksts"
"Catalog Price Scope","Kataloga cenu apgabals"
"Catalog Product Link","Kataloga produktu saites"
"Catalog, Search","Katalogs, meklēšana"
"Categories","Kategorijas"
"Categories Sitemap","Kategoriju vietnes karte"
"Category","Kategorija"
"Category Data","Kategorijas dati"
"Category Flat Data","Kategoriju vienkārši dati"
"Category Link Block Template","Kategorijas saites bloka šablons"
"Category Link Inline Template","Kategorijas saites iekļautais šablons"
"Category Products","Kategorijas produkti"
"Category Top Navigation","Kategorijas augstākā navigācija"
"Category URL Suffix","Kategorijas URL sufikss"
"Category move error","Kategorijas pārvietošanas kļūda"
"Center","Centrs"
"Change","Mainīt"
"Change status","Mainīt statusu"
"Check items to add to the cart or","Atzīmējiet produktus kurus pievienot grozam vai"
"Choose an Option...","Izvēlieties opciju..."
"Clear All","Notīrīt visu"
"Clear Price","Notīrīt cenu"
