"* Required Fields","* obligātie lauki"
"Comment","Komentārs"
"Contact Form","Kontaktu forma"
"Contact Information","Kontaktinformācija"
"Contact Us","Kontakti"
"Contacts","Kontakti"
"Email","E-pasts"
"Email Options","E-pasta opcijas"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Enable Contact Us","Ieslēgt Sazināties ar mums"
"Name","Vārds"
"Send Emails To","Sūtīt e-pastus"
"Submit","Iesniegt"
"Telephone","Tālrunis"
"Unable to submit your request. Please, try again later","Neizdevās apstrādāt jūsu pieprasījumu. Lūdzu vēlāk mēģiniet vēlreiz."
