"Actions","Darbības"
"Active","Aktīvs"
"Add New Rule","Pievienot jaunu noteikumu"
"Apply","Apstiprināt"
"Apply To","Iespējot uz"
"Apply the rule only if the following conditions are met (leave blank for all products)","Piemērot nosacījumu tikai ja prece atbilst (atstājiet tukšu, ja visām precēm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Piemērot nosacījumu tikai šīm precēm grozā (atstājiet tukšu, ja visām precēm)"
"Apply the rule to cart items matching the following conditions","Piemērot nosacījumu atbilstošām precēm grozā"
"Catalog","Katalogs"
"Conditions","Nosacījumi"
"Created On","Izveidots"
"Customer Groups","Klientu grupas"
"Date Expire","Spēkā līdz"
"Date Start","Spēkā no"
"Description","Apraksts"
"Discount Amount","Atlaides apjoms"
"Edit Rule","Mainīt nosacījumu"
"Edit Rule '%s'","Mainīt nosacījumu '%s'"
"Free Shipping","Bezmaksas piegāde"
"General Information","Vispārīga informācija"
"Generate","Ģenerēt"
"Inactive","Neaktīvs"
"New Rule","Jauns nosacījums"
"No","Nē"
"Number of Uses","Lietojumu skaits"
"Payment Method","Apmaksas veids"
"Percent of product price discount","Procents no produkta cenas atlaides"
"Period","Periods"
"Price in cart","Cena grozā"
"Priority","Prioritāte"
"Product attribute combination","Produkta atribūtu kombinācija"
"Promotions","Pārdošanas veicināšana"
"Public In RSS Feed","Publisks iekš RSS barotnes"
"Quantity in cart","Daudzums grozā"
"Row total in cart","Rindas kopā iekš groza"
"Rule Name","Noteikumu nosaukums"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Shipping Country","Nosūtīšanas valsts"
"Shipping Method","Piegādes veids"
"Shipping Postcode","Nosūtīšanas pasta indekss"
"Shipping Region","Piegādes reģions"
"Shipping State/Province","Piegādes štats/apgabals"
"Shopping Cart Price Rule","Pirkumu groza kopsummas aprēķina noscījumi"
"Shopping Cart Price Rules","Pirkumu groza kopsummas aprēķina noscījumi"
"Special Price","Īpaša cena"
"Status","Statuss"
"Subtotal","Starpsumma"
"This rule no longer exists.","Šis noteikums vairs neeksistē."
"To Fixed Value","Uz fiksētu cenu"
"To Percentage","Uz procentiem"
"Total","Kopā"
"Total Amount","Kopīgais apjoms"
"Total Items Quantity","Kopējais preču daudzums"
"Total Weight","Kopējais svars"
"Update prices using the following information","Atjaunot cenas izmantojot sekojošo informāciju"
"Update the Product","Atjaunot preci"
"Website","Mājas lapa"
"Websites","Mājas lapas"
"Yes","Jā"
