" [deleted]"," [dzēsts]"
"(\t for tab)","(t for tab)"
"* Required Fields","* obligātie lauki"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"-- Please Select a Category --","-- Izvēlieties kategoriju --"
"-- Please select --","-- Lūdzu, izvēlieties --"
"--Please Select--","--Lūdzu izvēlieties--"
"1 Hour","1 stunda"
"12 Hours","12 stundas"
"12h AM/PM","12st AM/PM"
"2 Hours","2 stundas"
"24 Hours","24 stundas"
"24h","24st"
"2YTD","Pēdējie 2 gadi"
"6 Hours","6 stundas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Kļūda</h1><p>Lapa nav atrasta.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uzmanību</strong>: Captcha ir reģistrjūtīgs."
"Abandoned Carts","Pamestie grozi"
"About the calendar","Par kalendāru"
"Account Information","Konta informācija"
"Account Status","Konta statuss"
"Action","Darbība"
"Actions","Darbības"
"Active","Aktīvs"
"Add","Pievienot"
"Add New","Pievienot jaunu"
"Add New Block","Pievienot jaunu bloku"
"Add New Image","Pievienot jaunu attēlu"
"Add New Role","Pievienot jaunu lomu"
"Add New Template","Pievienot jaunu šablonu"
"Add New User","Pievienot jaunu lietotāju"
"Add New Variable","Pievienot jaunu mainīgo"
"Add Products","Pievienot produktus"
"Add after","Pievienot pēc"
"Additional Cache Management","Papildus keša menedžments"
"Admin","Administrators"
"All","Visi"
"All Cache","Visas kešs"
"All Files","Visi faili"
"All Reviews","Visas atsauksmes"
"All Store Views","Visi veikala skati"
"All Tags","Visas birkas"
"All Websites","Visas lapas"
"All countries","Visas valstis"
"Amounts","Skaiti"
"An error occurred while clearing the JavaScript/CSS cache.","Kļūda tīrot JavaScript/CSS kešu."
"An error occurred while clearing the image cache.","Kļūda attīrot attēlu kešu."
"An error occurred while saving account.","Kļūda saglabājot kontu."
"Any","Jebkurš"
"Are you sure that you want to strip tags?","Vai vēlaties atmest birkas?"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"As low as:","Tikai:"
"Attributes","Atribūti"
"Authorize","Autorizēt"
"Automatic (equalize price ranges)","Automātiski (izlīdzināt cenu apgabalu)"
"Automatic (equalize product counts)","Automātiski (izlīdzināt produktu skaitu)"
"Average Order Amount","Vidējā pirkumu vērtība"
"Average Orders","Vidējā pirkumu summa"
"Back","Atpakaļ"
"Backup","Rezerves kopija"
"Backup Name","Rezerves kopijas nosaukums"
"Backup options","Rezerves kopijas opcijas"
"Backups","Rezerves kopijas"
"Bestsellers","Visvairāk pārdotie"
"Billing Address","Norēķinu Adrese"
"Block Information","Bloka informācija"
"Browse Files...","Pārlūkot failus..."
"By Email","Pēc e-pasta"
"By IP","Pēc IP"
"By IP and Email","Pēc IP un e-pasta"
"Cache Control","Kešatmiņas kontrole"
"Cache Management","Keša pārvaldība"
"Cache Type","Keša veids"
"Cancel","Atcelt"
"Cannot add tracking number.","Nevar pievienot sekošanas numuru."
"Card Verification Number","Kredītkartes pārbaudes kods"
"Catalog","Katalogs"
"Catalog Price Rules","Preču cenu aprēķina nosacījumi"
"Catalog Rewrites","Kataloga Rewrites"
"Categories","Kategorijas"
"Category","Kategorija"
"Checkbox","Izvēles rūtiņa"
"Clear","Notīrīt"
"Close","Aizvērt"
"Code","Kods"
"Configuration","Konfigurācija"
"Confirm New Password","Apstipriniet jauno paroli"
"Continue","Turpināt"
"Convert to Plain Text","Konvertēt par tekstu"
"Country","Valsts"
"Coupons","Kuponi"
"Create","Izveidot"
"Create DB Backup","Izveidot DB rezerves kopiju"
"Create New Attribute","Izveidot jaunu atribūtu"
"Created At","Izveidots"
"Credit Card Number","Kredītkartes numurs"
"Credit Card Type","Kredītkartes veids"
"Currency","Valūta"
"Current Month","Tekošais mēnesis"
"Custom","Pielāgots"
"Custom Variables","Pielāgoti mainīgie"
"Customer","Klients"
"Customer Groups","Klientu grupas"
"Customer Name","Klienta vārds"
"Customer Reviews","Klientu atsauksmes"
"Customer Tax Classes","Klientu nodokļu grupas"
"Customers","Klienti"
"Customers by Number of Orders","Klieti pēc pasūtījumu skaita"
"Customers by Orders Total","Klienti pēc kopējiem pasūtījumiem"
"Dashboard","Infopanelis"
"Database","Datu bāze"
"Date","Datums"
"Date Added","Pievienošanas datums"
"Date Updated","Papildināta"
"Date selector","Datums"
"Day","Diena"
"Debug","Atkļūdot"
"Default Billing Address","Norēķinu adrese pēc noklusējuma"
"Default Config","Noklusējuma Konfigurācija"
"Default Template from Locale","Noklusētais šablons no darbības vietas"
"Default Values","Noklusētās vērtības"
"Delete","Dzēst"
"Delete Block","Dzēst bloku"
"Delete File","Dzēst failu"
"Delete Image","Dzēst attēlu"
"Delete Role","Izdzēst lomu"
"Delete Store","Dzēst veikalu"
