"* Required Fields","* obligātie lauki"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"About This Order:","Pasūtījuma pārskats:"
"Account Information","Konta informācija"
"Action","Darbība"
"Actions","Darbības"
"Active","Aktīvs"
"Add","Pievienot"
"Add New Address","Pievienot jaunu adresi"
"Add Products","Pievienot produktus"
"Add to Cart","Pievienot grozam"
"Address","Adrese"
"Allow Reorder","Atļaut pasūtīt atkārtoti"
"Amount","Skaits"
"Anchor Custom Title","Enkura nosaukums"
"Apply","Apstiprināt"
"Apply Coupon Code","Pielietot kupona kodu"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Are you sure?","Vai esat pārliecināts?"
"Back","Atpakaļ"
"Back to My Orders","Atpakaļ pie maniem pasūtījumiem"
"Bestsellers","Visvairāk pārdotie"
"Billing Address","Norēķinu Adrese"
"Cancel","Atcelt"
"Canceled","Atcelts"
"Carrier","Pārvadātājs"
"City","Pilsēta"
"Clear Shopping Cart","Iztīrīt iepirkuma grozu"
"Close","Aizvērt"
"Closed","Slēgts"
"Comma-separated.","Atdalīti ar komatu."
"Comment","Komentārs"
"Comments History","Komentāru vēsture"
"Company","Kompānija"
"Configure","Konfigurēt"
"Contents","Saturs"
"Continue","Turpināt"
"Country","Valsts"
"Coupons","Kuponi"
"Create","Izveidot"
"Create New Order","Izveidot jaunu pasūtījumu"
"Create Order","Izveidot pasūtījumu"
"Created At","Izveidots"
"Custom Value","Pielāgota vērtība"
"Customer","Klients"
"Customer Group","Klientu grupa"
"Customer Last Name","Klienta uzvārds"
"Customer Name","Klienta vārds"
"Date","Datums"
"Default Template","Noklusētais šablons"
"Delete","Dzēst"
"Discount","Atlaide"
"Discount Amount","Atlaides apjoms"
"Edit","Labot"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Enable","Ieslēgt"
"Enabled","Ieslēgts"
"Excl. Tax","Bez PVN"
"First Name","Vārds"
"From","No"
"From:","No:"
"General","Vispārīgi"
"General Information","Vispārīga informācija"
"Gift Message","Dāvanas ziņa"
"Gift Options","Dāvanas opcijas"
"Go to Home Page","Iet uz sākumlapu"
"Grand Total","Kopsumma"
"Guest","Viesis"
"Height","Augstums"
"Home","Sākums"
"Incl. Tax","Ar PVN"
"Invalid item option format.","Nepreizs produkta opcijas formāts."
"Invoice","Rēķins"
"Invoiced","Piestādīts rēķins"
"Invoices","Faktūrrēķini"
"Item","Produkts"
"Items","Produkti"
"Items Ordered","Pasūtītās preces"
"Items Shipped","Nosūtītās preces"
"Last Name","Uzvārds"
"Last Ordered Items","Pēdējie pasūtītie produkti"
"Length","Garums"
"Manage","Pārvaldīt"
"Message","Ziņa"
"Message:","Ziņa:"
"Minimum Order Amount","Minimālā pasūtījuma summa"
"Most Viewed","Visvairāk skatītie"
"Move to Wishlist","Pārvietot uz vēlmju sarakstu"
"My Orders","Mani pasūtījumi"
"Name","Vārds"
"New Order Status","Jauna pasūtījuma statuss"
"New Shipment","Jauns sūtījums"
"Newsletter Subscription","Jaunumu pierakstīšanās"
"No","Nē"
"No Payment Methods","Norēķinu veidi nav pieejami"
"No ordered items","Nav pasūtītu produktu"
"Notified","Informēts"
"Number of Orders","Pasūtījumu skaits"
"OK","Labi"
"Order","Pasūtījums"
"Order #","Pasūtījums #"
"Order # ","Pasūtījums # "
"Order Date: %s","Pirkšanas datums: %s"
"Order History","Pasūtījumu vēsture"
"Order ID","Pasūtījuma ID"
"Order Information","Pasūtījuma detaļas"
"Order Status","Pasūtījuma statuss"
"Order Status Information","Pasūtījuma status"
"Order Subtotal","Pirkuma summa"
"Order Total","Pirkuma summa"
"Ordered","Pasūtīts"
"Orders","Pasūtījumi"
"Orders and Returns","Pasūtījumi un atgriešana"
"Orders and Returns Search Form","Pasūtījumu un atgriešanas meklēšanas forma"
"Original Price","Sākotnējā cena"
"Package","Paka"
"Packages","Pakas"
"Payment Information","Norēķinu informācija"
"Payment Method","Apmaksas veids"
"Payment Method:","Samaksas veids:"
"Pending","Gaida"
"Period","Periods"
"Please Select Products to Add","Izvēlieties produktus lai pievienotu"
"Price","Cena"
"Print","Drukāt"
"Print All","Drukāt visu"
"Print All Invoices","Drukāt visus faktūrrēķinus"
"Print All Refunds","Drukāt visas atmaksas"
"Print All Shipments","Drukāt visus sūtījumus"
"Print Invoice","Drukāt faktūrrēķinu"
"Print Invoices","Drukāt faktūrrēķinus"
"Print Order","Pasūtījuma izdruka"
"Print Order # %s","Drukāt pasūtījumu # %s"
"Print Refund","Drukāt atmaksu"
"Print Shipment","Drukāt sūtījumu"
"Processing","Darbojas"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Products","Produkti"
"Profile Information","Profila informācija"
"Qty","Skaits"
"Qty Invoiced","Skaits izstādīts rēķinos"
"Qty Ordered","Pasūtīts"
"Qty Shipped","Daudzums, kas nosūtīts"
"Quantity Ordered","Pasūtījumu skaits"
"Rate","Likme"
"Recent Orders","Nesenie pasūtījumi"
"Recently Compared Products","Nesen salīdzinātie produkti"
"Recently Viewed","Nesen apskatītie"
"Recently Viewed Products","Nesen apskatītie produkti"
"Refresh","Atjaunot"
"Refunded","Atmaksāts"
"Refunds","Atmaksas"
"Remove","Dzēst"
"Remove Coupon Code","Nodzēst kupona kodu"
"Reorder","Pasūtīt atkārtoti"
"Revenue","Peļņa"
"Row Subtotal","Rindu starpsumma"
"Row Total","Kopā rindā"
"SKU","Artikuls"
"Sales","Pārdošana"
"Save in address book","Saglabāt adrešu grāmatā"
"Schedule","Grafiks"
"Select","Izvēlēties"
"Select All","Izvēlēties visu"
"Send Email","Sūtīt e-pastu"
"Ship","Piegādāt"
"Shipment","Piegāde"
"Shipment #","Piegāde #"
"Shipments","Piegādes"
"Shipped","Piegādāts"
"Shipping","Piegāde"
"Shipping &amp; Handling","Piegāde un apstrāde"
"Shipping Address","Piegādes adreses"
"Shipping Information","Piegādes informācija"
"Shipping Method","Piegādes veids"
"Shipping Method:","Piegādes veids:"
"Shopping Cart","Grozs"
"Size","Izmērs"
"Sku","Artikuls"
"Sorry, no quotes are available for this order at this time.","Atvainojiet, šobrīd pasūtījumam nav pieejamas kvotas."
"State/Province","Štats/Province"
"Status","Statuss"
"Status:","Statuss:"
"Store Credit","Veikala Kredīts"
"Street Address","Adrese"
"Submit Order","Noformēt pasūtījumu"
"Subscribe to Newsletter","Abonēt biļetenu"
"Subtotal","Starpsumma"
"Subtotal:","Starpsumma:"
"Tax","Nodokļi"
"Tax Amount","Nodokļi"
"Telephone","Tālrunis"
"This order no longer exists.","Šis pasūtījums vairs neeksistē"
"Tier Pricing","Cenu līmenis"
"Title","Nosaukums"
"To","Kam"
"To:","Kam:"
"Total","Kopā"
"Total Invoiced","Izrakstīts rēķinos"
"Total Ordered Report","Kopējo pasūtījumu atskaite"
"Total Refunded","Pavisam atmaksāts"
"Total Refunded Report","Kopējo atmaksu atskaite"
"Total Shipped Report","Visu piegāžu atskaite"
"Total Weight","Kopējais svars"
"Track this shipment","Izsekot šo preču sūtījumu"
"Transaction ID","Transakcijas ID"
"Transaction Type","Transakcijas Tips"
"Type","Veids"
"Updated At","Atjaunots"
"Value","Vērtība"
"View","Skatīt"
"View All","Aplūkot visus"
"View Order","Apskatīt pasūtījumu"
"Website","Mājas lapa"
"Weight","Svars"
"Width","Platums"
"Wishlist","Vēlmju saraksts"
"Yes","Jā"
"You have placed no orders.","Jūs vēl neesat izveidojuši pasūtījumus."
"ZIP/Post Code","Pasta indekss"
"Zip/Postal Code","Pasta indekss"
