"* Required Fields","* obligātie lauki"
"Address","Adrese"
"Already registered?","Reģistrētiem lietotājiem"
"Back","Atpakaļ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Lietotājā reģistrācija vienkāršos jūsu turpmākos pirkumus, kā arī ļaus aplūkot jūsu veiktos pirkumus un vēl vairāk. "
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Reģistrēties pirms norēķināšanās?"
"City","Pilsēta"
"Close","Aizvērt"
"Company","Kompānija"
"Confirm Password","Apstiprināt paroli"
"Continue","Turpināt"
"Country","Valsts"
"Create an Account","Izveidot kontu"
"Easy access to your order history and status","Piekļuvi pirkumu vēsturei un pasūtījumu izpildei"
"Email Address","E-pasta adrese"
"Fast and easy check out","Ērtāku norēķināšanos"
"Fax","Fakss"
"Forgot Your Password?","Aizmirsāt paroli?"
"Forgot your password?","Aizmirsāt paroli?"
"General Options","Vispārīgās Opcijas"
"If you have an account with us, please log in.","Ja jau esat reģistrēts lietotājs jums šeit. "
"Loading next step...","Uzgaidiet..."
"Login","Lietotājvārds"
"Login Information","Autorizācijas dati"
"Login or Create an Account","Izveidot lietotāja kontu vai ielogoties"
"New Customers","Jauni klienti"
"Password","Parole"
"Please log in below:","Turpināt šeit:"
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Register","Reģistrēties"
"Register and save time!","Reģistrēšanās ļauj ietupīt laiku!"
"Register to Create an Account","Reģistrējaties lai izveidotu pieejas kontu"
"Register with us for future convenience:","Reģistrēšanās nodrošina:"
"Registered Customers","Reģistrētiem klientiem"
"Save in address book","Saglabāt adrešu grāmatā"
"Select State/Province...","Norādiet štatu/reģionu..."
"Select a billing address from your address book or enter a new address.","Norādiet adresi rēķina sagatavošanai."
"Ship to different address","Norādīt citu piegādes adresi"
"Ship to this address","Lietot šo kā piegādes adresi"
"Sign Up for Newsletter","Pieteikties jaunumu saņemšanai"
"State/Province","Štats/Province"
"Street Address","Adrese"
"Submit","Iesniegt"
"Telephone","Tālrunis"
"VAT Number","PVN numurs"
"Welcome, %s!","Sveicināti, %s!"
"What's this?","Kas tas ir?"
"Zip/Postal Code","Pasta indekss"
