"* Required Fields","* obligātie lauki"
"Add All to Cart","Pievienot grozam visus"
"Add to Cart","Pievienot grozam"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Are you sure you want to remove this product from your wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo produktu no Vēlmju Saraksta?"
"Are you sure you would like to remove this item from the wishlist?","Vai esat pārliecināts, ka vēlaties izņemt šo priekšmetu no vēlmju saraksta?"
"Back","Atpakaļ"
"Can't save description %s","Nevar saglabāt aprakstu %s"
"Cannot specify product.","Nevar norādīt produktu."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Atzīmējiet šo izvēles rūtiņu, ja vēlaties pievienot rss barotnes saiti jūsu vēlmju sarakstam."
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Comment","Komentārs"
"Comment:","Komentārs:"
"Date Added","Pievienošanas datums"
"Edit","Labot"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Email address can't be empty.","E-pasta adreses lauks nevar būt tukšs."
"Email addresses, separated by commas","E-pasta adrese, atdalītas ar komatu"
"Enabled","Ieslēgts"
"General Options","Vispārīgās Opcijas"
"Go to Wishlist","Viss vēlmju saraksts"
"In stock","Noliktavā"
"Last Added Items","Pēdējie pievienotie produkti"
"Message","Ziņa"
"My Wishlist (%d item)","Vēlmju saraksts (%d prece(s))"
"My Wishlist (%d items)","Vēlmju saraksts (%d prece(s))"
"Options Details","Opciju detaļas"
"Out of stock","Nav pieejams"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lūdzu ievadiet derīgas e-pasta adreses, atdalot tās ar komatiem. Piemēram: janis@domens.lv, peteris@domens.lv."
"Please, enter your comments...","Jūsu piezīmes par šo preci..."
"Price","Cena"
"Product","Produkts"
"Product Details and Comment","Produkta informācija un komentāri"
"Qty","Skaits"
"RSS Feed","RSS barotne"
"RSS link to %s's wishlist","RSS saite uz %s vēlmju sarakstu"
"Remove Item","Noņemt produktu"
"Remove This Item","Nodzēst šo vienību"
"Remove item","Noņemt produktu"
"SKU","Artikuls"
"Share Options","Koplietošanas opcijas"
"Share Wishlist","Nosūtīt šo sarakstu"
"Share Your Wishlist","Dalīties jūsu vēlmēs"
"Sharing Information","Koplietošanas informācija"
"Update Wishlist","Atjaunot vēlmju sarakstu"
"User Description","Lietotāja apraksts"
"View Details","Skatīt detaļas"
"View Product","Apskatīt produktu"
"What's this?","Kas tas ir?"
"Wishlist","Vēlmju saraksts"
"Wishlist Sharing","Vēlmju Saraksta Izdalīšana"
"Wishlist is empty now.","Vēlmju saraksts ir tukšs."
"You have no items in your wishlist.","Vēlmju saraksts ir tukšs."
