"Actions","Darbības"
"Are you sure?","Vai esat pārliecināts?"
"Date Added","Pievienošanas datums"
"Last Update","Pēdējo reizi atjaunots"
"Mark as Read","Atzīmēt kā izlasītu"
"Message","Ziņa"
"Messages Inbox","Ziņu iesūtne"
"Notifications","Paziņojumi"
"Please select messages.","Izvēlieties ziņas."
"Read Details","Vairāk informācijas"
"Remove","Dzēst"
"Severity","Nozīmīgums"
"Show List","Rādīt sarakstu"
"Show Toolbar","Rādīt rīkjoslu"
"The message has been removed.","Ziņa ir nodzēsta."
"Update Frequency","Atjaunošanas biežums"
"Use HTTPS to Get Feed","Lietojiet HTTPS lai lietotu plūsmu"
"Wrong message type","Nepareizs ziņas veids"
"critical","kritisks"
"major","svarīgs"
"minor","mazsvarīgs"
"notice","paziņojums"
