"-- Please Select --","-- Bitte wählen --"
"Add Secret Key to URLs","Geheimen Schlüssel zu URLs hinzufügen"
"Add Store Code to Urls","Füge Store-Code zu Urls hinzu"
"Admin","Administrator"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin User E-Mails"
"Advanced","Erweitert"
"Allow Countries","Erlaubte Länder"
"Allow Symlinks","Symlinks erlauben"
"Allowed IPs (comma separated)","Zulässigen IPs (durch Komma getrennt)"
"Anchor Text for Next","Anchor-Text für Nachfolgende"
"Anchor Text for Previous","Anchor-Text für Vorherige"
"Are you sure?","Sind Sie sicher?"
"Auto-redirect to Base URL","Automatische Umleitung zu Basis-URL"
"Back","Zurück"
"Backup Options","Backup-Optionen"
"Base Link URL","Basis-Link-URL"
"Base URL","Basis-URL"
"Browser Capabilities Detection","Browser-Ressourcenerkennung"
"CSS Settings","CSS Einstellungen"
"Cache Storage Management","Cache-Speicherverwaltung"
"Cancel","Stornieren"
"Card type does not match credit card number.","Der Kartentyp entspricht nicht der Kreditkartennummer."
"Cookie Domain","Cookie-Domain"
"Cookie Lifetime","Cookie-Gültigkeitsdauer"
"Cookie Path","Cookie Verzeichnis"
"Cookie Restriction Mode","Cookie Beschränkter Modus"
"Country","Land"
"Create Store","Store erstellen"
"Create Store View","Store View erstellen"
"Create Website","Webseite erstellen"
"Credit card number does not match credit card type.","Die Kreditkarten-Nummer entspricht nicht den Kreditkartentyp."
"Custom Admin Path","Benutzerdefinierte Admin-Pfad"
"Custom Admin URL","Benutzerdefinierte Admin URL"
"Custom Design","Eigenes Design"
"Custom Email 1","Benutzerdefinierte E-Mail-Adresse 1"
"Custom Email 2","Benutzerdefinierte E-Mail-Adresse 2"
"Custom Variables","Benutzerdefinierte Variablen"
"Customer Support","Kundenservice"
"Dashboard","Übersicht"
"Date From","Datum von"
"Date To","Datum bis"
"Debug","Debuggen"
"Default","Voreinstellung"
"Default Country","Standardland"
"Default No-route URL","Standard No-Route-URL"
"Default Pages","Standardseiten"
"Default Robots","Standard-Roboter"
"Default Store","Standardshop"
"Default Store View","Standard Store View"
"Default Title","Standardtitel"
"Default Web URL","Standard-Web-URL"
"Delete","Löschen"
"Delete Store","Store löschen"
"Delete Store View","Store View löschen"
"Design Change","Designänderung"
"Developer","Entwickler"
"Developer Client Restrictions","Entwickler-Client Einschränkungen"
"Disable Email Communications","Deaktivieren Sie die E-Mail-Kommunikation"
"Disable Modules Output","Deaktivieren Sie die Module Ausgabe"
"Display Demo Store Notice","Demo Shop Notiz anzeigen"
"Duplicate Of Template Name","Duplikat des Vorlagennamens"
"Edit Design Change","Designänderung bearbeiten"
"Edit Store","Store bearbeiten"
"Edit Store View","Store View bearbeiten"
"Enable Charts","Charts aktivieren"
"Enabled","Aktiviert"
"Enabled for Admin","Für Admin aktiviert"
"Environment Update Time","Update-Zeit für die Umgebung"
"European Union Countries","Ländern der Europäischen Union"
"Favicon Icon","Favicon-Symbol"
"File not found","Datei wurde nicht gefunden"
"File system","Dateisystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Datei mit der Erweiterung ""%value%"" ist geschützt und kann nicht hochgeladen werden,"
"First Day of Week","Erster Tag der Woche"
"Flush Cache Storage","Cache-Speicher leeren"
"Flush Magento Cache","Magento-Cache leeren"
"Footer","Fußzeile"
"Forgot Password Email Template","Passwort vergessen Email Template"
"General","Allgemein"
"General Contact","Allgemeiner Kontakt"
"General Settings","Allgemeine Einstellungen"
"HTML Head","HTML Kopf"
"Header","Kopfzeile"
"How many links to display at once.","Wie viele Links auf einmal angezeigen."
"Incorrect credit card expiration date.","Falsches Kreditkarten-Ablaufdatum."
"Input type ""%value%"" not found in the input types list.","Eingabetyp ""%value"" wurde in der Eingabetyp-Liste nicht gefunden."
"Invalid date","Ungültiges Datum"
"JavaScript Settings","JavaScript-Einstellungen"
"Leave empty for access from any location.","Leer für den Zugriff von jedem Ort aus."
"Locale","Gebietsschema"
"Locale Options","Gebietsschema-Optionen"
"Login is Case Sensitive","Login ist Groß-/Kleinschreibung"
"Logo Image","Logo"
"Logo Image Alt","Logo-Alternativ-Text"
"Mail Sending Settings","Mail senden Einstellungen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Achten Sie darauf, dass die Basis-URL mit einem '/' (Slash) endet, z.B. http://ihredomain/magento/"
"Manage Stores","Stores verwalten"
"Media Storage","Medienspeicher"
"Merge CSS Files","CSS-Dateien zusammenführen"
"Merge JavaScript Files","JavaScript-Dateien zusammenführen"
"Miscellaneous HTML","Diverses HTML"
"New Store","Neuer Shop"
"New Store View","Neuer Store View"
