"Actions","Aktionen"
"Are you sure?","Sind Sie sicher?"
"Date Added","Hinzugefügt am"
"Last Update","Letzte Aktualisierung"
"Mark as Read","Als gelesen markieren"
"Message","Nachricht"
"Messages Inbox","Posteingang"
"Notifications","Benachrichtigungen"
"Please select messages.","Bitte Nachrichten wählen."
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Schweregrad"
"Show List","Liste anzeigen"
"Show Toolbar","Symbolleiste anzeigen"
"The message has been removed.","Die Nachricht wurde entfernt."
"Update Frequency","Update Frequenz"
"Use HTTPS to Get Feed","Bitte verwende HTTPS und den Feed anzuzeigen"
"Wrong message type","Falscher Nachrichtentyp"
"critical","Kritisch"
"major","sehr wichtige"
"minor","wichtige"
"notice","unwichtige"
