"* Required Fields","* Pflichtfelder"
"ALL GROUPS","ALLE GRUPPEN"
"Account Information","Kontoinformation"
"Account Sharing Options","Benutzerkonto Verteilungsoptionen"
"Action","Aktion"
"Add New Address","Neue Adresse hinzufügen"
"Add New Customer","Neuer Kunde hinzufügen"
"Add New Customer Group","Neue Kundengruppe hinzufügen"
"Additional Address Entries","Zusätzliche Adresseinträge"
"Address","Adresse"
"Address Book","Adressbuch"
"Address Information","Adressinformationen"
"Address Templates","Adress-Format-Vorlagen"
"Addresses","Adressen"
"Admin","Administrator"
"All","Alle"
"All Store Views","Alle Store Views"
"All countries","Alle Länder"
"Always optional.","Immer optional."
"Amount","Betrag"
"Approved","Freigegeben"
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen möchten?"
"Are you sure?","Sind Sie sicher?"
"Assign a Customer Group","Eine Kundengruppe zuweisen"
"Average Sale","Durchschnittlicher Umsatz"
"Back","Zurück"
"Bad request.","Fehlerhafte Anfrage."
"By Email","Per E-Mail"
"By IP","Nach IP"
"By IP and Email","Nach IP und E-Mail"
"Cancel","Stornieren"
"Change Billing Address","Rechnungsanschrift ändern"
"Change Password","Passwort ändern"
"Change Shipping Address","Lieferadresse ändern"
"City","Stadt"
"Company","Firma"
"Configure","Konfigurieren"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Confirmation Link Email","Bestätigungs-E-Mail"
"Confirmed","Bestätigt"
"Contact Information","Kontaktinformationen"
"Continue Shopping","Einkauf fortsetzen"
"Country","Land"
"Create","Anlegen"
"Create New Account Options","Optionen für neue Kundenkonten"
"Create Order","Neue Bestellung"
"Create an Account","Ein Konto erstellen"
"Current Password","Aktuelles Passwort"
"Customer","Kunde"
"Customer Configuration","Kundenkonfiguration"
"Customer Group","Kundengruppe"
"Customer Groups","Kundengruppen"
"Customer Information","Kundeninformation"
"Customer Since","Kunde seit"
"Customer View","Kundenansicht"
"Customer will stay on the current page if ""No"" is selected.","Der Kunde wird auf der aktuellen Seite bleiben wenn »Nein« ausgewählt ist."
"Customers","Kunden"
"Customers Section","Kundenbereich"
"Date","Datum"
"Date Added","Hinzugefügt am"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Default Addresses","Standard-Adressen"
"Default Billing Address","Standard-Rechnungsanschrift"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard-Lieferadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardwert für das Deaktivieren der automatischen Gruppen-Änderungen auf Grundlage der MwSt.-ID"
"Default Welcome Email","Standard Willkommens-E-Mail"
"Delete","Löschen"
"Delete Customer","Kunden löschen"
"Delete Customer Group","Kundengruppe löschen"
"Deleted Stores","Gelöschten Stores"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Account Information","Kontoinformationen bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"Edit Group","Gruppe bearbeiten"
"Email","E-Mail"
"Email Address","E-Mailadresse"
"Email Sender","E-Mail-Absender"
"Email:","E-Mail:"
"Enable Automatic Assignment to Customer Group","Automatische Zuordnung zu Kundengruppe aktivieren"
"First Name","Vorname"
"Forgot Email Template","Vorlage Passwort-Vergessen-E-Mail"
"Forgot Password","Passwort vergessen"
"Forgot Your Password?","Passwort vergessen?"
"Gender","Geschlecht"
"General Subscription","Allgemeine Abo"
"Generate Human-Friendly Customer ID","Generiere Menschen-lesbare Kunden-Nummer"
"Group","Gruppe"
"Group Information","Informationen gruppieren"
"Group Name","Gruppenname"
"Group for Invalid VAT ID","Kundengruppe für ungültige USt-IdNr."
"Group for Valid VAT ID - Domestic","Kundengruppe für gültige USt-IdNr. - Inland"
"Group for Valid VAT ID - Intra-Union","Kundengruppe für gültige USt-IdNr. - EU"
"Guest","Gast"
"ID","Id"
"IP Address","IP Adresse"
"Invalid login or password.","Ungültiger Benutzername oder Passwort."
"Last Activity","Letzte Aktivität"
"Last Date Subscribed","Letztes Abonnement am"
"Last Date Unsubscribed","Letztes Abonnement gekündigt am"
"Last Name","Nachname"
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen."
"Lifetime Sales","Alle Verkäufe"
"Login","Anmelden"
"Login Options","Login-Optionen"
"Manage Addresses","Adressen verwalten"
"Manage Customers","Kunden verwalten"
"Month","Monat"
"My Account","Mein Konto"
"My Orders","Meine Bestellungen"
"Name and Address Options","Namens- und Adressoptionen"
"Never","Niemals"
"New Address","Neue Adresse"
"New Customer","Neuer Kunde"
"New Customer Group","Neue Kundengruppe"
"New Customer Groups","Neue Kundengruppen"
"New Customers","Neue Kunden"
"New Group","Neue Gruppe"
"New Password","Neues Passwort"
"Newsletter Information","Newsletter-Informationen"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletters","Newsletter"
"No Items Found","Keine Einträge gefunden"
"No Newsletter Found","Kein Newsletter gefunden"
"No item specified.","Kein Artikel angegeben."
"Not Sent","Nicht gesendet"
"Online Customers","Online-Kunden"
"Online Customers Options","Online Kunden Optionen"
"Online Minutes Interval","Online Minuten Intervall"
"Order #","Bestellung #"
"Order Total","Bestellsumme"
"Orders","Bestellungen"
"Password","Passwort"
"Password Options","Kennwortoptionen"
"Password forgotten","Passwort vergessen"
"Password:","Passwort:"
"Paused","Pausiert"
"Pending","Ausstehend"
"Per Website","Pro Website"
"Personal Information","Persönliche Daten"
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl größer oder gleich 1 in dieses Feld ein."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter the first name.","Bitte geben Sie den Nachnamen an."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the state/province.","Geben Sie ein Bundesland/Gebiet ein."
"Please enter the street.","Bitte geben Sie die PLZ an."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl ein."
"Please enter your email.","Bitte geben Sie Ihre E-Mail Adresse ein."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Prefix Dropdown Options","Optionen für Präfix-Auswahlfeld"
"Price","Preis"
"Product","Produkt"
"Product ID","Artikelnummer"
"Product Name","Artikelname"
"Product Reviews","Produktrezensionen"
"Qty","Menge"
"Recent Orders","Letzte Bestellungen"
"Recovery Link Expiration Period (hours)","Recovery-Link Ablaufzeitraum (in Stunden)"
"Redirect Customer to Account Dashboard after Logging in","Nach Login den Kunden zur Konotübersicht umleiten"
"Refunded","Erstattet"
"Registered Customers","Registrierte Kunden"
"Remind Email Template","Vorlage Erinnerungens-E-Mail"
"Remove","Entfernen"
"Require Emails Confirmation","E-Mail-Bestätigung erforderlich"
"Reset a Password","Zurücksetzen eines Passworts"
"SKU","Artikelnummer"
"Sales Statistics","Verkaufsstatistik"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save Customer","Kunde speichern"
"Save Customer Group","Kundengruppe speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Send From","Gesendet von"
"Send confirmation link","Bestätigungs-Link senden"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Share Customer Accounts","Kundenkonten teilen"
"Shopping Cart","Warenkorb"
"Show Date of Birth","Geburtstag anzeigen"
"Show Gender","Geschlecht anzeigen"
"Show Middle Name (initial)","Mittelname (Initiale) anzeigen"
"Show Prefix","Präfix anzeigen"
"Show Suffix","Suffix anzeigen"
"Show Tax/VAT Number","USt-IdNr. anzeigen"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"State/Province","Bundesland"
"Store","Shop"
"Street Address","Straße"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe to Newsletter","Newsletter abonnieren"
"Suffix Dropdown Options","Optionen für Suffix-Auswahlfeld"
"Tax Calculation Based On","Steuerberechnung basiert auf"
"Tax Class","Steuerklasse"
"The VAT ID entered (%s) is not a valid VAT ID.","Die Umsatzsteuer-Identnummer (%s) ist ungültig."
"The VAT ID is valid. The current Customer Group will be used.","Die Umsatzsteuer-ID ist gültig. Die aktuelle Kundengruppe wird verwendet."
"The customer does not have default billing address.","Der Kunde verfügt über keine Standard-Rechnungsanschrift."
"The suffix that goes after name (Jr., Sr., etc.)","Der Suffix, der hinter dem Namen steht (Jun., Sen., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Der Titel, der vor dem Namen steht (Dr., Prof., etc.)"
"This email does not require confirmation.","Für diese E-Mail ist keine Bestätigung notwendig."
"Total","Gesamtsumme"
"Type","Typ"
"Unknown","Unbekannt"
"Unsubscribe from Newsletter","Vom Newsletter abmelden"
"Update","Aktualisieren"
"Use as my default billing address","Als meine Standard-Rechnungsanschrift verwenden"
"Use as my default shipping address","Als meine Standard-Lieferadresse verwenden"
"VAT Number","USt-IdNr."
"VAT Request Date","MwSt.-Anfragedatum"
"VAT Request Identifier","MwSt.-Anfrage-Identifizierer"
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer überprüfen"
"Validate on Each Transaction","Bei jeder Transaktion prüfen"
"Validation Error Group","Kundengruppe bei fehlgeschlagener Prüfung"
"View","Anzeigen"
"View Order","Bestellung ansehen"
"Visitor","Besucher"
"Website","Webseite"
"Welcome Email","Willkommens-E-Mail"
"Wishlist","Wunschzettel"
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"Wrong email.","E-Mail-Adresse falsch."
"Year","Jahr"
"You have no default billing address in your address book.","Sie haben keine Standard-Rechnungsanschrift in Ihrem Adressbuch."
"You have no default shipping address in your address book.","Sie haben keine Standard Versand-Adresse in Ihrem Adressbuch."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsanschrift angegeben."
"You have not set a default shipping address.","Sie haben keine Standardlieferadresse festgelegt."
"You will be charged tax.","Ihnen werden die Steuern berechnet."
"You will not be charged tax.","Sie werden nicht steuerlich belastet."
"Your Tax ID cannot be validated.","Ihre Steuer-ID kann nicht überprüft werden."
"Your VAT ID was successfully validated.","Ihre UST-ID wurde erfolgreich überprüft."
"ZIP","PLZ"
"ZIP/Post Code","Postleitzahl"
"Zip/Postal Code","PLZ"
"or","oder"
