"-- Please Select --","--Vänligen välj--"
"Add Secret Key to URLs","Lägga till hemlig nyckel i webbadresser"
"Add Store Code to Urls","Lägg till Butikskoder till urls"
"Admin","Administratör"
"Admin Base URL","Admin Bas URL"
"Admin User Emails","Admin användarens e-post"
"Advanced","Advancerat"
"Allow Countries","Tillåta länder"
"Allow Symlinks","Tillåt symboliska länkar"
"Allowed IPs (comma separated)","Tillåtna IPs (kommaavgränsad)"
"Anchor Text for Next","Ankartexten för nästa"
"Anchor Text for Previous","Ankartexten för föregående"
"Are you sure?","Är du säker?"
"Auto-redirect to Base URL","Auto-omdirigering till bas-URL"
"Back","Tillbaka"
"Backup Options","Alternativ för säkerhetskopiering"
"Base JavaScript URL","Bas-URL för JavaScript"
"Base Link URL","Bas länk-URL"
"Base Media URL","Bas-URL för media"
"Base Skin URL","Bas-URL för teman"
"Base URL","Bas-URL"
"Block with name ""%s"" already exists","Det finns redan ett block med namnet ""%s"""
"CSS Settings","CSS-Inställningar"
"Cache Storage Management","Cache-lagrings hantering"
"Can't retrieve request object","Det gick inte att hämta objekt för begäran"
"Can't retrieve entity config: %s","Det gick inte att hämta konfiguration för entitet: %s"
"Cancel","Avbryt"
"Cannot complete this operation from non-admin area.","Kan inte slutföra denna åtgärden från ickeadmindelen."
"Code","Kod"
"Controller file was loaded but class does not exist","Kontrollerfilen har laddats men klassen finns inte"
"Cookie Domain","Cookiedomän"
"Cookie Lifetime","Cookiens Livstid"
"Cookie Path","Sökväg för Cookie (Cookie path)"
"Cookie Restriction Mode","Cookie begränsning-läge"
"Country","Land"
"Create Store","Skapa butik"
"Create Store View","Skapa butiks vy"
"Create Website","Skapa hemsida"
"Custom Admin Path","Anpassad sökväg"
"Custom Admin URL","Anpassad Admin URL"
"Custom Design","Anpassad Design"
"Custom Email 1","Skräddarsydd e-post 1"
"Custom Email 2","Skräddarsydd e-post 2"
"Custom Variables","Anpassade variabler"
"Customer Support","Kundsupport"
"Dashboard","Översikt"
"Date From","Datum från"
"Date To","Datum till"
"Date/time format ""%s"" is not supported.","Datum/tidformat ""%s"" stöds ej."
"Debug","Felsök"
"Default","Förvald"
"Default Country","Standardland"
"Default Description","Förvald beskrivning"
"Default Keywords","Förvalda nyckelord"
"Default No-route URL","Standard no-route-URL"
"Default Pages","Standardsidor"
"Default Robots","Standard robotar"
"Default Store","Standardarkivet"
"Default Store View","Standard butiks vy"
"Default Title","Standardtitel"
"Default Web URL","Standard Webbadress"
"Delete","Ta bort"
"Delete Store","Ta bort butik"
"Delete Store View","Tag bort butiksvy"
"Delete Website","Ta bort webbplats"
"Design Change","Designändring"
"Developer","Utvecklare"
"Developer Client Restrictions","Utvlecklare och Klient Begränsningar"
"Disable Email Communications","Inaktivera e-kommunikation"
"Disable Modules Output","Avaktivera modulers output"
"Display Demo Store Notice","Visa Demo Affär meddelande"
"Duplicate Of Template Name","Dubblett av Mallnamn"
"Edit Design Change","Redigera designändring"
"Edit Store","Redigera butik"
"Edit Store View","Redigera butiksvy"
"Edit Website","Ändra webbplats"
"Empty identifier field name","Tomt fältnamn för identifierare"
"Empty main table name","Tomt namn för huvudtabell"
"Enable Charts","Aktivera diagram"
"Enabled","Aktiverad"
"Enabled for Admin","Aktiverat för Admin"
"Enabled for Frontend","Aktiverad för kunddelen"
"Environment Update Time","Tidpunkt för uppdateringen av miljö"
"Error in file: ""%s"" - %s","Det uppstod ett fel i filen: ""%s"" - %s"
"European Union Countries","Länder i Europeiska unionen"
"Favicon Icon","Favicon-ikonen"
"File system","Filsystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Fil med tillägget ""%value%"" är skyddad och kan inte laddas upp"
"First Day of Week","Första dagen i veckan"
"Flush Cache Storage","Tömma Cache-lagring"
"Footer","Sidfot"
"Forgot Password Email Sender","Avsändare i e-post för glömda lösenord"
"Forgot Password Email Template","Glömde lösenord e-postmall"
"General","Allmänt"
"General Contact","Allmän kontakt"
"General Settings","Generella inställningar"
"HTML Head","HTMLhuvud"
"Header","Sidhuvud"
"Host","Värd"
"How many links to display at once.","Hur många länkar som ska visas på en gång."
"Input type ""%value%"" not found in the input types list.","Indatatyp ""%value%"" hittades inte i listan över inmatningstyper."
"Invalid base url type","Ogiltig typ för bas-URL"
"Invalid block type: %s","Ogiltigt blocknamn: %s"
"Invalid block: %s","Ogiltigt block: %s"
"Invalid date","Ogiltigt datum"
"Invalid layout update handle","Ogiltig hanterare för layoutuppdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Ogiltig lagring av meddelanden ""%s"" för initiering av layoutmeddelanden"
"JavaScript Settings","JavaScript-inställningar"
"Leave empty for access from any location.","Lämna tom för åtkomst från valfri plats."
"Locale","Språk"
"Locale Options","Locale alternativ"
"Log Settings","Loginställningar"
"Login is Case Sensitive","Inloggning är skiftlägeskänslig"
"Logo Image","Logotypbild"
"Logo Image Alt","Logo bild Alt"
"Logo Image Src","Src logobild"
"Mail Sending Settings","Mailutskicks inställningar"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Kontrollera att bas-URL slutar med ' /' (snedstreck), e.g. http://yourdomain/magento/"
"Media Storage","Medialagring"
"Merge CSS Files","Koppla CSS-filer"
"Merge JavaScript Files","Koppla JavaScript-filer"
"Miscellaneous HTML","Diverse HTML"
"Name","Namn"
"New Design Change","Ny designändring"
"New Store","Ny butik"
"New Store View","Ny butiksvy"
"New Website","Ny webbplats"
"No","Nej"
"Package","Paket"
"Pagination","Sidbrytning"
"Pagination Frame","Sidbrytningsram"
"Pagination Frame Skip","Sidbrytnings frame skip"
"Path ""%value%"" is not available and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" is protected and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Please enter a number 0 or greater in this field.","Skriv in en siffra, 0 eller större i detta fält."
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Please enter a number greater than 0 in this field.","Vänligen ange ett tal som är större än 0 i detta fält."
"Please enter a valid $ amount. For example $100.00.","Vänligen ange ett giltigt belopp. Exempelvis 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vänligen ange en giltig URL, exempelvis http://www.example.com eller www.example.com"
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid date.","Vänligen ange ett giltigt datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vänligen ange en giltig e-postadress, exempelvis namn@example.com."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel +46 23 456 78 90 eller +46 (0)23-456 78 90."
"Please enter a valid social security number. For example 123-45-6789.","Vänligen ange ett giltigt personnummer, exempelvis 010101-0106."
"Please enter a valid zip code.","Vänligen ange ett giltigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Vänligen ange ett giltigt postnummer, exempelvis 980 16 eller 231 78."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select State/Province.","Vänligen välj region."
"Please select an option.","Välj ett alternativ."
"Please select one of the above options.","Vänligen välj ett av ovanstående alternativ."
"Please select one of the options.","Vänligen välj ett av alternativen."
"Please set available and/or protected paths list(s) before validation.","Vänligen ange tillgängliga och/eller skyddade sökvägar förteckningar innan validering."
"Please use letters only (a-z or A-Z) in this field.","Vänligen använd endast bokstäver (a-ö eller A-Ö) i detta fält."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Vänligen använd endast bokstäver (a-z), siffror (0-9) eller understreck i detta fält. Första tecknet bör vara en bokstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vänligen ange datum enligt formatet: dd/mm/åååå. Exempelvis 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Polls","Frågeformulär"
"Profiler","Profilerare"
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Root Category","Rotkategori"
"Sales Representative","Säljare"
"Save","Spara"
"Save Store","Spara butik"
"Save Store View","Spara butiksvy"
"Save Website","Spara webbplats"
"Search Engines Optimization","Sökmotoroptimering"
"Secure","Säkert"
"Security","Säkerhet"
"Select Date","Välj datum"
"Select Media Database","Välj Media databas"
"Sender Email","Avsändares e-post"
"Sender Name","Avsändarens namn"
"Services","Tjänster"
"Session Validation Settings","Inställningar för validering av session"
"Set Return-Path","Ställa in Return-Path"
"Set as Default","Ange som standard"
"Skin (Images / CSS)","Tema (bilder / CSS)"
"Sort Order","Sorteringsordning"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angivet datum/tid ""%1$s"" matchar ej formatet ""%2$s""."
"Startup Page","Startsida"
"Storage Configuration for Media","Lagringskonfiguration för Media"
"Store","Butik"
"Store Email Addresses","Lagra e-postadresser"
"Store Hours of Operation","Butikens öppettider"
"Store Information","Butiks information"
"Store Name","Butiksnamn"
"Store View","Butiksvy"
"Store View Information","Butiksvys information"
"Store View Name","Butiksvyns namn"
"Store view doesn't exist","Butiksvyn finns inte"
"Store with the same code","Butik med samma kod"
"System Log File Name","Namn för systemlogfil"
"Template Path Hints","Ledtrådar för mallsökväg"
"Template Settings","Sidmall-inställningar"
"Template Variables","Mallvariabler"
"Templates","Mallar"
"The store does not exist","Butiken finns inte"
"The website does not exist.","Webbplatsen finns inte."
"Themes","Teman"
"This category and all its child elements","Denna kategori och alla dess underelement"
"This category and its child categories only","Enbart denna kategori och dess underkategorier"
"This category and its products only","Enbart denna kategori och dess produkter"
"This category only","Endast denna kategori"
"This is a required field.","Detta är ett obligatoriskt fält."
"This store cannot be deleted.","Denna butik kan inte raderas."
"This store view cannot be deleted.","Denna butik Visa kan inte raderas."
"This website cannot be deleted.","Denna webbplats kan inte raderas."
"This will be included before head closing tag in page HTML.","Detta kommer att finnas före huvudets avslutande tagg i sidans HTML."
"Timezone","Tidszon"
"Title Prefix","Titel Prefix"
"Title Suffix","Titel Suffix"
"Transactional Emails","Transaktionella mail"
"Translate Inline","Översätt Inline"
"Translations","Översättningar"
"Unable to proceed. Please, try again","Det gick inte att utföra åtgärden. Vänligen försök igen."
"Unsecure","Osäker"
"Url Options","Url alternativ"
"Use Custom Admin Path","Använda anpassade Admin-sökväg"
"Use Custom Admin URL","Använda anpassade Admin URL"
"Use HTTP Only","Använd HTTP endast"
"None","Inga"
"Use Secure URLs in Admin","Använd säkra webbadresser i Admin"
"Use Secure URLs in Frontend","Använd säkra URL:er i kunddelen"
"Use Web Server Rewrites","Använda Web Server överskrivningar"
"VAT Number","VAT-nummer"
"Validate HTTP_USER_AGENT","Validera HTTP_USER_AGENT"
"Validate HTTP_VIA","Validera HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validera HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validera REMOTE_ADDR"
"Validation has failed.","Valideringen misslyckades."
"Variable Code must be unique.","Variabelkoden måste vara unik."
"Web","Webb"
"Website","Webbplats"
"Website Information","Information om webbplats"
"Website Name","Webbplatsens namn"
"Website with the same code","Webbplats med samma kod"
"Weekend Days","Helgdagar"
"Welcome Text","Välkommen Text"
"Wrong file info format","Fel filformat"
"Wrong number of arguments for %s","Fel antal argument till %s"
"Yes","Ja"
"Frontend","Kunddelen"
