"%s Item(s)","%s artiklar"
"(Shift-)Click or drag to change value","(Shift-)Klicka eller dra för att ändra värde"
"- Click on any of the time parts to increase it","- Klicka på vilken av tidsdelarna för att ändra"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll musen över någon av knapparna ovan för snabbare va.."
"- Use the %s buttons to select month","- Använd %s knappar för att välja månad"
"- Use the %s, %s buttons to select year","- Använd %s, %s knappen för att välja år"
"- or Shift-click to decrease it","- eller Shift-klick för att öka den"
"- or click and drag for faster selection.","- eller klicka och dra för snabbare selektering."
"-- Please Select --","--Vänligen välj--"
"1 column","1 kolumn"
"2 columns with left bar","2 kolumner med vänster bar"
"2 columns with right bar","2 kolumner med höger sektion"
"3 columns","3 kolumner"
"About the calendar","Om kalendern"
"Account","Konto"
"All Pages","Alla sidor"
"Allow","Tillåt"
"Close","Stäng"
"Close Window","Stäng fönster"
"DHTML Date/Time Selector","DHTML Datum/Tid väljare"
"Date selection:","Datumval:"
"Default Description","Förvald beskrivning"
"Default welcome msg!","Standard välkomstmeddelande!"
"Display %s first","Visa %s först"
"Distributed under GNU LGPL. See %s for details.","Distribuerad under GNU LGPL. Se %s för detaljer."
"Drag to move","Drag för att flytta"
"Empty","Tom"
"For latest version visit: %s","För senaste version besök: %s"
"Go Today","Gå till Idag"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Interface Language","Språk för gränssnittet"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"Left Column","Vänster kolumn"
"Menu","Meny"
"Next","Nästa"
"Next month (hold for menu)","Nästa månad (håll inne för meny)"
"Next year (hold for menu)","Nästa år (håll inne för meny)"
"Page:","Sida:"
"Prev. month (hold for menu)","Föreg. månad (håll inne för meny)"
"Prev. year (hold for menu)","Föreg. år (håll inne för meny) "
"Previous","Föregående"
"Report All Bugs","Rapportera alla buggar"
"Right Column","Höger kolumn"
"Search","Sök"
"Select Store","Välj en butik"
"Select date","Välj datum"
"Show","Visa"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demobutik. Beställningar som läggs kommer inte att behandlas."
"Time selection:","Tidval:"
"Time:","Tid:"
"View All","Visa alla"
"Welcome, %s!","Välkommen, %s!"
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
"per page","per sida"
