"Active","Aktiv"
"Add Attribute Mapping","Lägg till attributkoppling"
"Add New Attribute","Lägg till nytt attribut"
"Add to Google Base","Lägg till i Google Base"
"Are you sure?","Är du säker?"
"Attribute","Attribut"
"Attribute Set","Attributgrupp"
"Attribute Set and Item Type","Attributmängd och artikeltyp"
"Attributes","Attribut"
"Attributes Set","Attributmängd"
"Available Products","Tillgängliga produkter"
"Captcha confirmation error: %s","Felmeddelande för Captcha: %s"
"Catalog","Katalog"
"Clicks","Klick"
"Confirm","Bekräfta"
"Current Mapping will be reloaded. Continue?","Nuvarande koppling kommer att laddas om. Vill du fortsätta?"
"Custom attribute, no mapping","Skräddarsytt attribut, ingen koppling"
"Delete","Ta bort"
"Delete Mapping","Ta bort koppling"
"Edit Item Type","Ändra posttyp"
"Edit Item Type ""%s""","Ändra posttypen ""%s"""
"Error: %s","Fel: %s"
"Expires","Utgår"
"Google Base Attribute","Google Base-attribut"
"Google Base ID","Google Base-ID"
"Google Base Item Type","Google Base-posttyp"
"Google Base Item type","Google Base-posttyp"
"Google Base Items","Google Baseprodukter"
"Hide","Göm"
"Impr.","Exponeringar"
"Invalid Product Model for Google Base Item","Ogiltig produktmodell för Google Base-post"
"Item Type was deleted","Posttyp har tagits bort"
"Item Types","Posttyper"
"Items","Artiklar"
"Manage Attribute Mapping","Hantera attributkoppling"
"Manage Attributes","Hantera attribut"
"Manage Items","Hantera poster"
"New Item Type","Ny produkttyp"
"No","Nej"
"No items were deleted from Google Base","Inga poster har tagits bort från Google Base"
"No items were published","Inga poster har publicerats"
"No products were added to Google Base","Inga produkter har lagts till i Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Vänligen välj attributmängd och Google Base-posttyp för att ladda attribut"
"Product Name","Produktnamn"
"Publish","Publicera"
"Published","Publicerat"
"Remove","Ta bort"
"Save Mapping","Spara koppling"
"Synchronize","Synkronisera"
"Target Country","Målland"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denna åtgärd kommer att uppdatera statistik om poster och ta bort poster som inte är tillgängliga i Google Base. Vill du verkligen fortsätta?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kunde inte anlsuta till Google Base. Vänligen kontrollera inställningarna för Google Base."
"View Available Products","Se tillgängliga produkter"
"View Item in Google Base","Se posten i Google Base"
"Yes","Ja"
