"Authorize Only","Tillåta endast"
"Authorize and Capture","Auktorisera och debitera"
"Continue Shopping","Fortsätt Handla"
"Debug","Felsök"
"Email Sender","E-postavsändare"
"Enable","Aktivera"
"Merchant ID","Handlar-ID"
"Merchant Login","Inloggning för handlare"
"New Order Status","Ny orderstatus"
"Payment Action","Betalningsåtgärd"
"Sandbox","Testmiljö"
"Thank you for your purchase!","Tack för ditt köp!"
"Title","Titel"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en bekräftelse skickat till din e-postadress med detaljerna för din beställning och information om hur du kan spåra försändelsen."
