"* Required Fields","* Obligatoriska fält"
"ALL GROUPS","ALLA GRUPPER"
"Account Dashboard","Kontoöversikt"
"Account Information","Kontoinformation"
"Account Sharing Options","Kontodelningsalternativ"
"Action","Åtgärd"
"Add New Address","Lägg till ny adress"
"Add New Customer","Lägg till ny kund"
"Add New Customer Group","Lägg till ny kundgrupp"
"Added From","Tillagt Från"
"Additional Address Entries","Ytterligare adressfält"
"Address","Adress"
"Address Book","Adressbok"
"Address Information","Adressinformation"
"Address Templates","Adressmallar"
"Addresses","Adresser"
"Admin","Administratör"
"All","Alla"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"Amount","Belopp"
"Approved","Godkänd"
"Are you sure that you want to remove this item?","Är du säker på att du vill ta bort denna artikel?"
"Are you sure you want to cancel adding of this address?","Är du säker på att du inte vill lägga till denna adress?"
"Are you sure you want to delete this address?","Är du säker du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Assign a Customer Group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Back to Login","Tillbaka till inloggningen"
"Bad request.","Felaktig förfrågan."
"Bill to Name","Fakturanamn"
"Bought From","Köpte från"
"By Email","Via e-post"
"By IP","Via IP"
"By IP and Email","Via IP och E-post"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du registrerar dig som kund hos oss, kan du handla mycket smidigare, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"Cancel","Avbryt"
"Change Account Password","Ändra kontolösenordet"
"Change Billing Address","Ändra faktureringsadress"
"Change Password","Ändra Lösenord"
"Change Shipping Address","Ändra leveransadress"
"City","Stad"
"Company","Företag"
"Config","Inställningar"
"Configure","Konfigurera"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Confirm Password","Bekräfta lösenord"
"Confirmation Link Email","Email bekräftelselänk"
"Confirmed","Bekräftad"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsätt Handla"
"Country","Land"
"Create","Skapa"
"Create New Account Options","Alternativ för att skapa nytt konto"
"Create New Customer Account","Skapa nytt kundkonto"
"Create Order","Skapa Order"
"Create an Account","Skapa ett konto"
"Create customer","Skapa kund"
"Create customer address","Skapa kundadress"
"Current Password","Nuvarande Lösenord"
"Customer","Kund"
"Customer Addresses","Kundadresser"
"Customer Configuration","Kundkonfiguration"
"Customer Group","Kundgrupp"
"Customer Groups","Kundgrupper"
"Customer Information","Kundinformation"
"Customer Login","Logga in"
"Customer Since","Kund sedan"
"Customer View","Kundvy"
"Customers","Kunder"
"Customers Only","Endast kunder"
"Date","Datum"
"Date Added","Tillagd datum"
"Date of Birth","Födelsedag"
"Day","Dag"
"Days in Wishlist","Antal dagar i önskelistan"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Förvald faktureringsadress"
"Default Email Domain","Förvald domän för e-post"
"Default Group","Förvald grupp"
"Default Shipping Address","Förvald leveransadress"
"Default Welcome Email","Förvald välkomstmail"
"Delete","Ta bort"
"Delete Address","Ta bort adress"
"Delete Customer","Radera kund"
"Delete Customer Group","Ta bort kundgrupp"
"Delete customer","Ta bort kund"
"Delete customer address","Ta bort kundadress"
"Deleted Stores","Borttagna butiker"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Account Info","Ändra kontoinfo"
"Edit Account Information","Redigera kontoinformation"
"Edit Address","Redigera adress"
"Edit Address Entry","Ändra adresspost"
"Edit Customer Group ""%s""","Ändra kundgruppen ""%s"""
"Edit Customer Groups","Redigera kundgrupper"
"Edit Customer's Address","Ändra kundens adress"
"Edit Group","Redigera grupp"
"Edit Newsletters","Ändra nyhetsbrev"
"Email","E-post"
"Email Address","E-postadress"
"Email Sender","E-postavsändare"
"Email:","Epost:"
"Failed to confirm customer account.","Det gick inte att konfirmera kundkontot."
"First Name","Förnamn"
"Forgot Email Template","Mall för e-post för glömda uppgifter"
"Forgot Password","Glömt lösenord"
"Forgot Your Password?","Glömt ditt lösenord?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","I kontoöversikten får du en överblick av dina senaste aktiviteter, och du kan också ändra dina kontouppgifter. Välj en länk nedan för att granska eller ändra dina uppgifter."
"Gender","Kön"
"General Subscription","Allmänt abonnemang"
"Group","Grupp"
"Group Information","Gruppinformation"
"Group Name","Gruppnamn"
"Guest","Gäst"
"Hello, %s!","Hej, %s!"
"IP Address","IP-adress"
"If you have an account with us, please log in.","Om du redan har ett konto hos oss, vänligen logga in."
"Invalid current password","Det nuvarande lösenord är felaktigt"
"Invalid customer data","Ogiltig kunddata"
"Invalid login or password.","Felaktigt användarnamn eller lösenord."
"Last Activity","Senaste aktivitet"
"Last Date Subscribed","Datum för senaste prenumerationen"
"Last Date Unsubscribed","Datum för senaste avprenumerationen"
"Last Name","Efternamn"
"Leave empty for default (15 minutes).","Lämnas tom för förvald (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Lämna tom för förvald (2). Giltigt intervall : 1-4"
"Lifetime Sales","Livstids försäljning"
"Log In","Logga in"
"Log Out","Logga ut"
"Login","Logga in"
"Login Information","Information om inloggning"
"Login Options","Inloggningsalternativ"
"Login or Create an Account","Logga in eller skapa ett konto"
"Manage Addresses","Hantera adresser"
"Manage Customers","Hantera kunder"
"Month","Månad"
"My Account","Mitt konto"
"My Dashboard","Kontoöversikt"
"My Orders","Mina beställningar"
"Name","Namn"
"Name and Address Options","Namn och adressalternativ"
"Never","Aldrig"
"New Address","Ny adress"
"New Address Entry","Ny adresspost"
"New Customer","Ny kund"
"New Customer Address","Ny kundadress"
"New Customer Group","Ny kundgrupp"
"New Customer Groups","Nya kundgrupper"
"New Customers","Nya kunder"
"New Group","Ny grupp"
"New Password","Nytt lösenord"
"New account","Nytt konto"
"Newsletter","Nyhetsbrev"
"Newsletter Finish","Slutet på nyhetsbrev"
"Newsletter Information","Nyhetsbrevsinformation"
"Newsletter Received","Nyhetsbrev har mottagits"
"Newsletter Start","Början på nyhetsbrev"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Newsletters","Nyhetsbrev"
"No Items Found","Inga artiklar har hittats"
"No Newsletter Found","Inget nyhetsbrev hittades"
"No item specified.","Inga artiklar anges."
"Not Sent","Inte skickat"
"Offline","Nerkopplad"
"Online","Uppkopplad"
"Online Customers","Kunder online"
"Order #","Beställning #"
"Order Total","Ordersumma"
"Orders","Beställningar"
"Password","Lösenord"
"Password Management","Hantera lösenord"
"Password Options","Alternativ för lösenord"
"Password forgotten","Glömt lösenord"
"Password:","Lösenord:"
"Paused","Pausad"
"Pending","Väntar"
"Per Website","Per webbplats"
"Personal Information","Personlig information"
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Please enter the city.","Ange postort."
"Please enter the country.","Ange land."
"Please enter the first name.","Ange förnamn."
"Please enter the last name.","Ange efternamn."
"Please enter the state/province.","Ange region."
"Please enter the street.","Ange gatuadress."
"Please enter the zip/postal code.","Ange postnumret."
"Please enter your email.","Ange din e-post."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select region, state or province","Ange region eller område"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt-id"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Tags","Produktetiketter"
"Purchase On","Köptes den"
"Purchased On","Köpdatum"
"Qty","Antal"
"Recent Orders","Senaste beställningar"
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Redirect Customer to Account Dashboard after Logging in","Dirigera kunden till kontoöversikten efter inloggning"
"Refunded","Återbetald"
"Register","Registrera"
"Registered Customers","Registrerade kunder"
"Remove","Ta bort"
"Reset a Password","Återställ ett Lösenord"
"Retrieve your password here","Hämta ditt lösenord här"
"SKU","Art.nr"
"Sales Statistics","Försäljningsstatistik"
"Save","Spara"
"Save Address","Spara Adress"
"Save Customer","Spara kund"
"Save Customer Group","Spara kundgrupp"
"Save Password","Spara lösenord"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Send From","Skicka från"
"Send confirmation link","Skicka bekräftelselänk"
"Sending","Skickar"
"Sent","Skickat"
"Session Start Time","Starttid för session"
"Set as Default Billing Address","Välj som förvald fakturaadress"
