" [deleted]"," [Borttagen]"
" and "," och "
"(For US 2-letter state names)","(För stater i USA med 2-bokstavsnamn)"
"(If left empty will be auto-generated)","(Kommer att genereras automatiskt om den lämnas tom)"
"(Leave empty for first spreadsheet)","(Lämna tomt för första kalkylbladet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter kommer att läggas till eller uppdateras i denna butik om kolumnen 'Butik' är tom eller saknas i importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)Klicka eller dra för att ändra värde"
"(Starting with)","(Börjar med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Om 'Nej' har valts kommer endast kopplade fält att importeras. När du kopplar fält, använd  'kolumn1', 'kolumn2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du måste öka php minnesbegränsningen innan du ändrar detta värde)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Obligatoriska fält"
"- Click on any of the time parts to increase it","- Klicka på vilken av tidsdelarna för att ändra"
"- Hold mouse button on any of the above buttons for faster selection.","- Håll musen över någon av knapparna ovan för snabbare va.."
"- Use the %s buttons to select month","- Använd %s knappar för att välja månad"
"- Use the %s, %s buttons to select year","- Använd %s, %s knappen för att välja år"
"- or Shift-click to decrease it","- eller Shift-klick för att öka den"
"- or click and drag for faster selection.","- eller klicka och dra för snabbare selektering."
"-- Please Select --","--Vänligen välj--"
"-- Please Select a Category --","-- Vänligen välj en kategori --"
"-- Please select --","--Vänligen välj--"
"--Please Select--","--Vänligen Välj--"
"1 Hour","1 timme"
"12 Hours","12 timmar"
"12h AM/PM","12 timmar FM/EM"
"2 Hours","2 timmar"
"24 Hours","24 timmar"
"24h","24 timmar"
"2YTD","Senaste 2 åren"
"6 Hours","6 timmar"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404-fel</h1> <p>Sidan kan inte hittas.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>OBS</strong>: Captcha är skiftlägeskänsligt."
"About the calendar","Om kalendern"
"Account Created in:","Konto skapat i:"
"Account Created on (%s):","Kontot skapades den (%s):"
"Account Created on:","Kontot skapades den:"
"Account Information","Kontoinformation"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Åtgärd"
"Actions","Åtgärder"
"Actions XML","XML åtgärder"
"Active","Aktiv"
"Add","Lägg till"
"Add Exception","Lägg till undantag"
"Add Field Mapping","Lägg till fältkoppling"
"Add Field with URL:","Lägg till fält med URL:"
"Add New","Lägg till ny"
"Add New Block","Lägg till nytt Block"
"Add New Image","Lägg till ny bild"
"Add New Profile","Lägg till ny profil"
"Add New Role","Lägg till ny roll"
"Add New Template","Lägg till ny mall"
"Add New URL Rewrite","Lägg till ny URL Rewrite"
"Add New User","Lägg till en Ny Användare"
"Add New Variable","Lägg till ny variabel"
"Add Products","Lägg till produkter"
"Add URL Rewrite for a Category","Lägg till URL-omskrivning för en Kategori"
"Add URL Rewrite for a Product","Lägg till URL-omskrivning för en Produkt"
"Add after","Lägg till efter"
