"(Excl. Tax)","(Exkl. Moms)"
"(Incl. Tax)","(Inkl. Moms)"
"* Required Fields","* Obligatoriska fält"
"Add New Address","Lägg till ny adress"
"Add New Condition","Lägga till nytt villkor"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Address","Adress"
"Address %s of %s","Adress %s av %s"
"After Adding a Product Redirect to Shopping Cart","Efter att en Produkt lagts till Omdirigera till Kundvagnen"
"Allow Guest Checkout","Tillåt Köp av Gäster"
"Already registered?","Redan registrerad?"
"An error occurred in the process of payment","Ett fel uppstod i betalningsprocessen"
"Apply","Tillämpa"
"Apply Coupon","Använd Kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker du vill ta bort artikeln från kundvagnen?"
"Back","Tillbaka"
"Back to Shipping Information","Tillbaka till leveransinformation"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Billing Address","Faktureringsadress"
"Billing Information","Faktureringsinformation"
"Billing Information - %s","Faktura information - %s"
"Cancel","Avbryt"
"Cancel Coupon","Avbryt kupong"
"Cannot process the item.","Kan inte bearbeta artikeln."
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"Cart Subtotal:","Totalt:"
"Change","Ändra"
"Change Billing Address","Ändra faktureringsadress"
"Checkout","Till Kassan"
"Checkout Conditions","Alternativ för Kassan"
"Checkout Options","Alternativ för Kassan"
"Checkout Section","Kassadel"
"Checkout Terms and Conditions","Allmänna villkor för checkout"
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"City","Stad"
"Clear Shopping Cart","Rensa Kundvagn"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%s"" onclick=""this.target='_blank'"">här</a> för att skriva ut din orderbekräftelse."
"Close","Stäng"
"Company","Företag"
"Condition Name","Villkor"
"Confirm Password","Bekräfta lösenord"
"Content","Innehåll"
"Content Height","Innehållets höjd"
"Content Height (css)","Innehållets höjd (css)"
"Continue","Fortsätt"
"Continue Shopping","Fortsätt Handla"
"Continue to Billing Information","Fortsätt till Faktureringsinformation"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kupongkoden ""%s"" är inte giltig."
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa leveransadress"
"Customer Address is not valid.","Kundadressen är ej giltig."
"Customer Information","Kundinformation"
"Data saving problem","Problem med att spara data"
"Default Billing","Förvald fakturaadress"
"Default Shipping","Förvald frakt"
"Delete Condition","Ta bort Villkoret"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Discount Codes","Rabattkoder"
"Display Cart Summary","Visa Sammanfattning för Varukorgen"
"Display Shopping Cart Sidebar","Visa miniatyrvarukorg"
"Display item quantities","Visa antal"
"Display number of items in cart","Visa antal artiklar i kundvagnen"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Edit","Redigera"
"Edit Address","Redigera adress"
"Edit Billing Address","Redigera faktureringsadress"
"Edit Condition","Redigera villkor"
"Edit Items","Ändra artiklar"
"Edit Shipping Address","Redigera leveransadress"
"Edit Terms and Conditions","Editera Allmänna Villkor"
"Edit Your Cart","Redigera din kundvagn"
"Edit item","Redigera artikel"
"Edit item parameters","Redigera parametrarna för"
"Email Address","E-postadress"
"Enable Onepage Checkout","Aktivera Onepage Kassa"
"Enable Terms and Conditions","Aktivera löpvillkor"
"Enabled","Aktiverad"
"Enter a New Address","Ange en ny adress"
"Enter your coupon code if you have one.","Ange din rabattkod om du har någon."
"Enter your destination to get a shipping estimate.","Välj destination för att få en uppskattad fraktkostnad."
"Estimate Shipping and Tax","Uppskatta Frakt och Moms"
"Excl. Tax","-Exkl. Moms"
"Fast and easy check out","Gå till snabbkassan"
"Forgot an Item?","Glömt något?"
"Forgot your password?","Glömt ditt lösenord?"
"Get a Quote","Beräkna"
"Gift Message","Presentmeddelande"
"Grand Total:","Totalsumma:"
"Grouped Product Image","Grupperade Produktbilder"
"Incl. Tax","Inkl. Moms"
"Invalid email address ""%s""","Ogiltig epostadress ""%s"""
"Invalid shipping method.","Ogiltigt leveranssätt."
"Items","Artiklar"
"Load customer quote error","Inläsningsfel för kundoffert"
"Loading next step...","Laddar nästa steg..."
"Login","Logga in"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalt antal för leverans till flera adresser är %s"
"Move","Flytta"
"Move to Wishlist","Flytta till önskelista"
"My Cart","Min kundvagn"
"My Cart (%s item)","Min varukorg (%s artikel)"
"My Cart (%s items)","Min varukorg (%s artiklar)"
