"* Required Fields","* Obligatoriska fält"
"--Please Select--","--Vänligen Välj--"
"<label>Make Check payable to:</label> %s","<label>Skriv check till:</label> %s"
"Bank Transfer Payment","Betalning via bankgiro"
"Card Verification Number","Verifikationsnummer för kort"
"Cash On Delivery Payment","Kontant betalning vid leverans"
"Check / Money Order","Check/kontantorder"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Number: xxxx-%s","Bankkortsnummer: xxxx-%s"
"Credit Card Type","Kreditkortstyp"
"Credit Card Type: %s","Typ av bankkort: %s"
"Credit Card Types","Kreditkortstyper"
"Currency","Valuta"
"Day","Dag"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Expiration Date: %s/%s","Utgångsdatum: %s/%s"
"Instructions","Instruktioner"
"Issue Number","Utfärdandenummer"
"Make Check Payable to","Ställ ut checken till"
"Make Check payable to:","Checkbetalning till:"
"Make Check payable to: %s","Skriv checken till: %s"
"Maximum Order Total","Högsta orderbelopp"
"Merchant ID","Handlar-ID"
"Minimum Order Total","Minsta orderbelopp"
"Month","Månad"
"N/A","Ej tillgängligt"
"Name on Card","Namn på kortet"
"Name on the Card: %s","Namn på kortet: %s"
"New Order Status","Ny orderstatus"
"Password","Lösenord"
"Payment Method","Betalningsmetod"
"Payment Methods","Betalningsmetoder"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Purchase Order","Inköpsorder"
"Purchase Order Number","Inköpsordernummer"
"Purchase Order Number: %s","Beställningsnummer: %s"
"Saved CC","Sparat kontokortsnr"
"Send Check to","Skicka check till"
"Send Check to:","Skicka check till:"
"Shipping Amount","Fraktkostnad"
"Sort Order","Sorteringsordning"
"Start Date","Startdatum"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro utfärdandenummer"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro startdatum"
"Tax Amount","Momsbelopp"
"Test Mode","Testläge"
"The requested Payment Method is not available.","Önskad betalningsmetod är inte tillgänglig."
"Title","Titel"
"What is this?","Vad är det här?"
"Year","År"
"Zero Subtotal Checkout","Noll mellansumma vid kassan"
