" Copy"," Kopiera"
"Action","Åtgärd"
"Add New Template","Lägg till ny mall"
"Add to Queue","Lägg till i kön"
"Are you sure that you want to delete this template?","Är du säker på att du vill ta bort denna mall?"
"Are you sure that you want to strip all tags?","Är du säker på att du vill ta bort alla etiketter?"
"Back","Tillbaka"
"Cancel","Avbryt"
"Cancelled","Avbruten"
"Confirmation Email Sender","Avsändare för bekräftelse e-post"
"Confirmation Email Template","Mall för bekräftelse e-post"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Create Newsletter Template","Skapa mall för nyhetsbrev"
"Customer","Kund"
"Customer First Name","Kundens Förnamn"
"Customer Last Name","Kundens efternamn"
"Date Added","Tillagd datum"
"Date Updated","Uppdaterad den"
"Delete","Ta bort"
"Delete Selected Problems","Ta bort markerade problem"
"Delete Template","Ta bort mallen"
"Do you really want to cancel the queue?","Vill du verkligen avbryta kön?"
"Edit Newsletter","Redigera nyhetsbrev"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"Edit Queue","Ändra kö"
"Edit Template","Redigera mall"
"Email","E-post"
"Enter your email address","Ange din e-postadress"
"Error Code","Felkod"
"Error Text","Felmeddelande"
"Guest","Gäst"
"Message","Meddelande"
"Need to Confirm","Måste bekräftas"
"New Newsletter Template","Ny nyhetsbrevsmall"
"New Template","Ny mall"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Förhandsgranskning av nyhetsbrev"
"Newsletter Problem Reports","Rapporter om problem med nyhetsbrev"
"Newsletter Queue","Kö för nyhetsbrev"
"Newsletter Section","Nyhetsbrevssektion"
"Newsletter Styles","Nyhetsbrev stilar"
"Newsletter Subscribers","Prenumeranter på nyhetsbrev"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"Newsletter Templates","Nyhetsbrev mallar"
"Newsletter subscription confirmation","Bekräftelse av prenumeration på nyhetsbrev"
"Newsletter subscription success","Prenumeration på nyhetsbrev genomförd"
"Newsletter unsubscription success","Uppsägning av prenumeration på nyhetsbrev genomförd"
"No Templates Found","Inga mallar hittade"
"Not Sent","Inte skickat"
"Pause","Pausa"
"Paused","Pausad"
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Please enter new template name","Vänligen skriv in nytt mallnamn"
"Please select subscriber(s)","Vänligen välj prenumerant(er)"
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Processed","Behandlad"
"Queue Date Start","Startdatum för kön"
"Queue Finish","Köslut"
"Queue Information","Köinformation"
"Queue Start","Köstart"
"Queue Subject","Ämnesrad för kö"
"Recipients","Mottagare"
"Reset","Återställ"
"Resume","Återuppta"
"Return HTML Version","Returnera HTML-versionen"
"Save As","Spara som"
"Save Newsletter","Spara nyhetsbrev"
"Save Template","Spara mall"
"Save and Resume","Spara och återuppta"
"Sender","Avsändare"
"Sender Email","Avsändares e-post"
"Sender Name","Avsändarens namn"
"Sending","Skickar"
"Sent","Skickat"
"Sign up for our newsletter","Prenumerera på vårt nyhetsbrev"
"Start","Starta"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämne"
"Submit","Skicka"
"Subscribe","Prenumerera"
"Subscriber","Prenumerant"
"Subscribers","Prenumeranter"
"Subscribers From","Prenummeranter från"
"Subscription Options","Prenumerationsval"
"Success Email Sender","Avsändare för mall för e-post om bekräftelse"
"Success Email Template","Mall för e-post om bekräftelse"
"Template Content","Mallinnehåll"
"Template Information","Information om mallar"
"Template Name","Mallens namn"
"Template Styles","Mallstilar"
"Template Subject","Mall ämne"
"Template Type","Malltyp"
"There was a problem with the subscription: %s","Det uppstod ett fel med prenumerationen: %s"
"There was a problem with the un-subscription.","Det uppstod ett fel i samband med uppsägningen av prenumerationen."
"Type","Typ"
"Unsubscribe","Säg upp prenumeration"
"Unsubscribe Selected","Avprenumeration Vald"
"Unsubscription Email Sender","Avsändare för e-post om uppsägning av prenumeration"
"Unsubscription Email Template","Mall för e-post om uppsägning"
"View Newsletter","Visa nyhetsbrev"
"Website","Webbplats"
