"%d Review(s)","%d recension(er)"
"%s Review(s)","%s recension(er)"
"(Posted on %s)","(Skrevs den %s)"
"1 star","1 stjärna"
"2 stars","2 stjärnor"
"3 stars","3 stjärnor"
"4 stars","4 stjärnor"
"5 stars","5 stjärnor"
"Add New Review","Skriv ny recension"
"Add Your Review","Skriv en egen recension"
"Administrator","Administratör"
"All Reviews","Alla recensioner"
"Approved","Godkänd"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Average Customer Rating","Snittbetyg av kunder"
"Average Customer Rating:","Snittbetyg av kunder:"
"Back","Tillbaka"
"Back to My Reviews","TIllbaka till mina recensioner"
"Back to Product Reviews","Tillbaka till produktrecensioner"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Created On","Skapades"
"Customer","Kund"
"Customer Reviews","Kundrecensioner"
"Customers Reviews","Kundrecensioner"
"Delete","Ta bort"
"Delete Review","Ta bort recension"
"Detailed Rating","Detaljerad betygsättning"
"Edit Review '%s'","Ändra på recensionen '%s'"
"Guest","Gäst"
"How do you rate this product?","Vilket betyg ger du denna produkt?"
"My Product Reviews","Mina Produktrecensioner"
"My Recent Reviews","Mina senaste recensioner"
"Name","Namn"
"New Review","Ny Recension"
"Nickname","Smeknamn"
"Pending","Väntar"
"Pending Reviews","Recensioner att granska"
"Please select a product","Vänligen välj en produkt"
"Please select one of each of the ratings above","Vänligen välj ett av betygen ovan"
"Posted By","Skriven av"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnamn"
"Product Rating","Produktbetyg"
"Product Rating:","Produktbetyg:"
"Product Review (submitted on %s):","Produktrecension (skrevs den %s):"
"Product Reviews","Produktrecensioner"
"Product SKU","Art. nr. för produkt"
"Products Reviews","Produktrecensioner"
"Qty","Antal"
"Rating:","Betyg:"
"Review","Recension"
"Review Details","Granska Detaljer"
"Review by %s","Recension av %s"
"Reviews","Recensioner"
"SKU","Art.nr"
"Save Review","Spara utvärdering"
"Submit Review","Skicka recension"
"Summary Rating","Sammanfattande värdering"
"Summary of Review","Sammanfattning av recension"
"Summary of Your Review","Sammanfattning av din recension"
"Title","Titel"
"Type","Typ"
"View All Reviews","Se alla recensioner"
"View Details","Visa detaljer"
"Visible In","Synlig i"
"Websites","Webbplatser"
"Write Your Own Review","Skriv din egen recension"
"You have submitted no reviews.","Du har inte skickat några recensioner."
"You're reviewing:","Du recenserar:"
"Your Rating:","Ditt betyg"
"Your Review (submitted on %s):","Din recension (skickades den %s):"
