"# of Use","Använt antal"
"%1$s incl tax.","%1$s inkl moms.."
"%s Item(s)","%s artiklar"
"(Copy data from: %s)","(Kopiera data från: %s)"
"Customer Group","Kundgrupp"
"Customers Reviews","Kundrecensioner"
"Customers Tagged Product","Kunders uppmärkta produkter"
"Data Type for Saving in Database","Datatyp för sparandet i databasen"
"Date & Time Custom Options","Datum & tid anpassade alternativ"
"Date Fields Order","Datumfält ordning"
"Date Subscribed","Prenumeration påbörjades"
"Datetime","Datumtid"
"Decimal","Decimaltal"
"Declare attribute value saving scope","Deklarera sparningsomfång för attributvärde"
"Default ""What's This"" Text Message","Standard ""Vad är detta"" textmeddelande"
"Default Popup Text Message","Standard popup textmeddelande"
"Default Price","Standard pris"
"Default Price Navigation Step","Standard pris Navigations steg"
"Default Qty","Förvalt Antal"
"Default Values","Standardvärden"
"Delete","Ta bort"
"Delete Attribute","Ta bort attribut"
"Delete Attribute Set","Ta bort attributmängd"
"Delete Category","Ta bort kategori"
"Delete Option","Radera alternativ"
"Delete Row","Ta bort rad"
"Delete Search","Radera sökning"
"Delete Selected Group","Ta bort vald grupp"
"Delete Tier","Ta bort grupp"
"Delete category","Ta bort kategori"
"Delete product","ta bort produkt"
"Depends on design theme","Beroende av designtema"
"Description","Beskrivning"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Display Actual Price","Visa faktiska priset"
"Display Page Control","Visa sidkontroll"
"Display Product Count","Visa produktantal"
"Display Type","Visningstyp"
"Display in Suggested Terms","Visa i föreslagna termer"
"Double click on a group to rename it","Dubbelklicka på en grupp för att ändra dess namn"
"Double click on above image to view full picture","Dubbelklicka på bilden ovan för att se bilden i originalstorlek"
"Downloadable Information","Nedladdningsbar Information"
"Duplicate","Duplicera"
"Duplicate amount found.","Duplicera funnen mängd."
"Duplicate website tier price customer group and quantity.","Duplicera kundgrupp och kvantitet för webbplatsens nivåpris."
"Duplicate website, country and state tax found.","Duplicerad webbplats, land och regionmoms funnen."
"Edit","Redigera"
"Edit Attribute Set '%s'","Ändra attributmängden '%s'"
"Edit Product Attribute","Redigera produktattribut"
"Edit Product Attribute ""%s""","Ändra produktattribut ""%s"""
"Edit Search","Ändra sök"
"Edit Search '%s'","Hantera sökningar på '%s'"
"Email","E-post"
"Email to a Friend","E-posta till en vän"
"Empty","Tom"
"Enable MAP","Aktivera Karta"
"Enable Qty Increments","Aktivera antal steg"
"Enabled","Aktiverad"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet skulle hämtas för: %s"
"Exclude","Uteslut"
"Expand All","Expandera alla"
"Failed","Misslyckad"
"Failed to move file: %s","Misslyckades med att flytta filen %s"
"Feature Products","Kampanjproduker"
"File upload failed","Filuppladdning misslyckades"
"Filterable (no results)","Filtrerbara (inga resultat)"
"Filterable (with results)","Filtrerbara (med resultat)"
"First Name","Förnamn"
"Fixed","Fast"
"For the last time placed.","För sista gången placerades."
"Frontend","Kunddelen"
"Frontend Model","Modell för kunddelen"
"Frontend Properties","Egenskaper för kunddelen"
"Gallery","Galleri"
"General Information","Allmän Information"
"Get special price","Få specialpris"
"Globally Editable","Globalt redigerbar"
"Go to Home Page","Gå till startsidan"
"Grid","Rutnät"
"Grouped Product","Grupperad produkt"
"Groups","Grupper"
"Home","Hem"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett värde för valet på butiksvynivå kommer det förvalda (Admin) värdet användas."
"Image","Bild"
"Image content is not valid base64 data.","Bildinnehållet är ej giltigt bas 64 data."
"Image type and information need to be specified for each store view.","Typ och information för bild måste anges för varje butiksvy."
"In Cart","I varukorgen"
"In Stock","I lager"
"In stock","I lager"
"Incl. Tax","Inkl. Moms"
"Index product prices","Index för produktpriser"
"Indexed category/products association","Indexerade kategori/produkter association"
"Input Type","Indatatyp"
"Integer","Heltal"
"Invalid Tier Prices","Felaktigt Stafflat Pris"
"Invalid attribute %s","Felaktigt attribut %s"
"Invalid store specified","Ogiltig butik har angetts"
"Inventory","Lagerstatus"
"Is Default","Standard"
"Is Required","Är obligatorisk"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill ska visas i katalogen eller i sökresultat bör ha status satt till 'Inaktiverad"" i önskad butik."
"Label","Etikett"
"Last Name","Efternamn"
"Last Notification","Senaste meddelande"
"Layered Navigation","Filternavigering"
"Learn More","Läs Mer"
"Line %d, Email: %s","Rad %d, E-post: %s"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Länk (Relaterad, Uppsälj, Korssälj)"
"Link to a Specified Category","Länk till en angiven kategori"
"Link to a Specified Product","Länk till en angiven produkt"
"List","Listvy"
"List Mode","Listläge"
"List of Products that are set as New","Lista över produkter som är inställda som ny"
"Manage Attribute Sets","Redigera attributgrupper"
"Manage Attributes","Hantera attribut"
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"Manage Label / Options","Hantera etiketter / alternativ"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Manage Product Attributes","Hantera produktattribut"
"Manage Product Sets","Redigera produktgrupper"
"Manage Products","Hantera produkter"
"Manage Stock","Hantera lager"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Max Characters","Max tecken"
"Maximal Depth","Maxdjup"
"Maximum Image Size","Maximal bildstorlek"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Maximum image height","Maximal bildhöjd"
"Maximum image width","Maximal bildbredd"
"Maximum number of characters:","Maximalt antal tecken:"
"Maximum number of price intervals is 100","Maximalt antal pris intervall är 100"
"Media Image","Media bild"
"Minimum Advertised Price","Minimum annonserade pris"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Minimum Qty for Item's Status to be Out of Stock","Lagersaldo för artikel för att dess status ska ändras till ""Slut i lager"""
"More Views","Fler bilder"
"Move","Flytta"
"Move category in tree","Flytta kategori i trädet"
"My Account","Mitt konto"
"N/A","Ej tillgängligt"
"Name","Namn"
"New Product","Ny produkt"
"New Product Attribute","Nytt produktattribut"
"New Products","Nya produkter"
"New Products Grid Template","Nya produkter tabell-mall"
"New Products List Template","Nya produkter list-mall"
"New Search","Ny sökning"
"New Set Name","Nytt set namn"
"New products","Nya produkter"
"Next","Nästa"
"No","Nej"
"No image","Ingen bild"
"No layout updates","Inga layout uppdateringar"
"No options of this product are available.","Det finns inget alternativ för denna produkt."
"None","Inga"
"Not Visible Individually","Syns inte individuellt"
"Notify Low Stock RSS","Notifikation lågt lagersaldo RSS"
"Notify for Quantity Below","Notifiera för antal under"
"Number of Products per Page","Produkter per sida"
"Number of Products to Display","Produkter att visa"
"Number of Uses","Antal användningar"
"Number of results","Antal träffar"
"Number of results (For the last time placed)","Antal resultat (För senaste placeringen)"
"OK","Ok"
"OR","ELLER"
"Old Price:","Tidigare pris:"
"On Gesture","På gest"
"Option:","Alternativ:"
"Options","Alternativ"
"Options Control","Hantera alternativ"
"Options is required","Alternativ krävs"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundservice är tillgänglig 24/7. Ring oss på (555) 555-0123."
"Out of Stock","Ej i lager"
"Out of stock","Ej i lager"
"PM","EM"
"Page Title Separator","Avgränsare för sidrubrik"
"Parent Category","Överordnad kategori"
"Pending","Väntar"
"Pending Reviews RSS","RSS-kanal för recensioner att granska"
"Percentage","Procent"
"Please add rows to option.","Lägg till rader till valet."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","När du klickar på raden kommer paketdata från den valda filen laddas och all osparad data förloras."
"Please enter a new group name","Vänligen skriv in ett nytt namn för gruppen"
"Please select one or more attributes.","Vänligen välj ett eller flera attribut."
"Please select products for attributes update","Vänligen välj produkter för att uppdatera attribut"
"Please specify date required option(s).","Vänligen ange datum."
"Please specify the product required option(s)","Vänligen ange produktens obligatoriska val"
"Please specify the quantity of product(s).","Vänligen välj antalet produkter."
"Please specify time required option(s).","Ange tid."
"Please wait...","Var god vänta..."
"Position","Plats"
"Position in Layered Navigation","Position i Filternavigering"
"Position of attribute in layered navigation block","Placering av attribut i lagerbaserad navigationsblock"
"Prev","Föregående"
"Previous","Föregående"
"Price","Pris"
"Price Navigation Step Calculation","Pris Navigation stegberäkning"
"Price Type","Pristyp"
"Price values for options should be specified in system base currency.","Prisvärden för alternativ bör anges i systemets basvaluta"
"Price:","Pris:"
"Print This Page","Skriv ut denna sida"
"Product","Produkt"
"Product API","Produkt API"
"Product Alerts","Produktmeddelanden"
"Product Attribute","Produktattribut"
"Product Attributes","Produktattribut"
"Product Categories","Produktkategorier"
"Product Description","Produktbeskrivning"
"Product Flat Data","Flat produktdata"
"Product ID","Produkt-id"
"Product Image Placeholders","Produkt bildplaceholders"
"Product Image Watermarks","Produktbild vattenstämplar"
"Product Images","Produktbilder"
"Product Images API","Produktbild API"
"Product In Websites","Produkt i webbplatser"
"Product Info Column","Produktinformationskolumn"
"Product Information","Information om produkt"
"Product Link Block Template","Produktlänk blockmall"
"Product Link Inline Template","Produktlänk inline-mall"
"Product Listing Sort by","Produktnotering sortera efter"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Product Tags","Produktetiketter"
"Product Tier Price API","Prisstafflingar produkt API"
"Product Type","Produkttyp"
"Product URL Suffix","Produkt URL-Suffix"
"Product attribute sets API","Produkt attributmängds API"
"Product attributes API","Produktattribute API"
"Product is not loaded","Produkten är inte laddad."
"Product links API (related, cross sells, up sells)","Produktlänkar API (relaterade, korssälj, uppsälj)"
"Product types API","API Produkttyper"
"Product with this combination of attributes already associated to configurable.","Det existerar redan en produkt som är relaterad med konfigurerbar och som har samma kombination av attribut."
"Products","Produkter"
"Products Comparison List","Produkter jämförelselista"
"Products Information","Produkt information"
"Products Reviews","Produktrecensioner"
"Products Sitemap","Webbkarta för produkter"
"Products only","Endast produkter"
"Products per Page on Grid Allowed Values","Produkter per sida i tabellen av tillåtna värden"
"Products per Page on Grid Default Value","Produkter per sida på produktkategorisidan"
"Products per Page on List Allowed Values","Produkter per sida på listan av tillåtna värden"
"Products per Page on List Default Value","Produkter per sida på listan för standardvärde"
"Properties","Egenskaper"
"Qty","Antal"
"Qty Increments","Antal steg"
"Qty Uses Decimals","Antal använder decimaler"
"Qty:","Antal:"
"Quantity","Antal"
"Quick Create","Snabbskapa"
"Quick Overview","Översikt"
"Quick simple product creation","Snabbskapa enkel produkt"
"Redirect","Omdirigera"
"Redirect URL","Omdirigerings-URL"
"Regular Price:","Ordinarie pris"
"Related Products","Relaterade produkter"
"Remove","Ta bort"
"Remove Product From Websites","Ta bort produkten från webbplatser"
"Remove This Item","Ta bort Denna Artikel"
"Remove product assignment","Ta bort produktrelation"
"Remove product image","Ta bort produktbild"
"Remove product link","Ta bort produktlänk"
"Reorganize EAV category structure to flat structure","Omorganisera EAV kategoristruktur till ""flat"" struktur"
"Reorganize EAV product structure to flat structure","Omorganisera EAV produktstrukturen till ""flat"" struktur"
"Reset","Återställ"
"Results","Resultat"
"Reviews","Recensioner"
"Roll Over for preview","För över musen för förhandsgranskning"
"Root","Rot"
"SKU","Art.nr"
"Save","Spara"
"Save Attribute","Spara attribut"
"Save Attribute Set","Spara attributmängd"
"Save Category","Spara kategori"
"Save Search","Spara sökning"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Scope","Omfattning"
"Search","Sök"
"Search Engine Optimizations","Sökmotoroptimeringar"
"Search Information","Sökinformation"
"Search Query","Sökterm"
"Search Weight","Sök vikt"
"Searchable","Sökbar"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Select Category...","Välj kategori..."
"Select Configurable Attributes ","Välj konfigurerbara attribut"
"Select Product...","Välj produkt..."
"Select type of option","Välj typ av val"
"Select type options required values rows.","Vald typ kräver värderader."
"Selected Product Types","Valda produkttyper"
"Send Count","Leveransräknare"
"Set Ascending Direction","Sätt stigande sortering"
"Set Descending Direction","Sätt fallande sortering"
"Set Name","Välj namn"
"Set root category for this store in the <a href=""%s"">configuration</a>","Välj rotkategori för denna butik i <a href=""%s"">inställningar</a>."
"Set special price","Ange specialpris"
"Set/Get current store view","Ange/hämta nuvarande butiksvy"
"Settings","Inställningar"
"Shop By","Handla enligt"
"Shopping Options","Shoppingalternativ"
"Show","Visa"
"Show Details","Visa detaljer"
"Show Tags","Visa etiketter"
"Simple Product","Enkel produkt"
"Site Map","Webbkarta"
"Sitemap","Sidkarta"
"Skip import row, is not valid value ""%s"" for field ""%s""","Värdet ""%s"" är inte giltigt för fältet ""%s"", hoppar över importraden"
"Some of the selected item options are not currently available.","Några av de markerade objektalternativ är ej tillgängliga."
"Sort By","Sortera på"
"Sort Order","Sorteringsordning"
"Source Model","Källmodell"
"Special Price:","Specialpris:"
"Starting at:","Börjar på:"
"Static","Statisk"
"Static block and products","Statiska block och produkter"
"Static block only","Endast statiska block"
"Stock Availability","Tillgänglighet"
"Store","Butik"
"Store View","Butiksvy"
"Stretch","Utvidga"
"Subscribe to RSS Feed","Prenumerera på RSS flöde"
"Super product attributes configuration","Konfiguration av superattribut för produkt"
"Synonym For","Synonym för"
"System Properties","System egenskaper"
"Tag Name","Etikettnamn"
"Tax","Skatt"
"Template","Mall"
"There are no %s available.","%s är inte tillgängliga."
"There are no customers for this alert","Inga kunder prenumererar på denna bevakning."
"There are no customers for this alert.","Det finns inga kunder för denna notifiering "
"There are no products matching the selection.","Det finns inga produkter som matchar urvalet"
"This attribute cannot be edited.","Detta attribut kan inte redigeras."
"This attribute is used in configurable products.","Detta attribut används i konfigurerbara produkter."
"This attribute no longer exists","Detta attribut existerar inte längre"
"This attribute set no longer exists.","Detta attribut existerar inte längre."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denna grupp innehåller attribut som används i konfigurerbara produkter. Vänligen flytta dessa attribut till en annan grupp och försök igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattribut till en annan grupp och försök igen."
"This is a required option","Detta är ett obligatoriskt val"
"This search no longer exists.","Denna sökning finns inte längre."
"This setting will be applied when all prices in the specific price interval are equal.","Den här inställningen tillämpas när alla priser i det specifika kursintervallet är lika."
"Tier Pricing","Tier prissättning"
"Tile","Över hela"
"Time Format","Tidsformat"
"Title","Titel"
"To see product price, add this item to your cart. You can always remove it later.","Lägg till varan i kundvagnen för att se produktpriser. Du kan alltid ta bort den senare."
"Top/Left","Top/Vänster"
"Top/Right","Top/Höger"
"Total Qty Base Items","Summa basartiklar"
"Total incl. Tax: %1$s","Summa inkl. moms: %1$s"
"Type","Typ"
"Unassigned Attributes","Otilldelade attribut"
"Up-sells","Merförsäljning"
"Update","Uppdatera"
"Update Attributes","Uppdatera attribut"
"Update Tier Price","Uppdatera stafflade priser"
"Update assigned product","Uppdatera tilldelade produkter"
"Update attributes","Uppdatera attribut"
"Update category","Uppdatera kategori"
"Update product","Uppdatera produkt"
"Update product image","Uppdatera produktbild"
"Update product link","Uppdatera produktlänk"
"Update product tier prices","Uppdatera produkt stafflade priser"
"Upload new product image ","Ladda upp ny produktbild"
"Use Canonical Link Meta Tag For Categories","Använda kanonisk länk Meta-taggen för kategorier"
"Use Canonical Link Meta Tag For Products","Använda kanonisk länk Meta-taggen för produkter"
"Use Categories Path for Product URLs","Använd kategoriernas URL för produktens URLer"
"Use Config Settings","Använd konfigurationsinställningarna"
"Use Default Value","Använd standardvärde"
"Use Flat Catalog Category","Använd ""Flat Catalog Category"""
"Use Flat Catalog Product","Använd ""Flat Catalog Product"""
"Use In Layered Navigation","Använd i lagerbaserad navigation"
"Use In Search Results Layered Navigation","Använd i lagerbaserad navigattion för sökresultat"
"Use JavaScript Calendar","Använd JavaScript kalender"
"Use To Create Configurable Product","Använd för att skapa konfigurerbar produkt"
"Use Tree Like Category Sitemap","Använd trädstruktur för webbkarta"
"Use config","Använda inställningar"
"Use default","Använd förvald"
"Use for Promo Rule Conditions","Använd för kampanjreglernas villkor"
"Use in Layered Navigation","Användning i Filternavigering"
"Used for Sorting in Product Listing","Används för sortering i produktlistan"
"Used in Product Listing","Använd i produktlistningen "
"View Details","Visa detaljer"
"View as","Visa som"
"Virtual Product","Virtuell Produkt"
"Visibility","Synlighet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på kunddelens katalogsidor"
"Visible on Product View Page on Front-end","Suynlig på kunddelens produktsidor"
"WYSIWYG Editor","Wysiwyg-redigerare"
"Watermark","Vattenmärke"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Watermark Position","Placering av vattenmärke"
"We Also Recommend","Vi rekommenderar även"
"Website","Webbplats"
"Websites","Webbplatser"
"What's this?","Vad är detta?"
"Wrong option type to get group instance.","Felaktig valtyp för att hämta grupp instans"
"Year Range","Årsintervall"
"Yes","Ja"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från denna mängd."
"You have no items to compare.","Du har inga artiklar att jämföra."
"You may also be interested in the following product(s)","Du kanske även är intresserad av följande produkt(er)?"
"Zoom In","Zooma in"
"Zoom Out","Zooma ut"
"and","och"
"and above","och över"
"categories","kategorier"
"each","varje"
"ex. http://domain.com","t.ex. http://example.com"
"leave blank if its not an image","Lämna tomt om det inte är en bild"
"per page","per sida"
"products","produkter"
"save","spara"
"select all","välj alla"
"unselect all","avmarkera alla"
