"Action","Åtgärd"
"Are you sure you want to delete the selected backup(s)?","Är du säker på att du vill ta bort de utvalda backup(sen)?"
"Backups","Säkerhetskopior"
"Create Backup","Skapa säkerhetskopia"
"Database","Databas"
"Database Backup","Säkerhetskopiering av databasen"
"Database and Media","Databas och Media"
"Database and Media Backup","Databas och Media Backup"
"Database was successfuly backed up.","Databasen säkerhetskopierades."
"Download","Ladda ner"
"Enable Scheduled Backup","Aktivera schemalagd säkerhetskopiering"
"Frequency","Frekvens"
"Maintenance Mode","Underhålls-läge: Förhindra kunder att se din butik. De möter istället ett underhålls-meddelande. Om du är inloggad som admin så ser du butiken som vanligt"
"Name","Namn"
"Start Time","Starttid"
"System (excluding Media)","System (exklusive Media)"
"System Backup","Säkerhetskopia av systemet"
"Time","Tid"
"Type","Typ"
"Unable to create backup. Please, try again later.","Det gick inte att skapa säkerhetskopia. Vänligen försök senare."
