" for more information or "," för mer information eller "
"# of Items (and above)","# Objekt (och högre)"
"# of Items vs. Destination","# av objekt vs. Destination"
"Calculate Handling Fee","Beräkna hanteringsavgift"
"Carrier:","Fraktbolag:"
"City","Stad"
"Close Window","Stäng fönster"
"Condition","Villkor"
"Country","Land"
"Custom Value","Anpassat Värde"
"Date","Datum"
"Delivered on:","Levererad på:"
"Delivered to:","Levererades till:"
"Description","Beskrivning"
"Displayed Error Message","Visat felmeddelande"
"Enabled","Aktiverad"
"Error:","Fel:"
"Export","Exportera"
"Fixed","Fast"
"Flat Rate","Fast avgift"
"Handling Fee","Hanteringsavgift"
"Import","Importera"
"Invalid Table Rate code for type %s: %s","Ogiltig kod för tabellavgift för typen %s: %s"
"Invalid Table Rate code type: %s","Ogiltig kod för tabellavgift: %s"
"Invalid Table Rates File Format","Ogiltigt filformat för tabellavgifter"
"Local Time","Lokal tid"
"Location","Plats"
"N/A","Ej tillgängligt"
"None","Inga"
"Options","Alternativ"
"Order Subtotal (and above)","Beställningens delsumma (och senare)"
"Origin","Ursprung"
"Per Order","Per beställning"
"Per Package","Per paket"
"Percent","Procent"
"Price","Pris"
"Price vs. Destination","Pris kontra Destination"
"Region/State","Region/delstat"
"Service Type:","Servicetyp:"
"Shipment #","Leverans #"
"Shipped or billed on:","Levererat/fakturerat den"
"Shipping Methods","Fraktsätt"
"Shipping Settings","Fraktinställningar"
"Signed by:","Signerat:"
"Sort Order","Sorteringsordning"
"Status:","Status"
"Store Pickup","Hämta i Butik"
"Street Address","Gatuadress"
"Street Address Line 2","Gatuadress Rad 2"
"There is no tracking available for this shipment.","Det finns ingen spårning tillgänglig för denna leverans."
"There is no tracking available.","Det finns ingen spårning tillgänglig."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Detta leveranssätt är för närvarande inte tillgängligt. Vänligen kontakta oss om du vill använda detta leveranssätt."
"Title","Titel"
"Track:","Spåra:"
"Tracking Information","Spårningsinformation"
"Tracking Number:","Spårningsnummer:"
"Tracking information is currently not available. Please ","Spårningsinformation är för närvarande inte tillgängligt. Vänligen"
"Tracking information is currently unavailable.","Spårningsinformation är för närvarande inte tillgängligt."
"Type","Typ"
"Weight (and above)","Vikt (och över)"
"Weight vs. Destination","Pris kontra Destination"
"Weight:","Vikt:"
"ZIP/Postal Code","Postnummer"
"contact us","kontakta oss"
"email us at ","maila oss på "
