"* Required Fields","* Obligatoriska fält"
"Comment","Kommentarer"
"Contact Form","Kontaktformulär"
"Contact Information","Kontaktinformation"
"Contact Us","Kontakta oss"
"Contacts","Kontakter"
"Email","E-post"
"Email Options","E-postalternativ"
"Email Sender","E-postavsändare"
"Email Template","E-postmall"
"Enable Contact Us","Aktivera kontakta oss"
"Name","Namn"
"Send Emails To","Skicka e-postmeddelande till"
"Submit","Skicka"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Det gick inte att skicka ditt meddelande. Vänligen försök igen senare."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ditt ärende har skickats och kommer att besvaras snarast möjligt. Tack för att du kontaktade oss."
