"* Required Fields","* Obligatoriska fält"
"Admin","Administratör"
"Authorize","Auktorisera"
"Close","Stäng"
"Created At","Skapades"
"Customer","Kund"
"Delete","Ta bort"
"Disable","Inaktivera"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Email","E-post"
"Email Address","E-postadress"
"Enable","Aktivera"
"Enabled","Aktiverad"
"Log In","Logga in"
"Login","Logga in"
"Name","Namn"
"Password","Lösenord"
"Permissions","Rättigheter"
"Reject","Förkasta"
"Role Name","Rollnamn"
"Save","Spara"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"User ID","Användar-ID"
"User Name","Användarnamn"
