"%s's Wishlist","Önskelista för %s"
"* Required Fields","* Obligatoriska fält"
"Add All to Cart","Lägg till alla i kundvagnen"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Added From","Tillagt Från"
"Are you sure you want to remove this product from your wishlist?","Är du säker på att du vill radera produkten från din önskelista?"
"Are you sure you would like to remove this item from the wishlist?","Är du säker att du vill ta bort produkten från önskelistan?"
"Back","Tillbaka"
"Can't save description %s","Kan inte spara beskrivning %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bocka för denna kryssruta om du vill lägga till en RSS-kanal till din önskelista"
"Click for price","Klicka för pris"
"Comment","Kommentarer"
"Comment:","Kommentar:"
"Date Added","Tillagd datum"
"Days in Wishlist","Antal dagar i önskelistan"
"Edit","Redigera"
"Email Sender","E-postavsändare"
"Email Template","E-postmall"
"Email address can't be empty.","E-postadress måste anges."
"Email addresses, separated by commas","E-postadresser, separerade med kommatecken"
"Enabled","Aktiverad"
"General Options","Allmänna inställningar"
"Go to Wishlist","Till önskelistan"
"In stock","I lager"
"Last Added Items","Senast tillagda artiklar"
"Message","Meddelande"
"My Wishlist","Min önskelista"
"My Wishlist (%d item)","Min önskelista (%d produkt)"
"My Wishlist (%d items)","Min önskelista (%d produkter)"
"Options Details","Detaljer för Alternativ"
"Out of stock","Ej i lager"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Var vänlig och skriv giltiga e-postadresser, separerade med kommatecken. Till exempel namn@domain.com, namn2@domain.com"
"Please, enter your comments...","Vänligen skriv dina kommentarer..."
"Price","Pris"
"Product","Produkt"
"Qty","Antal"
"RSS Feed","RSS-kanal"
"RSS link to %s's wishlist","RSS-länk till %s önskelista"
"Remove Item","Ta bort Artikel"
"Remove This Item","Ta bort Denna Artikel"
"Remove item","Ta bort artikel"
"SKU","Art.nr"
"Share Wishlist","Dela önskelistan"
"Share Your Wishlist","Dela din önskelista"
"Sharing Information","Delningsinformation"
"Update Wishlist","Uppdatera önskelistan"
"View Details","Visa detaljer"
"View Product","Visa produkt"
"What's this?","Vad är detta?"
"Wishlist","Önskelistan"
"Wishlist Sharing","Delning av önskelista"
"Wishlist is empty now.","Nu är önskelistan tom."
"You have no items in your wishlist.","Du har inga produkter på din önskelista."
