"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till en Ny Regel"
"Alphanumeric","Alfanumerisk"
"Apply","Tillämpa"
"Apply To","Gäller"
"Apply the rule only if the following conditions are met (leave blank for all products)","Använd regeln endast om följande villkor är uppfyllda (lämna tomt för att inkludera alla produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor (lämna tomt för att inkludera alla produkter)"
"Apply the rule to cart items matching the following conditions","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor"
"Buy X get Y free (discount amount is Y)","Köp X få Y gratis (rabattbeloppet är Y)"
"By Fixed value","Utifrån fixerat värde"
"By Percentage","Utifrån procent"
"Cart Attribute","Attribut för varukorg"
"Catalog","Katalog"
"Code Format","Kodformat"
"Code Length","Kodlängd"
"Code Prefix","Kodprefix"
"Code Suffix","Kodsuffix"
"Conditions","Villkor"
"Conditions combination","Villkorskombination"
"Coupon","Kupong"
"Coupon Code","Kupongkod"
"Coupon Qty","Kupongantal"
"Created On","Skapades"
"Customer Groups","Kundgrupper"
"Dash Every X Characters","Använd ""-"" för varje X tecken"
"Date Expire","Utgångsdatum"
"Date Start","Startdatum"
"Default Label","Standardetikett"
"Description","Beskrivning"
"Discount Amount","Rabattbelopp"
"Discount Qty Step (Buy X)","Rabatt Antal Steg (Köp X)"
"Edit Rule","Redigera regel"
"Edit Rule '%s'","Ändra regeln '%s'"
"Excluding prefix, suffix and separators.","Exklusive prefix, suffix och separatorer."
"Fixed amount discount","Fast rabattbelopp"
"Fixed amount discount for whole cart","Fast rabattbelopp för hela varukorgen"
"For matching items only","Endast för matchande produkter"
"For shipment with matching items","För leverans med matchande produkter"
"From Date","Från datum"
"General Information","Allmän Information"
"Generate","Generera"
"If empty no separation.","Om tom, separera ej."
"Inactive","Inaktiv"
"Labels","Etiketter"
"Manage Coupon Codes","Hantera kupongkoder"
"Maximum Qty Discount is Applied To","Maximalt Antal Rabatter Tillämpas På"
"NOT LOGGED IN","INTE INLOGGAD"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","Ingen kupong"
"Number of Uses","Antal användningar"
"Payment Method","Betalningsmetod"
"Percent of product price discount","Rabatt utgör procent av ordinarie produktpris"
"Price in cart","Pris i varukorg"
"Priority","Prioritet"
"Product attribute combination","Kombination av produktattribut"
"Products subselection","Urval av produkter"
"Promotions","Kampanjer"
"Public In RSS Feed","Öppen RSS-Feed"
"Quantity in cart","Antal i varukorgen"
"Row total in cart","Antal rader i varukorgen"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Shipping Country","Land för leverans"
"Shipping Method","Leveransmetod"
"Shipping Postcode","Postnummer för leverans"
"Shipping Region","Region för leverans"
"Shipping State/Province","Postadress för leverans"
"Shopping Cart Price Rule","Prisregel för varukorg"
"Shopping Cart Price Rules","Prisregler för varukorg"
"Special Price","Specialpris"
"Store View Specific Labels","Butiksvy-specifika etiketter"
"Subtotal","Delsumma"
"Subtotal Amount","Delsumma"
"This rule no longer exists.","Denna regel finns inte längre."
"To Date","Till datum"
"To Fixed Value","Till fixerat värde"
"To Percentage","Till procent"
"Total","Summa"
"Total Amount","Totalsumma"
"Total Items Quantity","Totalt antal artiklar"
"Total Weight","Total vikt"
"Update prices using the following information","Uppdatera priser genom att använda följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Update the Product","Uppdatera produkten"
"Used","Använd"
"Website","Webbplats"
"Websites","Webbplatser"
"Yes","Ja"
