"%s has reached a quantity of %s.","%s досягнуло кількості %s."
"%s's Wishlist","Список бажань %s"
"Cannot retrieve the wishlist","Неможливо завантажити список бажань"
"Catalog","Каталог"
"Click for price","Клацніть, щоб дізнатись ціну"
"Comment: %s<br/>","Коментар: %s<br/>"
"Coupons/Discounts","Купони/Знижки"
"Current Status: %s<br/>","Поточний статус: %s<br/>"
"Customer Name: %s","Ім'я клієнта: %s"
"Customer Order Status Notification","Повідомлення про статус замовлення клієнта"
"Details for %s #%s","Деталі %s #%s"
"Discount","Знижка"
"Discount (%s)","Знижка (%s)"
"Enable RSS","Увімкнути RSS"
"Error in processing xml. %s","Помилка при обробці xml. %s"
"From:","Від:"
"Get Feed","Завантажити стрічку новин"
"Gift Message","Подарункове повідомлення"
"Grand Total","Загальний підсумок"
"Low Stock Products","Товари з малим запасом"
"Message:","Повідомлення:"
"New Orders","Нові замовлення"
"New Products","Нові товари"
"New Products from %s","Нові товари від %s"
"Notified Date: %s<br/>","Дата повідомлення: %s<br/>"
"Order","Замовлення"
"Order # %s Notification(s)","Повідомлення замовлення # %s "
"Order #%s created at %s","Замовдення #%s створено %s"
"Pending product review(s)","Відгук(и) про товар в очікуванні"
"Product: ""%s"" review By: %s","Товар: ""%s"" відгук від: %s"
"Product: <a href=""%s"">%s</a> <br/>","Товар: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Товари помічені з %s"
"Purchased From: %s","Куплено з: %s"
"RSS Feeds","Стрічка новин RSS"
"Review: %s <br/>","Відгук: %s <br/>"
"Rss Config","Налаштування Rss"
"Shipping &amp; Handling","Доставка та оброблення"
"Special Products","Спеціальні товари"
"Store: %s <br/>","Група магазинів: %s <br/>"
"Subtotal","Проміжні підсумки"
"Summary of review: %s <br/>","Підсумок відгуку: %s <br/>"
"Tags Products","Теги товарів"
"Tax","Податок"
"To:","До:"
"Top Level Category","Категорія верхнього рівня"
"Total: %s<br/>","Всього: %s<br/>"
"Wishlist","Список бажань"
"click <a href=""%s"">here</a> to view the review","Перейдіть <a href=""%s"">сюди</a> для огляду відгуку"
