"* Required Fields","* Обов'язкові поля"
"Comment","Коментар"
"Contact Form","Контактна форма"
"Contact Information","Контактна інформація"
"Contact Us","Зв'яжіться з нами"
"Contacts","Контакти"
"Email","Електронна пошта"
"Email Options","Опції електронної пошти"
"Email Sender","Відправник електронного листа"
"Email Template","Шаблон електронного листа"
"Enable Contact Us","Увімкнути Зв'яжіться з нами"
"Name","Назва"
"Send Emails To","Надсилати електронні листи на"
"Submit","Підтвердити"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Невдалось надіслати Ваш запит. Будь-ласка, спробуйте пізніше ще раз"
