"* Required Fields","* Обов'язкові поля"
"Address","Адреса"
"Address Information","Інформація про адресу"
"Already registered?","Маєте обліковий запис?"
"Back","Назад"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Зареєстровані клієнти нашого магазину мають можливість пришвидшити процес оформлення замовлення, зберігати кілька адрес для доставки, переглядати та відслідковувати свої замовлення, тощо."
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"City","Місто"
"Close","Закрити"
"Company","Компанія"
"Confirm Password","Підтвердьте пароль"
"Continue","Продовжити"
"Country","Країна"
"Create an Account","Створити обліковий запис"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Email Address","Електронна пошта"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Fax","Факс"
"Forgot Your Password?","Забули пароль?"
"Forgot your password?","Забули Ваш пароль?"
"General Options","Загальні налаштування"
"If you have an account with us, please log in.","Якщо Ви вже зареєстрований користувач, будь-ласка, увійдіть в систему."
"Loading next step...","Завантаження наступного кроку..."
"Login","Увійти"
"Login Information","Пароль"
"Login or Create an Account","Ввійдіть в систему або Зареєструйтесь"
"New Customers","Нові покупці"
"Password","Пароль"
"Personal Information","Персональна інформація"
"Please log in below:","Будь ласка, увійдіть у систему нижче:"
"Please select region, state or province","Будь-ласка, оберіть регіон, штат або область"
"Register","Реєстрація"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Registered Customers","Зареєстровані покупці"
"Save in address book","Зберегти в адресну книгу"
"Select State/Province...","Виберіть область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Ship to different address","Доставити на іншу адресу"
"Ship to this address","Доставити на цю адресу"
"Sign Up for Newsletter","Підписатися на розсилку новин"
"State/Province","Штат/Область"
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Submit","Підтвердити"
"Telephone","Телефон"
"VAT Number","Номер VAT"
"Welcome, %s!","Ласкаво просимо, %s!"
"What's this?","Що це?"
"Zip/Postal Code","Поштовий індекс"
