"Add Minimum Qty","Додати мінімальну кіл-ть"
"Allow Qty Below 0","Дозволяти кіл-ть, меншу за 0"
"Allow Qty Below 0 and Notify Customer","Дозволяти кіл-ть, меншу за 0 та повідомляти покупця"
"Automatically Return Credit Memo Item to Stock","Автоматично повертати позицію сторно на склад"
"Backorders","Відкладені замовлення"
"By Fixed value","За фіксованим значенням"
"By Percentage","За відсотковим співвідношенням"
"Decrease Stock When Order is Placed","Зменшувати наявну кількість, коли замовлення розміщено"
"Display Out of Stock Products","Показувати товари, яких немає в наявності"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"In Stock","В наявності"
"Inventory","Інвентар"
"Manage Stock","Керувати складом"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Minimum Qty","Мінімальна кіл-ть"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"No Backorders","Немає відкладених замовлень"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Only X left Threshold","Поріг, після якого Залишилось тільки X"
"Out of Stock","Немає в наявності"
"Product Name","Назва товару"
"Product Stock Options","Опції товарного запасу"
"Products will still be shown by direct product URLs.","Товари все ще будуть відображатись за прямими URL-адресами."
"Qty","Кіл-ть"
"Qty Increments","Збільшення кіл-ті"
"Rule price","Цінове правило"
"Set Items' Status to be In Stock When Order is Cancelled","Встановити стан елементу В наявності у разі, коли замовлення скасовано"
"Stock Options","Опції складу"
"Stock Status","Стан складу"
"The requested quantity for ""%s"" is not available.","Необхідна кількість у розмірі ""%s"" недоступна."
"The stock item for Product in option is not valid.","Складський елемент для товару в опції неприпустимий."
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсоткового співвідношення"
"Update","Оновити"
"Update the Product","Оновити товар"
