"# of Items (and above)"," кількість товарів (не менш ніж)"
"# of Items vs. Destination","Кількість товарів на адресу"
"Calculate Handling Fee","Комісія за оформлення"
"Carrier:","Перевізник:"
"City","Місто"
"Close Window","Закрити вікно"
"Condition","Умова"
"Country","Країна"
"Custom Value","Особливе значення"
"Date","Дата"
"Delivered on:","Доставлено:"
"Delivered to:","Доставлено:"
"Description","Опис"
"Displayed Error Message","Повідомлення про помилку"
"Enabled","Ввімкнено"
"Error:","Помилка:"
"Export","Експорт"
"Fixed","Фіксована"
"Flat Rate","Фіксована оплата"
"Handling Fee","Розмір комісії"
"Import","Імпорт"
"Info:","Інформація:"
"Invalid Table Rate code for type %s: %s","Невірний код ставки для типу %s: %s"
"Invalid Table Rate code type: %s","Невірний тип коду ставки: %s"
"Invalid Table Rates File Format","Невірний формат файлу кодів ставки"
"Local Time","Місцевий час"
"Location","Адреса"
"N/A","Н/Д"
"None","Жоден"
"Options","Варіанти"
"Order Subtotal (and above)","Всього по замовленню(не менш ніж)"
"Origin","Походження"
"Per Order","За замовлення"
"Per Package","За пакет"
"Percent","Відсоток"
"Price","Ціна"
"Region/State","Регіон/Штат"
"Service Type:","Тип послуги:"
"Shipment #","Доставка #"
"Shipped or billed on:","Доставлено або оплачено в:"
"Shipping Methods","Способи доставки"
"Shipping Settings","Налаштування доставки"
"Signed by:","Підписано:"
"Sort Order","Порядок Сортування"
"Status:","Статус:"
"Store Pickup","Вибір групи магазинів"
"Street Address","Адреса (вулиця, номер будинку та квартири...)"
"Street Address Line 2","Вулиця 2"
"There is no tracking available for this shipment.","Неможливо відслідкувати цю доставку."
"There is no tracking available.","Неможливо відслідкувати доставку."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Цей метод доставки недоступний на даний момент. Якщо ви все ж бажаєте скористатись саме цим методом, будь-ласка, зконтактуйтесь з нами."
"Title","Назва"
"Track:","Операція відслідковування:"
"Tracking Number:","Номер операції відслідковування:"
"Tracking information is currently not available. Please ","Інформація про операцію відслідковування на даний момент недоступна."
"Tracking information is currently unavailable.","Інформація про операцію відслідковування на даний момент недоступна."
"Type","Тип"
"Weight (and above)","Вага (не менше ніж)"
"Weight:","Вага:"
"ZIP/Postal Code","Поштовий індекс"
"contact us","зв'яжться з нами"
