"-- Please Select --","-- Виберіть --"
"Add Secret Key to URLs","Додати Секретний Ключ до URL-адрес"
"Add Store Code to Urls","Додати Код Крамниці до URL-адрес"
"Admin","Адміністратор"
"Admin Base URL","Базова URL-адреса Адміністратора"
"Admin User Emails","Електронні Листи Адміністратора"
"Advanced","Додатково"
"Allow Countries","Дозволити Країни"
"Allow Symlinks","Дозволити Символічні Посилання"
"Allowed IPs (comma separated)","Дозволені IP (через кому)"
"Anchor Text for Next","Anchor Text для Наступного"
"Anchor Text for Previous","Anchor Text для Попереднього"
"Are you sure?","Ви впевнені?"
"Auto-redirect to Base URL","Автоматичне Перенаправлення до Базової URL-адреси"
"Back","Назад"
"Backup Options","Опції Резервної Копії"
"Base JavaScript URL","Основний JavaScript URL"
"Base Link URL","Базове Посилання URL-адреси"
"Base Media URL","Base URL медіа"
"Base Skin URL","Base URL скіна"
"Base URL","Базова URL-адреса"
"Block with name ""%s"" already exists","Блок з іменем ""%s"" вже існує"
"CSS Settings","Налаштування CSS"
"Cache Storage Management","Управління Сховищем Кешу"
"Can't retrieve request object","Неможливо знайти пошуковий об'єкт"
"Cancel","Скасувати"
"Card type does not match credit card number.","Тип картки не відповідає номеру кредитної картки."
"Code","Код"
"Controller file was loaded but class does not exist","Файл контролеру був завантажений, проте класу не існує"
"Cookie Domain","Cookie домен"
"Cookie Lifetime","Час життя cookie-файлу"
"Cookie Path","Шлях до Cookie"
"Cookie Restriction Mode","Режим обмеження Cookie"
"Country","Країна"
"Create Store","Створити Магазин"
"Create Store View","Створити Вид Магазину"
"Create Website","Створити Веб-сайт"
"Credit card number does not match credit card type.","Номер кредитної картки не відповідає типу кредитної картки."
"Custom Admin Path","Користувальницький Шлях Адміністратора"
"Custom Admin URL","Користувальницька URL-адреса Адміністратора"
"Custom Design","Користувацький Дизайн"
"Custom Email 1","Своя Електронная Пошта 1"
"Custom Email 2","Своя Електронная Пошта 2"
"Customer Support","Клієнтська Підтримка"
"Dashboard","Панель управління"
"Date From","Дата Від"
"Date To","Дата До"
"Debug","Відладка"
"Default","За промовчанням"
"Default Country","Країна за Замовчуванням"
"Default No-route URL","URL-адреса Без Маршруту за Замовчуванням"
"Default Pages","Сторінки за Замовчуванням"
"Default Store","Магазин за Замовчуванням"
"Default Store View","Вид Магазину за Замовчування"
"Default Title","Заголовок за промовчанням"
"Default Web URL","Веб URL-адреса за Замовчуванням"
"Delete","Видалити"
"Delete Store","Видалити магазин"
"Delete Store View","Видалити Вид Магазину"
"Delete Website","Видалити вебсайт"
"Design","Дизайн"
"Design Change","Зміна Дизайну"
"Developer","Розробник"
"Developer Client Restrictions","Обмеження розробника щодо користувачів"
"Disable Email Communications","Вимкнути Комунікації Електронною Поштою"
"Disable Modules Output","Вимкнути Виведення Модулів"
"Duplicate Of Template Name","Дублювати назву шаблону"
"Edit Design Change","Редагувати Зміну Дизайну"
"Edit Store","Змінити Магазин"
"Edit Store View","Редагувати Вид Магазину"
"Edit Website","Редагувати вебсайт"
"Empty identifier field name","Пусте значення ідентифікатора назви поля"
"Empty main table name","Пусте значення назви основної таблиці"
"Enable Charts","Увімкнути Діаграми"
"Enabled","Ввімкнено"
"Enabled for Admin","Ввімкнуто для Адмін-панелі"
"Enabled for Frontend","Показувати на зовнішньому інтерфейсі"
"Error in file: ""%s"" - %s","Помилка у файлі: ""%s"" - %s"
"European Union Countries","Країни Європейського Союзу"
"First Day of Week","Перший День Тижня"
"Flush Cache Storage","Скинути Сховище Кешу"
"Flush Magento Cache","Скинути Magento Кеш"
"Footer","Нижній колонтитул"
"Forgot Password Email Sender","Відправник"
"Forgot Password Email Template","Шаблон Електронного Листа для Забутого Паролю"
"General","Загальні"
"General Contact","Основний Контакт"
"General Settings","Основні Налаштування"
"Global","Загальний"
"Header","Верхній колонтитул"
"Host","Хост"
"How many links to display at once.","Кількість посилань для одночасного відображення."
"Invalid base url type","Невірний тип основного url "
"Invalid block type: %s","Невірний тип блоку: %s"
"Invalid block: %s","Невірний блок: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Невірне збереження повідомлення ""%s"" для ініціалізації щаблону повідомлень"
"JavaScript Settings","Налаштування JavaScript"
"Layout","Розмітка"
"Locale","Локалізація"
"Locale Options","Опції Локалізації"
"Login is Case Sensitive","Логін є Чутливим до Регістра"
"Mail Sending Settings","Налаштування Відправки Пошти"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Переконайтеся, що базова URL-адреса закінчується на '/' (слеш), напр. http://yourdomain/magento/"
"Manage Stores","Управління Магазинами"
